run_order_idx,timestamp_iso8601,config,bench,size,iters,rep_in_cell,phase,wall_s,per_iter_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb,atomic_processed,atomic_enqueued,atomic_drops,atomic_demand_faults,atomic_spec_hits,atomic_spec_migrations
1,2026-08-16T10:37:09Z,C0,bench_stencil_oversub,48000,1,warmup_1,warmup,3.23,3.230000,4488C9F6F75570BB2FB34F8,0,61178384,60915436,0,0,0,1100745,0,0
2,2026-08-16T10:37:13Z,C4,bench_stencil_oversub,48000,1,warmup_1,warmup,3.37,3.370000,4488C9F6F75570BB2FB34F8,0,60908724,60649984,1003236,1003236,106865,1110101,0,1003236
3,2026-08-16T10:37:17Z,C0,bench_stencil_oversub,48000,1,kept_2,kept,3.23,3.230000,4488C9F6F75570BB2FB34F8,0,60644412,60401004,0,0,0,1100610,0,0
4,2026-08-16T10:37:21Z,C4,bench_stencil_oversub,48000,1,kept_2,kept,3.36,3.360000,4488C9F6F75570BB2FB34F8,0,60392836,60136808,999868,999868,105937,1105805,0,999868
5,2026-08-16T10:37:25Z,C0,bench_stencil_oversub,48000,1,kept_3,kept,3.24,3.240000,4488C9F6F75570BB2FB34F8,0,60138932,59884556,0,0,0,1107345,0,0
6,2026-08-16T10:37:28Z,C4,bench_stencil_oversub,48000,1,kept_3,kept,3.37,3.370000,4488C9F6F75570BB2FB34F8,0,59813352,59614016,1001372,1001372,104389,1105761,0,1001372
7,2026-08-16T10:37:32Z,C0,bench_stencil_oversub,48000,1,kept_4,kept,3.25,3.250000,4488C9F6F75570BB2FB34F8,0,59599048,59390448,0,0,0,1100392,0,0
8,2026-08-16T10:37:36Z,C4,bench_stencil_oversub,48000,1,kept_4,kept,3.38,3.380000,4488C9F6F75570BB2FB34F8,0,59369476,59126956,1008914,1008914,104012,1112926,0,1008914
9,2026-08-16T10:37:40Z,C0,bench_stencil_oversub,48000,1,kept_5,kept,3.24,3.240000,4488C9F6F75570BB2FB34F8,0,59087100,58881664,0,0,0,1102557,0,0
10,2026-08-16T10:37:44Z,C4,bench_stencil_oversub,48000,1,kept_5,kept,3.36,3.360000,4488C9F6F75570BB2FB34F8,0,58875156,58417532,1005074,1005074,104561,1109635,0,1005074
11,2026-08-16T10:37:48Z,C0,bench_stencil_oversub,48000,1,kept_6,kept,3.22,3.220000,4488C9F6F75570BB2FB34F8,0,58419968,58389296,0,0,0,1095781,0,0
12,2026-08-16T10:37:52Z,C4,bench_stencil_oversub,48000,1,kept_6,kept,3.40,3.400000,4488C9F6F75570BB2FB34F8,0,58379716,57889016,997139,997139,107004,1104143,0,997139
13,2026-08-16T10:37:56Z,C0,bench_stencil_oversub,48000,1,kept_7,kept,3.23,3.230000,4488C9F6F75570BB2FB34F8,0,57897700,57643828,0,0,0,1104272,0,0
14,2026-08-16T10:37:59Z,C4,bench_stencil_oversub,48000,1,kept_7,kept,3.37,3.370000,4488C9F6F75570BB2FB34F8,0,57641244,57431260,1001585,1001585,105508,1107093,0,1001585
15,2026-08-16T10:38:03Z,C0,bench_stencil_oversub,48000,1,kept_8,kept,3.23,3.230000,4488C9F6F75570BB2FB34F8,0,57441360,57378880,0,0,0,1102716,0,0
16,2026-08-16T10:38:07Z,C4,bench_stencil_oversub,48000,1,kept_8,kept,3.37,3.370000,4488C9F6F75570BB2FB34F8,0,57315244,57109036,1003787,1003787,104485,1108272,0,1003787
17,2026-08-16T10:38:11Z,C0,bench_stencil_oversub,48000,1,kept_9,kept,3.23,3.230000,4488C9F6F75570BB2FB34F8,0,57063052,56842876,0,0,0,1102182,0,0
18,2026-08-16T10:38:15Z,C4,bench_stencil_oversub,48000,1,kept_9,kept,3.37,3.370000,4488C9F6F75570BB2FB34F8,0,56784272,56617504,1000181,1000181,112693,1112874,0,1000181
19,2026-08-16T10:38:19Z,C0,bench_stencil_oversub,48000,1,kept_10,kept,3.22,3.220000,4488C9F6F75570BB2FB34F8,0,56628532,56365920,0,0,0,1099681,0,0
20,2026-08-16T10:38:23Z,C4,bench_stencil_oversub,48000,1,kept_10,kept,3.39,3.390000,4488C9F6F75570BB2FB34F8,0,56361224,56116556,996295,996295,102196,1098491,0,996295
21,2026-08-16T10:38:27Z,C0,bench_stencil_oversub,48000,1,kept_11,kept,3.22,3.220000,4488C9F6F75570BB2FB34F8,0,56120612,55870832,0,0,0,1104363,0,0
22,2026-08-16T10:38:30Z,C4,bench_stencil_oversub,48000,1,kept_11,kept,3.37,3.370000,4488C9F6F75570BB2FB34F8,0,55853012,55599680,989736,989736,115274,1105010,0,989736
23,2026-08-16T10:39:22Z,C0,bench_stencil_oversub,48000,5,warmup_1,warmup,8.25,1.650000,4488C9F6F75570BB2FB34F8,0,55353820,55102084,0,0,0,5543885,0,0
24,2026-08-16T10:39:31Z,C4,bench_stencil_oversub,48000,5,warmup_1,warmup,10.95,2.190000,4488C9F6F75570BB2FB34F8,0,55095288,54840544,1204419,1204419,4015956,5220375,0,1178539
25,2026-08-16T10:39:43Z,C0,bench_stencil_oversub,48000,5,kept_2,kept,8.27,1.654000,4488C9F6F75570BB2FB34F8,0,54849852,54597988,0,0,0,5525542,0,0
26,2026-08-16T10:39:52Z,C4,bench_stencil_oversub,48000,5,kept_2,kept,10.88,2.176000,4488C9F6F75570BB2FB34F8,0,54587008,54330932,1137080,1137080,4086067,5223147,0,1111032
27,2026-08-16T10:40:03Z,C0,bench_stencil_oversub,48000,5,kept_3,kept,8.26,1.652000,4488C9F6F75570BB2FB34F8,0,54343288,54092148,0,0,0,5536384,0,0
28,2026-08-16T10:40:12Z,C4,bench_stencil_oversub,48000,5,kept_3,kept,10.97,2.194000,4488C9F6F75570BB2FB34F8,0,54065280,53773384,1146210,1146210,4076920,5223130,0,1120306
29,2026-08-16T10:40:23Z,C0,bench_stencil_oversub,48000,5,kept_4,kept,8.25,1.650000,4488C9F6F75570BB2FB34F8,0,53770692,53579560,0,0,0,5529071,0,0
30,2026-08-16T10:40:32Z,C4,bench_stencil_oversub,48000,5,kept_4,kept,10.44,2.088000,4488C9F6F75570BB2FB34F8,0,53573328,53316584,1200021,1200021,4016728,5216749,5,1174023
31,2026-08-16T10:40:43Z,C0,bench_stencil_oversub,48000,5,kept_5,kept,8.26,1.652000,4488C9F6F75570BB2FB34F8,0,53266348,53072364,0,0,0,5529058,0,0
32,2026-08-16T10:40:52Z,C4,bench_stencil_oversub,48000,5,kept_5,kept,10.77,2.154000,4488C9F6F75570BB2FB34F8,0,53058636,52807776,1275011,1275011,3943395,5218406,2,1248966
33,2026-08-16T10:41:03Z,C0,bench_stencil_oversub,48000,5,kept_6,kept,8.27,1.654000,4488C9F6F75570BB2FB34F8,0,52819772,52563320,0,0,0,5565710,0,0
34,2026-08-16T10:41:12Z,C4,bench_stencil_oversub,48000,5,kept_6,kept,10.88,2.176000,4488C9F6F75570BB2FB34F8,0,52551160,52296012,1189778,1189778,4030120,5219898,0,1163779
35,2026-08-16T10:41:24Z,C0,bench_stencil_oversub,48000,5,kept_7,kept,8.26,1.652000,4488C9F6F75570BB2FB34F8,0,52304320,52055336,0,0,0,5555264,0,0
36,2026-08-16T10:41:33Z,C4,bench_stencil_oversub,48000,5,kept_7,kept,10.74,2.148000,4488C9F6F75570BB2FB34F8,0,52053260,51797856,1159704,1159704,4069696,5229400,0,1133958
37,2026-08-16T10:41:44Z,C0,bench_stencil_oversub,48000,5,kept_8,kept,8.28,1.656000,4488C9F6F75570BB2FB34F8,0,51753232,51555340,0,0,0,5555367,0,0
38,2026-08-16T10:41:53Z,C4,bench_stencil_oversub,48000,5,kept_8,kept,10.76,2.152000,4488C9F6F75570BB2FB34F8,0,51532932,51280740,1187775,1187775,4031328,5219103,0,1161578
39,2026-08-16T10:42:04Z,C0,bench_stencil_oversub,48000,5,kept_9,kept,8.29,1.658000,4488C9F6F75570BB2FB34F8,0,51290472,51046140,0,0,0,5525593,0,0
40,2026-08-16T10:42:13Z,C4,bench_stencil_oversub,48000,5,kept_9,kept,11.01,2.202000,4488C9F6F75570BB2FB34F8,0,51032936,50779788,1190026,1190026,4022220,5212246,0,1163841
41,2026-08-16T10:42:25Z,C0,bench_stencil_oversub,48000,5,kept_10,kept,8.27,1.654000,4488C9F6F75570BB2FB34F8,0,50734448,50503548,0,0,0,5544779,0,0
42,2026-08-16T10:42:33Z,C4,bench_stencil_oversub,48000,5,kept_10,kept,10.87,2.174000,4488C9F6F75570BB2FB34F8,0,50524536,50268380,1232856,1232856,3983434,5216290,0,1206570
43,2026-08-16T10:42:45Z,C0,bench_stencil_oversub,48000,5,kept_11,kept,8.26,1.652000,4488C9F6F75570BB2FB34F8,0,50265392,50026084,0,0,0,5533305,0,0
44,2026-08-16T10:42:54Z,C4,bench_stencil_oversub,48000,5,kept_11,kept,10.67,2.134000,4488C9F6F75570BB2FB34F8,0,50009336,49754724,1201694,1201694,4017479,5219173,4,1175713
45,2026-08-16T10:45:46Z,C0,bench_stencil_oversub,48000,20,warmup_1,warmup,27.19,1.359500,4488C9F6F75570BB2FB34F8,0,49517028,49277860,0,0,0,22203747,0,0
46,2026-08-16T10:46:14Z,C4,bench_stencil_oversub,48000,20,warmup_1,warmup,17.30,0.865000,4488C9F6F75570BB2FB34F8,0,49271884,49012860,4287818,4287818,7014221,11302039,1593,4227314
