run_order_idx,timestamp_iso8601,config,bench,size,iters,rep_in_cell,phase,order_in_rotation,wall_s,per_iter_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb,atomic_processed,atomic_enqueued,atomic_drops,atomic_demand_faults,atomic_spec_hits,atomic_spec_migrations
1,2026-08-16T13:14:43Z,C0,bench_stencil_oversub,48000,8,warmup_1,warmup,C0first,12.05,1.506250,4488C9F6F75570BB2FB34F8,0,61269056,61021272,0,0,0,8893783,0,0
2,2026-08-16T13:14:56Z,C4,bench_stencil_oversub,48000,8,warmup_1,warmup,C0first,8.68,1.085000,4488C9F6F75570BB2FB34F8,0,61008680,60744364,5036554,5036554,294499,5331053,0,5036545
3,2026-08-16T13:15:05Z,C0,bench_stencil_oversub,48000,8,kept_2,kept,C0first,12.05,1.506250,4488C9F6F75570BB2FB34F8,0,60746684,60501792,0,0,0,8890662,0,0
4,2026-08-16T13:15:17Z,C4,bench_stencil_oversub,48000,8,kept_2,kept,C0first,8.71,1.088750,4488C9F6F75570BB2FB34F8,0,60494232,60246608,5010185,5010185,301295,5311480,0,5010173
5,2026-08-16T13:15:27Z,C0,bench_stencil_oversub,48000,8,kept_3,kept,C0first,12.04,1.505000,4488C9F6F75570BB2FB34F8,0,60249188,60000380,0,0,0,8871884,0,0
6,2026-08-16T13:15:39Z,C4,bench_stencil_oversub,48000,8,kept_3,kept,C0first,8.97,1.121250,4488C9F6F75570BB2FB34F8,0,59986760,59731840,5251810,5251810,294611,5546421,0,5251804
7,2026-08-16T13:15:49Z,C4,bench_stencil_oversub,48000,8,kept_4,kept,C4first,8.96,1.120000,4488C9F6F75570BB2FB34F8,0,59671548,59471164,5264765,5264765,295522,5560287,0,5264754
8,2026-08-16T13:15:58Z,C0,bench_stencil_oversub,48000,8,kept_4,kept,C4first,12.02,1.502500,4488C9F6F75570BB2FB34F8,0,59474056,59232776,0,0,0,8848239,0,0
9,2026-08-16T13:16:11Z,C0,bench_stencil_oversub,48000,8,kept_5,kept,C0first,12.04,1.505000,4488C9F6F75570BB2FB34F8,0,59228812,58971880,0,0,0,8858661,0,0
10,2026-08-16T13:16:24Z,C4,bench_stencil_oversub,48000,8,kept_5,kept,C0first,9.02,1.127500,4488C9F6F75570BB2FB34F8,0,58956116,58717756,5251535,5251535,300171,5551706,0,5251530
11,2026-08-16T13:16:33Z,C0,bench_stencil_oversub,48000,8,kept_6,kept,C0first,12.06,1.507500,4488C9F6F75570BB2FB34F8,0,58687600,58475980,0,0,0,8870306,0,0
12,2026-08-16T13:16:46Z,C4,bench_stencil_oversub,48000,8,kept_6,kept,C0first,8.72,1.090000,4488C9F6F75570BB2FB34F8,0,58471268,58216568,5004956,5004956,307886,5312842,0,5004946
13,2026-08-16T13:16:55Z,C4,bench_stencil_oversub,48000,8,kept_7,kept,C4first,8.74,1.092500,4488C9F6F75570BB2FB34F8,0,58205344,57951080,5023174,5023174,292683,5315857,0,5023170
14,2026-08-16T13:17:04Z,C0,bench_stencil_oversub,48000,8,kept_7,kept,C4first,12.02,1.502500,4488C9F6F75570BB2FB34F8,0,57906172,57712424,0,0,0,8892403,0,0
15,2026-08-16T13:17:17Z,C0,bench_stencil_oversub,48000,8,kept_8,kept,C0first,12.05,1.506250,4488C9F6F75570BB2FB34F8,0,57711984,57458864,0,0,0,8867184,0,0
16,2026-08-16T13:17:29Z,C4,bench_stencil_oversub,48000,8,kept_8,kept,C0first,9.00,1.125000,4488C9F6F75570BB2FB34F8,0,57449116,57196492,5263001,5263001,300213,5563214,0,5262993
17,2026-08-16T13:17:39Z,C4,bench_stencil_oversub,48000,8,kept_9,kept,C4first,8.95,1.118750,4488C9F6F75570BB2FB34F8,0,57145204,56940960,5248174,5248174,298432,5546606,0,5248164
18,2026-08-16T13:17:48Z,C0,bench_stencil_oversub,48000,8,kept_9,kept,C4first,12.05,1.506250,4488C9F6F75570BB2FB34F8,0,56943620,56691944,0,0,0,8884225,0,0
19,2026-08-16T13:18:01Z,C4,bench_stencil_oversub,48000,8,kept_10,kept,C4first,8.99,1.123750,4488C9F6F75570BB2FB34F8,0,56675352,56430760,5261854,5261854,302736,5564590,0,5261845
20,2026-08-16T13:18:11Z,C0,bench_stencil_oversub,48000,8,kept_10,kept,C4first,12.05,1.506250,4488C9F6F75570BB2FB34F8,0,56434536,56190404,0,0,0,8902345,0,0
21,2026-08-16T13:18:23Z,C0,bench_stencil_oversub,48000,8,kept_11,kept,C0first,12.05,1.506250,4488C9F6F75570BB2FB34F8,0,56183080,55927440,0,0,0,8882294,0,0
22,2026-08-16T13:18:36Z,C4,bench_stencil_oversub,48000,8,kept_11,kept,C0first,8.98,1.122500,4488C9F6F75570BB2FB34F8,0,55924396,55670360,5256287,5256287,296434,5552721,0,5256279
23,2026-08-16T13:20:26Z,C0,bench_stencil_oversub,48000,12,warmup_1,warmup,C0first,17.08,1.423333,4488C9F6F75570BB2FB34F8,0,55412176,55160832,0,0,0,13320739,0,0
24,2026-08-16T13:20:43Z,C4,bench_stencil_oversub,48000,12,warmup_1,warmup,C0first,19.49,1.624167,4488C9F6F75570BB2FB34F8,0,55154556,54904776,5302213,5302213,7558981,12861194,1195,5236459
25,2026-08-16T13:21:03Z,C0,bench_stencil_oversub,48000,12,kept_2,kept,C0first,17.09,1.424167,4488C9F6F75570BB2FB34F8,0,54908112,54659012,0,0,0,13311902,0,0
26,2026-08-16T13:21:21Z,C4,bench_stencil_oversub,48000,12,kept_2,kept,C0first,19.45,1.620833,4488C9F6F75570BB2FB34F8,0,54652268,54398792,5270195,5270195,7588188,12858383,1265,5203727
27,2026-08-16T13:21:41Z,C4,bench_stencil_oversub,48000,12,kept_3,kept,C4first,19.24,1.603333,4488C9F6F75570BB2FB34F8,0,54405656,54147336,5431304,5431304,7421753,12853057,1054,5367192
28,2026-08-16T13:22:01Z,C0,bench_stencil_oversub,48000,12,kept_3,kept,C4first,17.07,1.422500,4488C9F6F75570BB2FB34F8,0,54160208,53904220,0,0,0,13327637,0,0
