run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,phase,wall_s,internal_time_ms,bandwidth_gbs,elems,checksum_sum,checksum_fnv1a64,iters_reported,kernel_launches,exit_code,peak_mem_used_mib,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-14T20:06:24Z,C1,bench_stencil_oversub,48000,warmup_1,warmup,182.39,152362.79,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,42326580,42079256
2,2026-08-14T20:09:27Z,C3,bench_stencil_oversub,48000,warmup_1,warmup,90.60,61215.07,6.02,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,42073756,41805432
3,2026-08-14T20:10:58Z,C1,bench_stencil_oversub,48000,warmup_2,warmup,181.63,152087.14,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,41806084,41558912
4,2026-08-14T20:14:00Z,C3,bench_stencil_oversub,48000,warmup_2,warmup,93.08,62228.13,5.92,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,41539008,41275020
5,2026-08-14T20:15:34Z,C1,bench_stencil_oversub,48000,kept_3,kept,184.66,152856.30,2.41,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,41287752,41043196
6,2026-08-14T20:18:40Z,C3,bench_stencil_oversub,48000,kept_3,kept,92.28,61753.31,5.97,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,41039292,40793916
7,2026-08-14T20:20:13Z,C1,bench_stencil_oversub,48000,kept_4,kept,183.65,153041.89,2.41,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,40790892,40548716
8,2026-08-14T20:23:17Z,C3,bench_stencil_oversub,48000,kept_4,kept,92.97,61962.16,5.95,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,40538020,40287756
9,2026-08-14T20:24:50Z,C1,bench_stencil_oversub,48000,kept_5,kept,181.79,152601.34,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,40293604,40047108
10,2026-08-14T20:27:53Z,C3,bench_stencil_oversub,48000,kept_5,kept,91.49,61557.25,5.99,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,40029116,39782288
11,2026-08-14T20:29:25Z,C1,bench_stencil_oversub,48000,kept_6,kept,182.30,152307.03,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,39785764,39541660
12,2026-08-14T20:32:28Z,C3,bench_stencil_oversub,48000,kept_6,kept,93.41,61664.36,5.98,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,39541244,39281312
13,2026-08-14T20:34:02Z,C1,bench_stencil_oversub,48000,kept_7,kept,184.36,152635.64,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,39286464,39035908
14,2026-08-14T20:37:07Z,C3,bench_stencil_oversub,48000,kept_7,kept,91.19,62065.76,5.94,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,39025548,38772208
15,2026-08-14T20:38:39Z,C1,bench_stencil_oversub,48000,kept_8,kept,185.37,153143.98,2.41,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,38791336,38545104
16,2026-08-14T20:41:45Z,C3,bench_stencil_oversub,48000,kept_8,kept,93.55,61367.55,6.01,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,38537676,38279248
17,2026-08-14T20:43:19Z,C1,bench_stencil_oversub,48000,kept_9,kept,183.70,152541.52,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,38290020,38035092
18,2026-08-14T20:46:24Z,C3,bench_stencil_oversub,48000,kept_9,kept,90.74,61466.25,6.00,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,38017540,37764696
19,2026-08-14T20:47:55Z,C1,bench_stencil_oversub,48000,kept_10,kept,183.29,152644.93,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,37771944,37517084
20,2026-08-14T20:50:59Z,C3,bench_stencil_oversub,48000,kept_10,kept,93.47,61177.31,6.03,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,37506308,37247972
21,2026-08-14T20:52:33Z,C1,bench_stencil_oversub,48000,kept_11,kept,183.37,152489.76,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,2,37254028,37007128
22,2026-08-14T20:55:37Z,C3,bench_stencil_oversub,48000,kept_11,kept,92.24,60804.37,6.06,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,0,36993632,36746556
23,2026-08-14T20:57:10Z,C1,bench_stencil_oversub,48000,kept_12,kept,183.51,152559.09,2.42,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,3,36753592,36495584
24,2026-08-14T21:00:14Z,C3,bench_stencil_oversub,48000,kept_12,kept,91.57,60389.59,6.10,2304000000,1150770197.7181742,d4a5811c33564eeb,20,20,0,15838,9E98EF08CBA769C50A24937,1,36483812,36228444
