run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,phase,wall_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-15T06:56:14Z,C1,bench_stencil_oversub,48000,warmup_1,warmup,31.71,9E98EF08CBA769C50A24937,0,35168856,34929316
2,2026-08-15T06:56:46Z,C3,bench_stencil_oversub,48000,warmup_1,warmup,22.74,9E98EF08CBA769C50A24937,0,34915004,34653880
3,2026-08-15T06:57:09Z,C1,bench_stencil_oversub,48000,kept_2,kept,31.77,9E98EF08CBA769C50A24937,0,34658600,34405108
4,2026-08-15T06:57:41Z,C3,bench_stencil_oversub,48000,kept_2,kept,22.87,9E98EF08CBA769C50A24937,0,34399400,34115320
5,2026-08-15T06:58:05Z,C1,bench_stencil_oversub,48000,kept_3,kept,31.63,9E98EF08CBA769C50A24937,0,34136720,33899820
6,2026-08-15T06:58:37Z,C3,bench_stencil_oversub,48000,kept_3,kept,22.40,9E98EF08CBA769C50A24937,0,33888720,33637088
7,2026-08-15T06:59:00Z,C1,bench_stencil_oversub,48000,kept_4,kept,31.58,9E98EF08CBA769C50A24937,0,33642088,33394920
8,2026-08-15T06:59:32Z,C3,bench_stencil_oversub,48000,kept_4,kept,22.64,9E98EF08CBA769C50A24937,0,33386920,33121296
9,2026-08-15T06:59:55Z,C1,bench_stencil_oversub,48000,kept_5,kept,31.66,9E98EF08CBA769C50A24937,0,33116184,32877576
10,2026-08-15T07:00:27Z,C3,bench_stencil_oversub,48000,kept_5,kept,22.77,9E98EF08CBA769C50A24937,0,32869672,32627772
11,2026-08-15T07:00:51Z,C1,bench_stencil_oversub,48000,kept_6,kept,31.73,9E98EF08CBA769C50A24937,0,32636296,32389668
12,2026-08-15T07:01:23Z,C3,bench_stencil_oversub,48000,kept_6,kept,22.47,9E98EF08CBA769C50A24937,0,32383500,32130896
