run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,phase,wall_s,exit_code,n_snapshots,telemetry_prefix,drain_mode,drain_interval_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-15T11:10:28Z,C1,bench_stencil_oversub,48000,warmup_1,warmup,0,0,0,C1_run1,on,1,DRYRUN,0,0,0
2,2026-08-15T11:10:28Z,C3,bench_stencil_oversub,48000,warmup_1,warmup,0,0,0,C3_run2,on,1,DRYRUN,0,0,0
3,2026-08-15T11:10:28Z,C1,bench_stencil_oversub,48000,kept_2,kept,0,0,0,C1_run3,on,1,DRYRUN,0,0,0
4,2026-08-15T11:10:28Z,C3,bench_stencil_oversub,48000,kept_2,kept,0,0,0,C3_run4,on,1,DRYRUN,0,0,0
5,2026-08-15T11:10:28Z,C1,bench_stencil_oversub,48000,kept_3,kept,0,0,0,C1_run5,on,1,DRYRUN,0,0,0
6,2026-08-15T11:10:28Z,C3,bench_stencil_oversub,48000,kept_3,kept,0,0,0,C3_run6,on,1,DRYRUN,0,0,0
7,2026-08-15T11:10:28Z,C1,bench_stencil_oversub,48000,kept_4,kept,0,0,0,C1_run7,on,1,DRYRUN,0,0,0
8,2026-08-15T11:10:28Z,C3,bench_stencil_oversub,48000,kept_4,kept,0,0,0,C3_run8,on,1,DRYRUN,0,0,0
9,2026-08-15T11:10:28Z,C1,bench_stencil_oversub,48000,kept_5,kept,0,0,0,C1_run9,on,1,DRYRUN,0,0,0
10,2026-08-15T11:10:28Z,C3,bench_stencil_oversub,48000,kept_5,kept,0,0,0,C3_run10,on,1,DRYRUN,0,0,0
11,2026-08-15T11:10:28Z,C1,bench_stencil_oversub,48000,kept_6,kept,0,0,0,C1_run11,on,1,DRYRUN,0,0,0
12,2026-08-15T11:10:28Z,C3,bench_stencil_oversub,48000,kept_6,kept,0,0,0,C3_run12,on,1,DRYRUN,0,0,0
