run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,phase,wall_s,internal_time_ms,bandwidth_gbs,exit_code,atomic_processed,atomic_enqueued,atomic_drops,telemetry_prefix,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-15T08:14:25Z,C1,bench_stencil_oversub,48000,warmup_1,warmup,159.13,152680.77,2.41,0,0,0,0,C1_run1,9E98EF08CBA769C50A24937,2,31164420,30845760
2,2026-08-15T08:17:05Z,C3,bench_stencil_oversub,48000,warmup_1,warmup,68.32,61853.53,5.96,0,72700628,72700628,9131085,C3_run2,9E98EF08CBA769C50A24937,0,30829212,30580700
3,2026-08-15T08:18:13Z,C1,bench_stencil_oversub,48000,warmup_2,warmup,159.17,152689.84,2.41,0,0,0,0,C1_run3,9E98EF08CBA769C50A24937,2,30574256,30325056
4,2026-08-15T08:20:53Z,C3,bench_stencil_oversub,48000,warmup_2,warmup,68.48,61962.72,5.95,0,72832445,72832445,9205566,C3_run4,9E98EF08CBA769C50A24937,0,30317100,30068884
5,2026-08-15T08:22:02Z,C1,bench_stencil_oversub,48000,kept_3,kept,159.78,153283.17,2.40,0,0,0,0,C1_run5,9E98EF08CBA769C50A24937,2,30058452,29823336
6,2026-08-15T08:24:43Z,C3,bench_stencil_oversub,48000,kept_3,kept,69.30,62824.92,5.87,0,73720268,73720268,9388265,C3_run6,9E98EF08CBA769C50A24937,0,29816548,29573740
7,2026-08-15T08:25:52Z,C1,bench_stencil_oversub,48000,kept_4,kept,159.56,153019.04,2.41,0,0,0,0,C1_run7,9E98EF08CBA769C50A24937,2,29575272,29305612
8,2026-08-15T08:28:33Z,C3,bench_stencil_oversub,48000,kept_4,kept,68.57,62006.35,5.95,0,73361232,73361232,9350739,C3_run8,9E98EF08CBA769C50A24937,0,29292788,29042844
9,2026-08-15T08:29:42Z,C1,bench_stencil_oversub,48000,kept_5,kept,160.33,153759.08,2.40,0,0,0,0,C1_run9,9E98EF08CBA769C50A24937,2,29055060,28793552
10,2026-08-15T08:32:23Z,C3,bench_stencil_oversub,48000,kept_5,kept,69.55,62757.80,5.87,0,74157896,74157896,9436771,C3_run10,9E98EF08CBA769C50A24937,0,28791032,28581564
11,2026-08-15T08:33:33Z,C1,bench_stencil_oversub,48000,kept_6,kept,160.47,153634.66,2.40,0,0,0,0,C1_run11,9E98EF08CBA769C50A24937,2,28573568,28366560
12,2026-08-15T08:36:14Z,C3,bench_stencil_oversub,48000,kept_6,kept,69.78,62669.78,5.88,0,73408019,73408019,9473448,C3_run12,9E98EF08CBA769C50A24937,0,28338316,28112584
13,2026-08-15T08:37:24Z,C1,bench_stencil_oversub,48000,kept_7,kept,161.40,154397.35,2.39,0,0,0,0,C1_run13,9E98EF08CBA769C50A24937,2,28092388,27862912
14,2026-08-15T08:40:06Z,C3,bench_stencil_oversub,48000,kept_7,kept,68.79,61731.29,5.97,0,72907274,72907274,9563707,C3_run14,9E98EF08CBA769C50A24937,0,27827668,27599744
15,2026-08-15T08:41:15Z,C1,bench_stencil_oversub,48000,kept_8,kept,161.66,154654.13,2.38,0,0,0,0,C1_run15,9E98EF08CBA769C50A24937,2,27590884,27362140
16,2026-08-15T08:43:58Z,C3,bench_stencil_oversub,48000,kept_8,kept,69.83,62774.98,5.87,0,74232278,74232278,9575935,C3_run16,9E98EF08CBA769C50A24937,0,27330480,27113524
17,2026-08-15T08:45:08Z,C1,bench_stencil_oversub,48000,kept_9,kept,161.42,154384.15,2.39,0,0,0,0,C1_run17,9E98EF08CBA769C50A24937,2,27098804,26872448
18,2026-08-15T08:47:50Z,C3,bench_stencil_oversub,48000,kept_9,kept,68.79,61509.89,5.99,0,72534201,72534201,9386452,C3_run18,9E98EF08CBA769C50A24937,0,26832220,26605496
19,2026-08-15T08:48:59Z,C1,bench_stencil_oversub,48000,kept_10,kept,162.76,155273.24,2.37,0,0,0,0,C1_run19,9E98EF08CBA769C50A24937,2,26586456,26354428
20,2026-08-15T08:51:43Z,C3,bench_stencil_oversub,48000,kept_10,kept,68.97,61550.43,5.99,0,72717042,72717042,9518795,C3_run20,9E98EF08CBA769C50A24937,0,26326692,26094940
21,2026-08-15T08:52:52Z,C1,bench_stencil_oversub,48000,kept_11,kept,162.72,155322.12,2.37,0,0,0,0,C1_run21,9E98EF08CBA769C50A24937,2,26073784,25848652
22,2026-08-15T08:55:36Z,C3,bench_stencil_oversub,48000,kept_11,kept,70.19,62717.90,5.88,0,73846894,73846894,9954156,C3_run22,9E98EF08CBA769C50A24937,0,25805600,25614264
23,2026-08-15T08:56:46Z,C1,bench_stencil_oversub,48000,kept_12,kept,163.14,155710.67,2.37,0,0,0,0,C1_run23,9E98EF08CBA769C50A24937,2,25590112,25372056
24,2026-08-15T08:59:30Z,C3,bench_stencil_oversub,48000,kept_12,kept,70.49,63060.72,5.85,0,73995290,73995290,9877308,C3_run24,9E98EF08CBA769C50A24937,0,25315384,25097536
