run_order_idx,config,rep,wall_s,total_demand_faults,total_spec_enqueues,total_spec_drops,total_spec_hits,hit_rate,atomic_processed,atomic_enqueued,atomic_drops,n_batch_records,n_work_records,batch_ring_near_full,work_ring_near_full,work_migration_done,work_hit,work_miss,work_throttled,work_null,trace_n_entries,trace_n_unique_pages,trace_repeat_median,trace_repeat_p90,trace_repeat_max,trace_wrapped,decomp_n_decomp_batches,decomp_d1_sum_ns,decomp_d1_median_ns,decomp_d2_sum_ns,decomp_d2_median_ns,decomp_d3_wait_sum_ns,decomp_d4_hold_sum_ns,decomp_d5_serv_sum_ns,decomp_d6_sum_ns,decomp_svc_sum_ns,decomp_d7_approx_sum_ns,decomp_num_va_spaces_total,decomp_num_blocks_total
5,C1,kept_3,159.78,5340817,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1005663,1,1,2,True,131071,526402343,3316,342975248,1844,5626408,3203806218,3139062236,203205466,3227346980,3996000,131071,542721
6,C3,kept_3,69.3,5842456,4380215,1462241,77,1.75790457774333e-05,73720268,73720268,9388265,131071,131071,True,True,131071,0,0,0,0,1048576,816731,1,2,5,True,131071,563505906,3607,388106460,2164,6085623,3508659789,3429389798,216862352,3969764775,3998220,131071,549224
7,C1,kept_4,159.56,5353317,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1005795,1,1,2,True,131071,525700040,3296,344056903,1844,5204212,3183278124,3118470720,202604922,3206400762,3988528,131071,542748
8,C3,kept_4,68.57,5898507,4377881,1520626,76,1.7359996765558497e-05,73361232,73361232,9350739,131071,131071,True,True,131071,0,0,0,0,1048576,828045,1,2,6,True,131071,566947316,3637,389739276,2164,5698603,3514682153,3436257201,217694791,3963158152,4015048,131071,549328
9,C1,kept_5,160.33,5339622,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1005722,1.0,1,2,True,131071,530560669,3356,342926944,1843,5627473,3200413282,3135594123,203751558,3223941359,3997985,131071,542376
10,C3,kept_5,69.55,5911336,4412737,1498599,79,1.790272114562912e-05,74157896,74157896,9436771,131071,131071,True,True,131071,0,0,0,0,1048576,828416,1.0,2,5,True,131071,566714623,3607,395033279,2184,5937770,3502775408,3424109791,215806316,3954712841,4019035,131071,549451
11,C1,kept_6,160.47,5349841,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1006214,1.0,1,2,True,131071,531533390,3357,342999763,1853,5630764,3197428584,3132670312,202082377,3220967551,4002640,131071,542843
12,C3,kept_6,69.78,5937118,4433719,1503399,88,1.9847897442305208e-05,73408019,73408019,9473448,131071,131071,True,True,131071,0,0,0,0,1048576,822159,1,2,6,True,131071,573102613,3637,395929170,2184,5950852,3519457815,3440135555,223137139,3992802192,4011288,131071,549365
13,C1,kept_7,161.4,5347106,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1006411,1,1,2,True,131071,532262351,3356,343241983,1843,5611640,3206254011,3141317719,202987974,3229777697,3992176,131071,542806
14,C3,kept_7,68.79,5954149,4433429,1520720,82,1.8495841480713914e-05,72907274,72907274,9563707,131071,131071,True,True,131071,0,0,0,0,1048576,833785,1,2,6,True,131071,570633340,3627,392715362,2164,5578919,3538288225,3458789961,216186464,3994792663,4027830,131071,550092
15,C1,kept_8,161.66,5321055,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1005875,1,1,2,True,131071,525249644,3307,341265015,1834,5187261,3206352002,3141638319,203997925,3229433366,3994102,131071,542563
16,C3,kept_8,69.83,5959572,4408318,1551254,85,1.9281730582957037e-05,74232278,74232278,9575935,131071,131071,True,True,131071,0,0,0,0,1048576,833306,1.0,2,6,True,131071,575407861,3687,396586040,2194,5873039,3523931952,3445084179,216693387,3976947239,4016486,131071,549822
17,C1,kept_9,161.42,5341035,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1006721,1,1,2,True,131071,532045125,3366,345680021,1853,5629222,3199580540,3134902641,201322798,3223130865,3995390,131071,542137
18,C3,kept_9,68.79,5966872,4409229,1557643,64,1.4515009313419648e-05,72534201,72534201,9386452,131071,131071,True,True,131071,0,0,0,0,1048576,812712,1.0,2,6,True,131071,570819582,3627,398745153,2204,5885631,3545693535,3467019778,220024148,3995338569,4022645,131071,550006
19,C1,kept_10,162.76,5344371,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1006546,1.0,1,2,True,131071,528472038,3317,343172008,1834,5472081,3231864501,3166985104,202748843,3255246980,3994521,131071,542705
20,C3,kept_10,68.97,6051943,4504156,1547787,80,1.7761374161996164e-05,72717042,72717042,9518795,131071,131071,True,True,131071,0,0,0,0,1048576,803242,1.0,2,6,True,131071,585163293,3697,404461769,2244,5796085,3551173415,3470273044,222170837,4021357462,4031737,131071,550978
21,C1,kept_11,162.72,5324684,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1007048,1.0,1,2,True,131071,523796181,3286,341423057,1843,5623620,3210700066,3146139623,203931839,3234220632,3999441,131071,542797
22,C3,kept_11,70.19,6057851,4516225,1541626,104,2.302808208182719e-05,73846894,73846894,9954156,131071,131071,True,True,131071,0,0,0,0,1048576,820253,1,2,6,True,131071,585864546,3697,404957117,2234,6024704,3557120585,3476444817,218230746,4030832957,3995135,131071,550557
23,C1,kept_12,163.14,5360343,0,0,0,0.0,0,0,0,131071,0,True,False,0,0,0,0,0,1048576,1007783,1,1,2,True,131071,532768870,3357,344452478,1853,5662013,3232351760,3167294105,203414641,3255953482,4005684,131071,542771
24,C3,kept_12,70.49,5995893,4428636,1567257,91,2.0548087492401725e-05,73995290,73995290,9877308,131071,131071,True,True,131071,0,0,0,0,1048576,815774,1.0,2,6,True,131071,577959438,3697,402507442,2204,5888268,3542704907,3463534900,216205775,3995553998,4009882,131071,550333
