run_order_idx,timestamp_iso8601,config,bench,size,iters,rep_in_cell,phase,wall_s,per_iter_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-15T11:35:09Z,C1,bench_stencil_oversub,48000,1,warmup_1,warmup,16.68,16.680000,4488C9F6F75570BB2FB34F8,0,60408884,60154864
2,2026-08-15T11:35:26Z,C3,bench_stencil_oversub,48000,1,warmup_1,warmup,17.35,17.350000,4488C9F6F75570BB2FB34F8,0,60126844,59892632
3,2026-08-15T11:35:44Z,C1,bench_stencil_oversub,48000,1,kept_2,kept,16.68,16.680000,4488C9F6F75570BB2FB34F8,0,59879856,59656940
4,2026-08-15T11:36:01Z,C3,bench_stencil_oversub,48000,1,kept_2,kept,17.52,17.520000,4488C9F6F75570BB2FB34F8,0,59639212,59400516
5,2026-08-15T11:36:19Z,C1,bench_stencil_oversub,48000,1,kept_3,kept,16.66,16.660000,4488C9F6F75570BB2FB34F8,0,59409968,59156124
6,2026-08-15T11:36:36Z,C3,bench_stencil_oversub,48000,1,kept_3,kept,17.37,17.370000,4488C9F6F75570BB2FB34F8,0,59148704,58897612
7,2026-08-15T11:36:54Z,C1,bench_stencil_oversub,48000,1,kept_4,kept,16.67,16.670000,4488C9F6F75570BB2FB34F8,0,58845856,58656808
8,2026-08-15T11:37:12Z,C3,bench_stencil_oversub,48000,1,kept_4,kept,17.31,17.310000,4488C9F6F75570BB2FB34F8,0,58644356,58394216
9,2026-08-15T11:37:29Z,C1,bench_stencil_oversub,48000,1,kept_5,kept,16.70,16.700000,4488C9F6F75570BB2FB34F8,0,58398112,58156688
10,2026-08-15T11:37:47Z,C3,bench_stencil_oversub,48000,1,kept_5,kept,17.34,17.340000,4488C9F6F75570BB2FB34F8,0,58137708,57889508
11,2026-08-15T11:38:05Z,C1,bench_stencil_oversub,48000,1,kept_6,kept,16.66,16.660000,4488C9F6F75570BB2FB34F8,0,57895936,57638272
12,2026-08-15T11:38:22Z,C3,bench_stencil_oversub,48000,1,kept_6,kept,17.33,17.330000,4488C9F6F75570BB2FB34F8,0,57619200,57366488
