run_order_idx,timestamp_iso8601,config,bench,size,iters,rep_in_cell,phase,wall_s,per_iter_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb,atomic_processed,atomic_enqueued,atomic_drops,atomic_demand_faults,atomic_spec_hits,atomic_spec_migrations
1,2026-08-15T14:29:09Z,C0,bench_stencil_oversub,48000,20,warmup_1,warmup,27.28,1.364000,4488C9F6F75570BB2FB34F8,0,60275252,60012384,0,0,0,22108412,0,0
2,2026-08-15T14:29:37Z,C1,bench_stencil_oversub,48000,20,warmup_1,warmup,160.29,8.014500,4488C9F6F75570BB2FB34F8,0,60008740,59788260,0,0,0,238060369,0,0
3,2026-08-15T14:32:18Z,C3,bench_stencil_oversub,48000,20,warmup_1,warmup,80.45,4.022500,4488C9F6F75570BB2FB34F8,0,59784952,59531216,86727987,86727987,13025876,99753863,2962,86677684
4,2026-08-15T14:33:39Z,C0,bench_stencil_oversub,48000,20,kept_2,kept,27.22,1.361000,4488C9F6F75570BB2FB34F8,0,59541104,59286112,0,0,0,22194913,0,0
5,2026-08-15T14:34:07Z,C1,bench_stencil_oversub,48000,20,kept_2,kept,159.67,7.983500,4488C9F6F75570BB2FB34F8,0,59291696,58974992,0,0,0,238345669,0,0
6,2026-08-15T14:36:47Z,C3,bench_stencil_oversub,48000,20,kept_2,kept,76.55,3.827500,4488C9F6F75570BB2FB34F8,0,58966536,58713944,82626499,82626499,11840069,94466568,1984,82582935
7,2026-08-15T14:38:04Z,C0,bench_stencil_oversub,48000,20,kept_3,kept,27.18,1.359000,4488C9F6F75570BB2FB34F8,0,58713232,58470788,0,0,0,22164344,0,0
8,2026-08-15T14:38:32Z,C1,bench_stencil_oversub,48000,20,kept_3,kept,160.01,8.000500,4488C9F6F75570BB2FB34F8,0,58472716,58241220,0,0,0,238275796,0,0
9,2026-08-15T14:41:12Z,C3,bench_stencil_oversub,48000,20,kept_3,kept,74.36,3.718000,4488C9F6F75570BB2FB34F8,0,58230852,57984216,80423900,80423900,11085136,91509036,1345,80384153
10,2026-08-15T14:42:27Z,C0,bench_stencil_oversub,48000,20,kept_4,kept,27.17,1.358500,4488C9F6F75570BB2FB34F8,1,57989140,57726788,0,0,0,22200319,0,0
11,2026-08-15T14:42:55Z,C1,bench_stencil_oversub,48000,20,kept_4,kept,159.08,7.954000,4488C9F6F75570BB2FB34F8,3,57730152,57482080,0,0,0,237797051,0,0
12,2026-08-15T14:45:35Z,C3,bench_stencil_oversub,48000,20,kept_4,kept,77.74,3.887000,4488C9F6F75570BB2FB34F8,0,57468596,57223864,84143169,84143169,11898840,96042009,2611,84097584
13,2026-08-15T14:46:53Z,C0,bench_stencil_oversub,48000,20,kept_5,kept,27.17,1.358500,4488C9F6F75570BB2FB34F8,0,57234120,56973708,0,0,0,22184264,0,0
14,2026-08-15T14:47:21Z,C1,bench_stencil_oversub,48000,20,kept_5,kept,159.69,7.984500,4488C9F6F75570BB2FB34F8,2,56970936,56689852,0,0,0,237872903,0,0
15,2026-08-15T14:50:01Z,C3,bench_stencil_oversub,48000,20,kept_5,kept,75.14,3.757000,4488C9F6F75570BB2FB34F8,0,56686156,56433464,80412818,80412818,11379129,91791947,2313,80372005
16,2026-08-15T14:51:17Z,C0,bench_stencil_oversub,48000,20,kept_6,kept,27.19,1.359500,4488C9F6F75570BB2FB34F8,1,56439164,56182192,0,0,0,22158987,0,0
17,2026-08-15T14:51:44Z,C1,bench_stencil_oversub,48000,20,kept_6,kept,159.01,7.950500,4488C9F6F75570BB2FB34F8,2,56179060,55933996,0,0,0,237933775,0,0
18,2026-08-15T14:54:24Z,C3,bench_stencil_oversub,48000,20,kept_6,kept,74.00,3.700000,4488C9F6F75570BB2FB34F8,0,55920656,55654420,79795384,79795384,10767845,90563229,1807,79756197
