run_order_idx,timestamp_iso8601,config,bench,size,iters,rep_in_cell,phase,wall_s,per_iter_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb,atomic_processed,atomic_enqueued,atomic_drops,atomic_demand_faults,atomic_spec_hits,atomic_spec_migrations
1,2026-08-15T13:12:19Z,C0,bench_stencil_oversub,48000,1,warmup_1,warmup,3.26,3.260000,4488C9F6F75570BB2FB34F8,0,41431308,41246052,0,0,0,1089801,0,0
2,2026-08-15T13:12:23Z,C1,bench_stencil_oversub,48000,1,warmup_1,warmup,17.12,17.120000,4488C9F6F75570BB2FB34F8,0,41159832,40932940,0,0,0,12510545,0,0
3,2026-08-15T13:12:40Z,C3,bench_stencil_oversub,48000,1,warmup_1,warmup,17.99,17.990000,4488C9F6F75570BB2FB34F8,0,40917688,40657728,10937454,10937454,1688655,12626109,188,10933813
4,2026-08-15T13:12:59Z,C0,bench_stencil_oversub,48000,1,kept_2,kept,3.29,3.290000,4488C9F6F75570BB2FB34F8,0,40657260,40198268,0,0,0,1098046,0,0
5,2026-08-15T13:13:03Z,C1,bench_stencil_oversub,48000,1,kept_2,kept,17.17,17.170000,4488C9F6F75570BB2FB34F8,0,40191928,40139184,0,0,0,12526687,0,0
6,2026-08-15T13:13:21Z,C3,bench_stencil_oversub,48000,1,kept_2,kept,18.12,18.120000,4488C9F6F75570BB2FB34F8,0,40111628,39875340,10936285,10936285,1678985,12615270,314,10932460
7,2026-08-15T13:13:39Z,C0,bench_stencil_oversub,48000,1,kept_3,kept,3.28,3.280000,4488C9F6F75570BB2FB34F8,0,39886452,39625728,0,0,0,1090286,0,0
8,2026-08-15T13:13:43Z,C1,bench_stencil_oversub,48000,1,kept_3,kept,17.29,17.290000,4488C9F6F75570BB2FB34F8,0,39616684,39366932,0,0,0,12484848,0,0
9,2026-08-15T13:14:01Z,C3,bench_stencil_oversub,48000,1,kept_3,kept,18.05,18.050000,4488C9F6F75570BB2FB34F8,0,39304752,39077960,10929286,10929286,1680958,12610244,196,10925925
10,2026-08-15T13:14:20Z,C0,bench_stencil_oversub,48000,1,kept_4,kept,3.33,3.330000,4488C9F6F75570BB2FB34F8,0,39078680,38837532,0,0,0,1095779,0,0
