workload,arm,L,n,demand_faults,ft_predictions,enqueued,not_enqueued_drops,spec_migrations,lost_after_enqueue,prestaged_coverage_pct,fault_already_resident,spec_hits_10ms_staleness_counter,ft_skipped,ft_unknown_page,ft_exhausted
stencil,C0,,10,346439.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stencil,C1,,10,2930090.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stencil,C6,1,10,2891993.5,141044.5,141044.5,0.0,129527.0,11502.0,11.51351111111111,129525.5,129474.0,983955.5,0.0,7.0
stencil,C6,16,10,2893016.0,418790.5,418790.5,0.0,328038.0,91061.5,29.158933333333334,327837.5,326515.0,706209.5,0.0,83.5
stencil,C6,256,10,2996748.5,1124999.0,1124999.0,0.0,846140.0,278859.0,75.21244444444444,846140.0,441672.5,1.0,0.0,833.0
stencil,C6,4096,10,2992458.0,1124999.0,919828.0,205171.0,919262.0,559.5,81.71217777777778,919262.0,858.5,1.0,0.0,11242.5
graphbfs,C0,,10,43900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graphbfs,C1,,10,487830.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graphbfs,C6,1,10,486260.5,9166.0,9166.0,0.0,2773.0,6388.5,0.9629943463584715,2773.0,2520.0,278790.0,0.0,6237.5
graphbfs,C6,16,10,486110.0,10425.0,10425.0,0.0,3915.0,6490.5,1.359582714025754,3914.5,3435.5,277531.0,0.0,29590.5
graphbfs,C6,256,10,485832.5,16506.0,16506.0,0.0,9743.0,6784.5,3.383503035185931,9742.5,7649.0,271450.0,0.0,33221.0
graphbfs,C6,4096,10,484795.0,80962.0,80962.0,0.0,71938.0,9100.5,24.982288960813456,71911.5,1562.5,206994.0,0.0,37330.0
