idx,workload,arm,L,records,full_coverage,bad_records,records_with_d6,window_ns,dispatch_groups,rec_faults,fault_already_resident
1,stencil,C1,,75199,1,0,75199,2239687239,231627,2932801,0
2,stencil,C6,4096,68303,1,0,68303,2026208900,212924,2995472,924913
3,graphbfs,C1,,23748,1,0,23748,871420717,218127,485160,0
4,graphbfs,C6,4096,23598,1,0,23598,887877475,218724,487415,68558
5,stencil,C6,4096,68358,1,0,68358,2041421829,212991,2994053,919270
6,stencil,C1,,74776,1,0,74776,2239092420,230459,2934612,0
7,graphbfs,C6,4096,23534,1,0,23534,882228095,219144,481900,66023
8,graphbfs,C1,,23855,1,0,23855,898680900,219301,492682,0
9,stencil,C1,,74904,1,0,74904,2243341264,230864,2942006,0
10,stencil,C6,4096,68442,1,0,68442,2069008140,213323,2985957,911263
