idx,ts_utc,workload,arm,L,wall_s,bench_result_ms,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,decomp_records,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident
1,2026-09-25T14:43:50Z,stencil,C1,,4.356978,2498.33,0,5997D238EF080B77DBD2AAF,61395348,61158492,40.0,0,75199,2932801,0,0,0,0,0,0,0,0,0,0,0
2,2026-09-25T14:43:56Z,stencil,C6,4096,4.083226,2302.37,0,5997D238EF080B77DBD2AAF,61384468,61124804,40.0,0,68303,2995472,925504,925504,199495,882,924913,1124999,1,1859789,0,10684,924913
3,2026-09-25T14:44:31Z,graphbfs,C1,,33.520756,1489.31,0,5997D238EF080B77DBD2AAF,61409556,60991832,40.0,0,23748,485160,0,0,0,0,0,0,0,0,0,0,0
4,2026-09-25T14:45:05Z,graphbfs,C6,4096,33.207959,1510.40,0,5997D238EF080B77DBD2AAF,61232728,61018000,40.0,0,23598,487415,77646,77646,0,1530,68570,77646,210310,372391,0,37378,68558
5,2026-09-25T14:45:11Z,stencil,C6,4096,4.109489,2307.15,0,5997D238EF080B77DBD2AAF,61256916,61029396,40.0,0,68358,2994053,919860,919860,205139,839,919270,1124999,1,1857976,0,11078,919270
6,2026-09-25T14:45:17Z,stencil,C1,,4.308875,2519.06,0,5997D238EF080B77DBD2AAF,61193108,61073548,40.0,0,74776,2934612,0,0,0,0,0,0,0,0,0,0,0
7,2026-09-25T14:45:51Z,graphbfs,C6,4096,33.230057,1526.59,0,5997D238EF080B77DBD2AAF,61333592,60939072,40.0,0,23534,481900,75113,75113,0,1488,66028,75113,212843,372172,0,34615,66023
8,2026-09-25T14:46:26Z,graphbfs,C1,,33.300507,1486.49,0,5997D238EF080B77DBD2AAF,61109856,61097116,40.0,0,23855,492682,0,0,0,0,0,0,0,0,0,0,0
9,2026-09-25T14:46:31Z,stencil,C1,,4.266266,2503.13,0,5997D238EF080B77DBD2AAF,61375900,61140364,40.0,0,74904,2942006,0,0,0,0,0,0,0,0,0,0,0
10,2026-09-25T14:46:37Z,stencil,C6,4096,4.074543,2329.50,0,5997D238EF080B77DBD2AAF,61360696,61140832,40.0,0,68442,2985957,912265,912265,212734,1120,911560,1124999,1,1849779,0,11179,911263
