workload,L,comparison,baseline,n_base,n_c6,median_base,median_c6,delta_s,delta_pct,U,p,mwu_method,cohen_d,mde_s,mde_bonf_s,noout_n_base,noout_n_c6,noout_delta_s,noout_p,holm_threshold,holm_sig,noout_holm_threshold,noout_holm_sig,verdict,falsification_trigger
stencil,1,C6-L1 vs C0,C0,10,10,1.1374285,4.644097,3.5066685000000004,308.2979281774635,100.0,1.082508822446903e-05,exact,148.98141779832312,0.0294568139846718,0.03992071554324929,9,9,3.50873,4.113533525298231e-05,0.003125,True,0.00625,True,C6 slower,False
stencil,16,C6-L16 vs C0,C0,10,10,1.1374285,4.6390335,3.501605,307.8527573381536,100.0,1.082508822446903e-05,exact,137.7083225048183,0.03177992531061952,0.04306906235586514,9,10,3.5044525,2.165017644893806e-05,0.0033333333333333335,True,0.004545454545454546,True,C6 slower,False
stencil,256,C6-L256 vs C0,C0,10,10,1.1374285,4.2891535,3.1517250000000003,277.0921424951107,100.0,1.082508822446903e-05,exact,118.93458469360523,0.033227534658952625,0.045030903885727336,9,9,3.1521050000000006,4.113533525298231e-05,0.0035714285714285718,True,0.0071428571428571435,True,C6 slower,False
stencil,4096,C6-L4096 vs C0,C0,10,10,1.1374285,4.0728575,2.9354289999999996,258.0759142223006,100.0,1.082508822446903e-05,exact,123.85769635055664,0.029653373070380133,0.04018709802955914,9,10,2.9382764999999997,2.165017644893806e-05,0.0038461538461538464,True,0.005,True,C6 slower,False
stencil,1,C6-L1 vs C1,C1,10,10,4.316558000000001,4.644097,0.3275389999999998,7.587967079325698,100.0,1.082508822446903e-05,exact,20.813235453717926,0.020155187120160727,0.027314885179489753,10,9,0.3267529999999992,2.165017644893806e-05,0.004166666666666667,True,0.005555555555555556,True,C6 slower,False
stencil,16,C6-L16 vs C1,C1,10,10,4.316558000000001,4.6390335,0.32247549999999947,7.470662968040727,100.0,1.082508822446903e-05,exact,17.392776694276364,0.02341989176895768,0.03173930615336579,10,10,0.32247549999999947,1.082508822446903e-05,0.004545454545454546,True,0.003125,True,C6 slower,False
stencil,256,C6-L256 vs C1,C1,10,10,4.316558000000001,4.2891535,-0.027404500000000276,-0.634869263890356,26.0,0.07525601333650869,exact,-0.6753674257548606,0.02534949185354679,0.03435435529375128,10,9,-0.02987200000000012,0.01721189027690576,0.016666666666666666,False,0.0125,False,no significant difference,False
stencil,4096,C6-L4096 vs C1,C1,10,10,4.316558000000001,4.0728575,-0.24370050000000099,-5.6457135523257405,0.0,1.082508822446903e-05,exact,-14.491424217122841,0.02044138479096469,0.027702748436230645,10,10,-0.24370050000000099,1.082508822446903e-05,0.005,True,0.0033333333333333335,True,C6 faster,False
graphbfs,1,C6-L1 vs C0,C0,10,10,31.593109499999997,33.2258615,1.6327520000000035,5.168063624759708,100.0,1.082508822446903e-05,exact,15.323697599861601,0.13544277545531075,0.18355591728804171,10,10,1.6327520000000035,1.082508822446903e-05,0.005555555555555556,True,0.0035714285714285718,True,C6 slower,False
graphbfs,16,C6-L16 vs C0,C0,10,10,31.593109499999997,33.182058,1.5889485000000008,5.029414720953634,100.0,1.082508822446903e-05,exact,15.18413999898352,0.13404896823585594,0.18166698993972302,10,10,1.5889485000000008,1.082508822446903e-05,0.00625,True,0.0038461538461538464,True,C6 slower,False
graphbfs,256,C6-L256 vs C0,C0,10,10,31.593109499999997,33.292882,1.6997725000000017,5.380200071790976,100.0,1.082508822446903e-05,exact,17.02341371289484,0.12319222902934375,0.16695362691899904,10,10,1.6997725000000017,1.082508822446903e-05,0.0071428571428571435,True,0.004166666666666667,True,C6 slower,False
graphbfs,4096,C6-L4096 vs C0,C0,10,10,31.593109499999997,33.205609499999994,1.6124999999999972,5.103961039352575,100.0,1.082508822446903e-05,exact,12.676286011323407,0.15958741228875195,0.21627741865015193,10,8,1.6124999999999972,4.570592805886923e-05,0.008333333333333333,True,0.008333333333333333,True,C6 slower,False
graphbfs,1,C6-L1 vs C1,C1,10,10,33.113871,33.2258615,0.11199049999999744,0.33819815267142106,77.0,0.04325705254497823,exact,1.095748978180972,0.12275846333092952,0.1663657752569753,10,10,0.11199049999999744,0.04325705254497823,0.0125,False,0.016666666666666666,False,no significant difference,False
graphbfs,16,C6-L16 vs C1,C1,10,10,33.113871,33.182058,0.06818699999999467,0.20591672897437652,68.0,0.19031587607439004,exact,0.7791411324035297,0.12121889614012722,0.1642793098328558,10,10,0.06818699999999467,0.19031587607439004,0.025,False,0.05,False,no significant difference,False
graphbfs,256,C6-L256 vs C1,C1,10,10,33.113871,33.292882,0.1790109999999956,0.5405921886933592,86.0,0.0051960423477451344,exact,1.4316318957631453,0.10909271373263993,0.14784556113325936,10,10,0.1790109999999956,0.0051960423477451344,0.01,True,0.01,True,C6 slower,False
graphbfs,4096,C6-L4096 vs C1,C1,10,10,33.113871,33.205609499999994,0.09173849999999106,0.2770394920001683,67.0,0.21756262313537858,exact,0.5504612075400106,0.14897327631945784,0.20189283846479816,10,8,0.09173849999999106,0.14571049865167512,0.05,False,0.025,False,no significant difference,False
