idx,workload,arm,L
1,stencil,C0,
2,stencil,C6,16
3,graphbfs,C6,256
4,graphbfs,C6,16
5,graphbfs,C1,
6,graphbfs,C6,4096
7,stencil,C6,256
8,graphbfs,C0,
9,stencil,C1,
10,graphbfs,C6,1
11,stencil,C6,1
12,stencil,C6,4096
13,stencil,C6,16
14,stencil,C6,4096
15,graphbfs,C6,16
16,graphbfs,C6,256
17,graphbfs,C6,4096
18,graphbfs,C1,
19,stencil,C6,1
20,stencil,C0,
21,stencil,C6,256
22,graphbfs,C6,1
23,stencil,C1,
24,graphbfs,C0,
25,stencil,C6,4096
26,graphbfs,C6,256
27,graphbfs,C6,1
28,graphbfs,C6,4096
29,graphbfs,C0,
30,stencil,C6,1
31,stencil,C6,256
32,stencil,C6,16
33,stencil,C1,
34,stencil,C0,
35,graphbfs,C6,16
36,graphbfs,C1,
37,graphbfs,C6,256
38,stencil,C6,256
39,stencil,C1,
40,stencil,C6,1
41,stencil,C6,4096
42,graphbfs,C6,16
43,stencil,C0,
44,graphbfs,C6,1
45,graphbfs,C1,
46,graphbfs,C0,
47,graphbfs,C6,4096
48,stencil,C6,16
49,graphbfs,C6,4096
50,stencil,C0,
51,graphbfs,C6,1
52,graphbfs,C6,256
53,graphbfs,C6,16
54,stencil,C6,16
55,stencil,C1,
56,stencil,C6,4096
57,graphbfs,C0,
58,graphbfs,C1,
59,stencil,C6,1
60,stencil,C6,256
61,stencil,C6,1
62,stencil,C6,4096
63,stencil,C6,16
64,graphbfs,C6,4096
65,graphbfs,C1,
66,stencil,C6,256
67,graphbfs,C0,
68,stencil,C1,
69,graphbfs,C6,256
70,graphbfs,C6,16
71,graphbfs,C6,1
72,stencil,C0,
73,graphbfs,C0,
74,stencil,C6,4096
75,graphbfs,C6,1
76,graphbfs,C6,16
77,graphbfs,C6,256
78,stencil,C0,
79,stencil,C6,1
80,stencil,C1,
81,graphbfs,C6,4096
82,graphbfs,C1,
83,stencil,C6,16
84,stencil,C6,256
85,stencil,C0,
86,stencil,C6,1
87,stencil,C6,16
88,graphbfs,C6,1
89,graphbfs,C6,16
90,stencil,C1,
91,stencil,C6,256
92,graphbfs,C6,4096
93,stencil,C6,4096
94,graphbfs,C0,
95,graphbfs,C1,
96,graphbfs,C6,256
97,stencil,C6,256
98,graphbfs,C6,1
99,graphbfs,C6,256
100,stencil,C6,16
101,stencil,C1,
102,graphbfs,C1,
103,graphbfs,C6,16
104,graphbfs,C6,4096
105,graphbfs,C0,
106,stencil,C6,4096
107,stencil,C6,1
108,stencil,C0,
109,graphbfs,C6,256
110,graphbfs,C6,16
111,stencil,C6,256
112,stencil,C0,
113,graphbfs,C1,
114,stencil,C6,4096
115,graphbfs,C6,4096
116,stencil,C1,
117,graphbfs,C0,
118,stencil,C6,1
119,graphbfs,C6,1
120,stencil,C6,16
