idx,workload,arm,L
1,graphbfs,C7,16
2,stencil,C7,256
3,stencil,C7,4096
4,stencil,C7,16
5,graphbfs,C7,1
6,graphbfs,C7,256
7,stencil,C0,
8,graphbfs,C7,4096
9,graphbfs,C0,
10,stencil,C7,1
11,stencil,C7,16
12,graphbfs,C7,16
13,graphbfs,C7,256
14,graphbfs,C0,
15,graphbfs,C7,1
16,stencil,C7,256
17,stencil,C7,4096
18,stencil,C7,1
19,graphbfs,C7,4096
20,stencil,C0,
21,graphbfs,C7,256
22,stencil,C7,1
23,stencil,C7,256
24,stencil,C7,16
25,graphbfs,C0,
26,graphbfs,C7,1
27,stencil,C7,4096
28,graphbfs,C7,4096
29,graphbfs,C7,16
30,stencil,C0,
31,graphbfs,C7,256
32,stencil,C7,256
33,stencil,C7,16
34,graphbfs,C7,16
35,stencil,C7,4096
36,graphbfs,C0,
37,stencil,C7,1
38,graphbfs,C7,1
39,graphbfs,C7,4096
40,stencil,C0,
41,graphbfs,C7,256
42,stencil,C7,4096
43,graphbfs,C0,
44,graphbfs,C7,4096
45,graphbfs,C7,1
46,stencil,C7,16
47,stencil,C7,256
48,stencil,C7,1
49,graphbfs,C7,16
50,stencil,C0,
51,stencil,C7,1
52,graphbfs,C7,4096
53,graphbfs,C7,1
54,graphbfs,C0,
55,stencil,C7,16
56,stencil,C7,4096
57,stencil,C7,256
58,graphbfs,C7,16
59,graphbfs,C7,256
60,stencil,C0,
61,stencil,C7,4096
62,stencil,C7,16
63,graphbfs,C7,256
64,graphbfs,C7,16
65,graphbfs,C7,4096
66,stencil,C7,256
67,stencil,C0,
68,stencil,C7,1
69,graphbfs,C0,
70,graphbfs,C7,1
71,stencil,C7,1
72,graphbfs,C7,16
73,stencil,C0,
74,graphbfs,C7,256
75,graphbfs,C7,1
76,graphbfs,C7,4096
77,graphbfs,C0,
78,stencil,C7,256
79,stencil,C7,4096
80,stencil,C7,16
81,stencil,C0,
82,stencil,C7,16
83,stencil,C7,256
84,graphbfs,C7,256
85,stencil,C7,4096
86,graphbfs,C7,16
87,graphbfs,C0,
88,stencil,C7,1
89,graphbfs,C7,1
90,graphbfs,C7,4096
91,stencil,C7,256
92,graphbfs,C7,256
93,stencil,C7,1
94,graphbfs,C7,4096
95,graphbfs,C7,16
96,graphbfs,C7,1
97,stencil,C7,16
98,stencil,C7,4096
99,stencil,C0,
100,graphbfs,C0,
