workload,arm,L,n,demand_faults,ft_predictions,enqueued,not_enqueued_drops,spec_migrations,lost_after_enqueue,prestaged_coverage_upper_bound_pct,fault_already_resident,fault_already_resident_min,fault_already_resident_max,spec_hits_10ms_staleness_counter,ft_skipped,ft_exhausted
stencil,C0,,10,347509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
stencil,C7,1,10,340880.0,19815.5,19815.5,0.0,16051.0,3773.0,1.4267555555555556,7513.0,7215,7702,7577.0,1104591.0,0.0
stencil,C7,16,10,338913.0,79139.5,79139.5,0.0,52623.5,26310.0,4.677644444444445,11174.0,10465,11751,10534.0,1045264.0,0.0
stencil,C7,256,10,340024.0,335029.5,335029.5,0.0,244507.5,90107.0,21.734,29334.5,27890,31540,22376.5,789476.0,0.0
stencil,C7,4096,10,344430.0,344430.0,344430.0,0.0,252656.0,90781.5,22.45831111111111,30530.5,28579,31413,23155.0,780114.5,0.0
graphbfs,C0,,10,44307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
graphbfs,C7,1,10,44487.0,725.5,725.5,0.0,557.5,155.5,0.19360596757838003,317.5,257,400,337.0,287204.5,0.0
graphbfs,C7,16,10,44539.0,1202.0,1202.0,0.0,1005.0,191.5,0.3490116545583353,357.5,333,447,370.0,286738.0,0.0
graphbfs,C7,256,10,44033.0,1789.5,1789.5,0.0,1510.5,276.5,0.5245593076720054,399.0,316,468,394.0,286142.5,0.0
graphbfs,C7,4096,10,43317.5,6135.5,6135.5,0.0,5710.5,449.0,1.9831154759754963,608.0,523,709,443.0,281820.5,1052.5
