idx,workload,arm,closure_violations,D1,D2,D3,D4,D5,D4_minus_D5,svc,svc_minus_D3_D4,D6,D7,window
1,stencil,C1,0,292412207,188267227,3003475,1627946915,1595174282,32772633,1642704457,11754067,112900368,3402980,2239687239
2,stencil,C64096,0,282923051,197593643,2847862,934524661,901083675,33440986,1425177301,487804778,117403559,3111346,2026208900
3,graphbfs,C1,0,62979071,34562346,954401,749611583,737361317,12250266,753528991,2963007,19265745,1084564,871420717
4,graphbfs,C64096,0,63454579,35058122,1002671,673248874,660350516,12898358,767073599,92822054,21215598,1075577,887877475
5,stencil,C64096,0,283965547,197603101,2926037,947347522,913853233,33494289,1438887242,488613683,117851849,3114090,2041421829
6,stencil,C1,0,294205483,191062376,2989869,1623401325,1590692135,32709190,1638105065,11713871,112327421,3392075,2239092420
7,graphbfs,C64096,0,61578445,34866910,1004449,671356092,658503403,12852689,763912389,91551848,20805531,1064820,882228095
8,graphbfs,C1,0,62603609,34838103,961212,777286024,764945299,12340725,781219361,2972125,18924131,1095696,898680900
9,stencil,C1,0,292368831,191435095,3001102,1629016616,1596233033,32783583,1643736959,11719241,112405966,3394413,2243341264
10,stencil,C64096,0,282689147,197275798,3024633,973850164,939407685,34442479,1467245674,490370877,118676807,3120714,2069008140
