idx,workload,arm,batch_records,decomp_records,full_coverage,ft_predictions,enqueued,drops,demand_faults,enq_ns,ring_spec_enqueues,ring_spec_drops,outside_ns,d3_ns,prelock_ns,pairs_misaligned,t1_zero,multi_va_space,len_mismatch,postlock_ns
1,stencil,C74096,5767,5767,1,334330,334330,0,334330,24638723,334330,0,80474492,254723,80030529,0,0,0,0,443963
2,stencil,C0,6066,6066,1,0,0,0,349556,0,0,0,1068808,250490,672245,0,0,0,0,396563
3,graphbfs,C64096,23594,23594,1,78623,78054,569,491517,8542873,78054,569,93935299,1016815,92266721,0,0,0,0,1668578
4,stencil,C64096,68081,68081,1,1124999,914893,210106,2997027,58857702,914893,210106,487780065,2815145,482783484,0,0,0,0,4996581
5,stencil,C1,74701,74701,1,0,0,0,2934994,0,0,0,11757340,3005635,6962783,0,0,0,0,4794557
6,graphbfs,C1,23760,23760,1,0,0,0,492748,0,0,0,2973048,955948,1443062,0,0,0,0,1529986
7,stencil,C0,6167,6167,1,0,0,0,335489,0,0,0,1058458,254566,662231,0,0,0,0,396227
8,stencil,C64096,68180,68180,1,1124999,924565,200434,2990174,60644795,924565,200434,489764016,2940086,484663552,0,0,0,0,5100464
9,stencil,C64096,68051,68051,1,1124999,916440,208559,2990841,62473691,916440,208559,493877168,2963979,488694571,0,0,0,0,5182597
10,graphbfs,C64096,23443,23443,1,75736,75736,0,478538,9093799,75736,0,91941531,1013202,90299541,0,0,0,0,1641990
11,stencil,C1,74779,74779,1,0,0,0,2931773,0,0,0,11719825,2992764,6942169,0,0,0,0,4777656
12,stencil,C0,6134,6134,1,0,0,0,332405,0,0,0,1059856,252213,657320,0,0,0,0,402536
13,stencil,C74096,5677,5677,1,348308,348308,0,348308,24937391,348308,0,81528170,247696,81108509,0,0,0,0,419661
14,stencil,C1,74896,74896,1,0,0,0,2921777,0,0,0,11747308,3005849,6958045,0,0,0,0,4789263
15,stencil,C74096,5781,5781,1,333202,333202,0,333202,25338907,333202,0,82684754,264206,82227328,0,0,0,0,457426
16,graphbfs,C1,23778,23778,1,0,0,0,487782,0,0,0,2998253,975388,1449008,0,0,0,0,1549245
