idx,ts_utc,workload,arm,L,wall_s,bench_result_ms,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,batch_records,decomp_records,batch_bytes_mod,decomp_bytes_mod,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident
1,2026-09-25T19:37:14Z,stencil,C7,4096,1.309297,481.57,0,5997D238EF080B77DBD2AAF,61266116,61085240,39.8,0,5767,5767,0,0,334330,334330,334330,0,22001,242464,334330,790350,0,0,0,29032
2,2026-09-25T19:37:16Z,stencil,C0,,1.136433,377.32,0,5997D238EF080B77DBD2AAF,61365472,61128000,39.8,0,6066,6066,0,0,349556,0,0,0,0,0,0,0,0,0,0,0
3,2026-09-25T19:37:51Z,graphbfs,C6,4096,33.274143,1496.52,0,5997D238EF080B77DBD2AAF,61363740,61042508,39.7,0,23594,23594,0,0,491517,78054,78054,569,1478,69241,78623,209333,374880,0,38014,69227
4,2026-09-25T19:37:56Z,stencil,C6,4096,4.087354,2292.75,0,5997D238EF080B77DBD2AAF,61274240,61050472,39.7,0,68081,68081,0,0,2997027,914893,914893,210106,749,914431,1124999,1,1861157,0,10871,913862
5,2026-09-25T19:38:02Z,stencil,C1,,4.331729,2539.33,0,5997D238EF080B77DBD2AAF,61321272,61101444,39.7,0,74701,74701,0,0,2934994,0,0,0,0,0,0,0,0,0,0,0
6,2026-09-25T19:38:36Z,graphbfs,C1,,33.015786,1488.19,0,5997D238EF080B77DBD2AAF,61323568,61006256,39.7,0,23760,23760,0,0,492748,0,0,0,0,0,0,0,0,0,0,0
7,2026-09-25T19:38:39Z,stencil,C0,,1.129115,367.49,0,5997D238EF080B77DBD2AAF,61255160,61127168,39.7,0,6167,6167,0,0,335489,0,0,0,0,0,0,0,0,0,0,0
8,2026-09-25T19:38:44Z,stencil,C6,4096,4.078155,2314.21,0,5997D238EF080B77DBD2AAF,61259752,61086992,39.7,0,68180,68180,0,0,2990174,924565,924565,200434,972,923861,1124999,1,1854115,0,11060,923626
9,2026-09-25T19:38:50Z,stencil,C6,4096,4.112352,2336.70,0,5997D238EF080B77DBD2AAF,61333104,61084000,39.7,0,68051,68051,0,0,2990841,916440,916440,208559,1665,915337,1124999,1,1854526,0,11316,914336
10,2026-09-25T19:39:25Z,graphbfs,C6,4096,33.614405,1498.96,0,5997D238EF080B77DBD2AAF,61354244,60946220,39.7,0,23443,23443,0,0,478538,75736,75736,0,1377,66779,75736,212220,366471,0,36331,66777
11,2026-09-25T19:39:30Z,stencil,C1,,4.325086,2533.25,0,5997D238EF080B77DBD2AAF,61206540,60963952,39.7,0,74779,74779,0,0,2931773,0,0,0,0,0,0,0,0,0,0,0
12,2026-09-25T19:39:33Z,stencil,C0,,1.119146,368.21,0,5997D238EF080B77DBD2AAF,61230612,60985444,39.7,0,6134,6134,0,0,332405,0,0,0,0,0,0,0,0,0,0,0
13,2026-09-25T19:39:35Z,stencil,C7,4096,1.243959,481.90,0,5997D238EF080B77DBD2AAF,61206560,60987076,39.7,0,5677,5677,0,0,348308,348308,348308,0,23306,257061,348308,776291,0,0,0,30993
14,2026-09-25T19:39:41Z,stencil,C1,,4.307827,2522.24,0,5997D238EF080B77DBD2AAF,61275412,61061436,39.7,0,74896,74896,0,0,2921777,0,0,0,0,0,0,0,0,0,0,0
15,2026-09-25T19:39:44Z,stencil,C7,4096,1.246941,504.79,0,5997D238EF080B77DBD2AAF,61270244,61101036,39.7,0,5781,5781,0,0,333202,333202,333202,0,21093,235997,333202,791457,0,0,0,27717
16,2026-09-25T19:40:18Z,graphbfs,C1,,33.211985,1490.14,0,5997D238EF080B77DBD2AAF,61359804,60924968,39.7,0,23778,23778,0,0,487782,0,0,0,0,0,0,0,0,0,0,0
