idx,arm,batch_records,decomp_records,full_coverage,len_mismatch,enq_ns,outside_ns,d5_ns,prelock_ns,misaligned,t1_zero,coalesced_I1,ft_predictions,enqueued,drops,demand_faults,ft_same_region,ft_fast_cas_giveup,spec_region_invalid,ft_fast_verified,I2_diff
1,stencil C0,6179,6179,1,0,0,1334604,106123092,928096,0,0,0,0,0,0,332884,0,0,0,0,0
2,stencil C1,74473,74473,1,0,0,14000933,1663909165,9051830,0,0,0,0,0,0,2926519,0,0,0,0,0
3,stencil C1,74611,74611,1,0,0,13962478,1600793938,9035796,0,0,0,0,0,0,2937575,0,0,0,0,0
4,stencil C7f0,5818,5818,1,0,23707777,77358118,135746969,76811476,0,0,327438,327438,327438,0,327438,0,0,0,0,0
5,stencil C6f0,68107,68107,1,0,59740833,489535486,926768086,483481650,0,0,2981264,1124979,909862,215117,2981264,0,0,0,0,0
6,stencil C7f0,5762,5762,1,0,25800260,83185901,140590382,82647656,0,0,349920,349920,349920,0,349920,0,0,0,0,0
7,graphbfs C6f0,23427,23427,1,0,8867919,91765064,650626859,89689463,0,0,480731,78224,78224,0,480731,0,0,0,0,0
8,graphbfs C6f1,23731,23731,1,0,8988296,22254130,675500500,20083068,0,0,489839,78237,77623,614,489839,0,0,0,1,0
9,graphbfs C1,23759,23759,1,0,0,3425861,762987145,1836616,0,0,0,0,0,0,493397,0,0,0,0,0
10,stencil C7f1,5861,5861,1,0,24541112,37874455,152426181,37295785,0,0,333987,333987,333987,0,333987,0,0,0,1,0
11,stencil C6f1,68280,68280,1,0,53802115,124299518,1126816914,117965777,0,0,2981925,1124999,795998,329001,2981925,0,0,0,1,0
12,stencil C7f1,5801,5801,1,0,24436174,37527921,130094722,36994534,0,0,341659,341659,341659,0,341659,0,0,0,1,0
13,stencil C1,74939,74939,1,0,0,13977141,1592666964,9037031,0,0,0,0,0,0,2924275,0,0,0,0,0
14,stencil C7f1,5760,5760,1,0,25203202,38611552,130203472,38062173,0,0,352572,352572,352572,0,352572,0,0,0,1,0
15,stencil C6f0,68221,68221,1,0,61592118,494563120,931221237,488421346,0,0,2990480,1124999,912219,212780,2990480,0,0,0,0,0
16,graphbfs C1,23836,23836,1,0,0,3430291,763930080,1830225,0,0,0,0,0,0,492424,0,0,0,0,0
17,stencil C7f0,5856,5856,1,0,24853204,79571627,147432184,79009112,0,0,326160,326160,326160,0,326160,0,0,0,0,0
18,stencil C0,6040,6040,1,0,0,1367719,106104603,955190,0,0,0,0,0,0,346056,0,0,0,0,0
19,graphbfs C6f1,23646,23646,1,0,9203784,22278800,655877305,20223104,0,0,481953,80698,80372,326,481953,0,0,0,1,0
20,graphbfs C6f0,23473,23473,1,0,10415924,94542780,659253158,92440850,0,0,478365,88291,88291,0,478365,0,0,0,0,0
21,stencil C6f1,68484,68484,1,0,51044992,120345936,1085513670,114522369,0,0,2977947,1124999,799072,325927,2977947,0,0,0,1,0
22,stencil C6f1,68105,68105,1,0,53232195,123061348,1072384956,117259609,0,0,2989340,1124979,811300,313679,2989340,0,0,0,1,0
23,stencil C6f0,68219,68219,1,0,59927929,491427388,928949758,485367795,0,0,2985620,1124999,908566,216433,2985620,0,0,0,0,0
24,stencil C0,6069,6069,1,0,0,1373893,106652971,963438,0,0,0,0,0,0,348818,0,0,0,0,0
