idx,label,ts_utc,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,wall_s,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,batch_records,decomp_records,ft_fast_verified,ft_fast_nranges,ft_fast_verify_ns,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident,trace_pushes,trace_overwrites,ft_same_region,spec_region_invalid,spec_pages_requested,ft_fast_cas_giveup
1,S4 stencil C0,2026-09-25T21:05:24Z,stencil,new,0,0,1,,1,0,0,1.203085,0,33FD42E6E16B0A6658E2BEB,60221844,60027768,39.1,0,6179,6179,0,0,0,332884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,S4 stencil C1,2026-09-25T21:05:30Z,stencil,new,0,0,0,,1,0,0,4.365079,0,33FD42E6E16B0A6658E2BEB,60283448,60042820,39.1,0,74473,74473,0,0,0,2926519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,S4 stencil C1,2026-09-25T21:05:36Z,stencil,new,0,0,0,,1,0,0,4.282312,0,33FD42E6E16B0A6658E2BEB,60184232,60044632,39.1,0,74611,74611,0,0,0,2937575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,S4 stencil C7f0,2026-09-25T21:05:38Z,stencil,new,6,1,1,4096,1,0,0,1.206889,0,33FD42E6E16B0A6658E2BEB,60213656,59971468,39.1,0,5818,5818,0,0,0,327438,327438,327438,0,22089,238990,327438,797158,0,0,0,28800,0,0,0,0,238990,0
5,S4 stencil C6f0,2026-09-25T21:05:44Z,stencil,new,6,1,0,4096,1,0,0,4.080880,0,33FD42E6E16B0A6658E2BEB,60266324,60016916,39.0,0,68107,68107,0,0,0,2981264,909862,909862,215117,984,909251,1124979,21,1845531,0,10754,909229,0,0,0,0,909251,0
6,S4 stencil C7f0,2026-09-25T21:05:47Z,stencil,new,6,1,1,4096,1,0,0,1.237073,0,33FD42E6E16B0A6658E2BEB,60261296,60011844,39.0,0,5762,5762,0,0,0,349920,349920,349920,0,23299,257442,349920,774610,0,0,0,31036,0,0,0,0,257442,0
7,S4 graphbfs C6f0,2026-09-25T21:06:21Z,graphbfs,new,6,1,0,4096,1,0,0,33.326420,0,33FD42E6E16B0A6658E2BEB,60156132,59885140,39.0,0,23427,23427,0,0,0,480731,78224,78224,0,1422,69290,78224,209732,367017,0,35490,69287,0,0,0,0,69290,0
8,S4 graphbfs C6f1,2026-09-25T21:06:56Z,graphbfs,new,6,1,0,4096,1,1,0,33.031347,0,33FD42E6E16B0A6658E2BEB,60096444,59937000,39.0,0,23731,23731,1,19,55658902,489839,77623,77623,614,1587,68770,78237,209719,373468,0,38134,68716,0,0,0,0,68770,0
9,S4 graphbfs C1,2026-09-25T21:07:30Z,graphbfs,new,0,0,0,,1,0,0,33.219539,0,33FD42E6E16B0A6658E2BEB,60206144,59998948,39.0,0,23759,23759,0,0,0,493397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,S4 stencil C7f1,2026-09-25T21:07:33Z,stencil,new,6,1,1,4096,1,1,0,1.237504,0,33FD42E6E16B0A6658E2BEB,60256796,60011140,39.0,1,5861,5861,1,2,142727637,333987,333987,333987,0,17326,230457,333987,790547,0,0,0,21723,0,0,0,0,230457,0
