idx,label,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,dump_rings
1,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
2,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
3,stencil C0,stencil,new,0,0,1,,1,0,0,1
4,stencil C1,stencil,new,0,0,0,,1,0,0,1
5,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
6,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
7,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
8,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
9,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
10,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
11,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
12,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
13,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
14,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
15,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
16,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
17,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
18,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
19,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
20,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
21,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
22,stencil C0,stencil,new,0,0,1,,1,0,0,1
23,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
24,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
25,stencil C1,stencil,new,0,0,0,,1,0,0,1
26,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
27,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
28,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
29,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
30,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
31,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
32,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
33,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
34,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
35,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
36,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
37,graphbfs C1,graphbfs,new,0,0,0,,1,0,0,1
38,stencil C6-W512,stencil,new,6,1,0,4096,512,1,0,1
39,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
40,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
41,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
42,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
43,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
44,stencil C7-slow-W1,stencil,new,6,1,1,4096,1,0,0,1
45,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
46,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
47,stencil C6-slow-W1,stencil,new,6,1,0,4096,1,0,0,1
48,graphbfs C7-W64,graphbfs,new,6,1,1,4096,64,1,0,1
49,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
