idx,label,ts_utc,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,wall_s,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,batch_records,decomp_records,ft_fast_verified,ft_fast_nranges,ft_fast_verify_ns,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident,trace_pushes,trace_overwrites,ft_same_region,spec_region_invalid,spec_pages_requested,ft_fast_cas_giveup
1,graphbfs C7-W512,2026-09-25T21:28:53Z,graphbfs,new,6,1,1,4096,512,1,0,31.475216,0,33FD42E6E16B0A6658E2BEB,60256940,59872736,38.8,0,353,353,1,19,56160592,29745,1526,1526,0,59,1445,3455,284501,25325,0,965,2446,0,0,1929,0,739194,0
2,stencil C6-W1,2026-09-25T21:28:59Z,stencil,new,6,1,0,4096,1,1,0,3.933922,0,33FD42E6E16B0A6658E2BEB,60096432,59897736,38.8,0,68129,68129,1,2,142109873,2989959,798119,798119,326880,1240,797352,1124999,1,1854031,0,10929,796933,0,0,0,0,797352,0
3,stencil C0,2026-09-25T21:29:01Z,stencil,new,0,0,1,,1,0,0,1.129742,0,33FD42E6E16B0A6658E2BEB,60185788,59938960,38.8,0,6144,6144,0,0,0,333500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,stencil C1,2026-09-25T21:29:07Z,stencil,new,0,0,0,,1,0,0,4.324037,0,33FD42E6E16B0A6658E2BEB,60191392,60042204,38.8,0,74578,74578,0,0,0,2929749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,graphbfs C7-W64,2026-09-25T21:29:40Z,graphbfs,new,6,1,1,4096,64,1,0,31.514494,0,33FD42E6E16B0A6658E2BEB,60290084,59930632,38.8,0,421,421,1,19,56938563,37162,2613,2613,0,127,2440,4628,283328,31467,0,1067,1720,0,0,2015,0,156160,0
6,graphbfs C6-slow-W1,2026-09-25T21:30:14Z,graphbfs,new,6,1,0,4096,1,0,0,33.229427,0,33FD42E6E16B0A6658E2BEB,60176320,59942868,38.8,0,23587,23587,0,0,0,491079,74724,74724,0,1510,65788,74724,213232,378034,0,38321,65775,0,0,0,0,65788,0
7,graphbfs C0,2026-09-25T21:30:47Z,graphbfs,new,0,0,1,,1,0,0,31.635609,0,33FD42E6E16B0A6658E2BEB,60197296,59890868,38.8,0,468,468,0,0,0,43963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,graphbfs C6-W1,2026-09-25T21:31:22Z,graphbfs,new,6,1,0,4096,1,1,0,33.134962,0,33FD42E6E16B0A6658E2BEB,60169272,59856892,38.8,0,23624,23624,1,19,55420819,486172,73953,73953,616,1557,65214,74569,213387,374365,0,37238,65165,0,0,0,0,65214,0
9,graphbfs C7-slow-W1,2026-09-25T21:31:55Z,graphbfs,new,6,1,1,4096,1,0,0,31.593145,0,33FD42E6E16B0A6658E2BEB,60113324,59913852,38.8,0,451,451,0,0,0,43800,6358,6358,0,461,5950,6358,281598,36421,0,1021,708,0,0,0,0,5950,0
10,graphbfs C6-W64,2026-09-25T21:32:29Z,graphbfs,new,6,1,0,4096,64,1,0,32.828164,0,33FD42E6E16B0A6658E2BEB,60173612,59944404,38.8,0,23933,23933,1,19,55463453,478169,61294,61294,1352,724,59562,80693,207263,360816,0,36660,182540,0,0,18047,0,3811938,0
