workload,arm,n,demand_faults,fault_already_resident,far_frac_distinct,ft_predictions,ft_same_region,enqueued,drops,spec_migrations,lost_after_enqueue,spec_region_invalid,spec_pages_requested,spec_hits_10ms_staleness_counter,outside_lock_s,enqueue_overhead_s,d5_s
stencil,C0,10,339251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135098,0.0,0.1051154305
stencil,C7-slow-W1,10,331944.5,29123.5,0.025887555555555556,331944.5,0.0,331944.5,0.0,242219.0,88907.5,0.0,242219.0,22222.0,0.07957897,0.024870872,0.13633931
stencil,C7-W1,10,340817.0,23248.5,0.020665333333333334,340817.0,0.0,340817.0,0.0,241286.5,99107.0,0.0,241286.5,18451.0,0.037322653,0.0241783305,0.1325245075
stencil,C7-W64,10,318730.5,42896.5,0.038130222222222225,318730.5,191682.0,127001.5,0.0,93404.5,33727.0,0.0,5977888.0,8327.5,0.0205973875,0.010355721,0.077641878
stencil,C7-W512,10,204641.0,22960.5,0.020409333333333335,204641.0,202443.0,2198.0,0.0,1626.5,571.5,0.0,832392.0,1322.5,0.0057870025,0.0007658395,0.056537037
stencil,C1,10,2921620.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139811535,0.0,1.601101187
stencil,C6-slow-W1,10,2986499.0,918392.5,0.8163488888888889,1124999.0,0.0,918990.5,206008.5,918392.5,598.5,0.0,918392.5,918.0,0.4933750815,0.0607409825,0.9199388365
stencil,C6-W1,10,2984186.0,805291.0,0.7158142222222222,1124999.0,0.0,806179.0,318820.0,805473.5,691.0,0.0,805473.5,1164.0,0.1217263785,0.051908703,1.0790596685
stencil,C6-W64,10,3016781.5,1124960.0,0.9999644444444444,1124999.0,669686.0,455313.0,0.0,455200.5,112.5,0.0,29132592.0,399.0,0.124820923,0.0509572505,0.492867233
stencil,C6-W512,10,2960757.5,1124488.0,0.9995448888888889,1124999.0,1122800.0,2199.0,0.0,2198.0,1.0,0.0,1125000.0,2197.0,0.056827474,0.0010718545,0.4924755685
graphbfs,C0,10,44289.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001519765,0.0,0.0487774745
graphbfs,C7-slow-W1,10,43494.0,692.0,0.0024031449249190848,6523.0,0.0,6523.0,0.0,6052.5,441.0,0.0,6052.5,459.0,0.008782034,0.000647353,0.049675717
graphbfs,C7-W1,10,43500.5,628.0,0.002180888746891886,6264.0,0.0,6264.0,0.0,5760.0,497.5,0.0,5760.0,429.5,0.0018359075,0.00061758,0.0467135785
graphbfs,C7-W64,10,37215.0,1895.5,0.0065826028976649215,5566.5,2476.5,3025.0,0.0,2848.5,175.0,0.0,182292.0,131.0,0.0013843515,0.000343283,0.03959546
graphbfs,C7-W512,10,30358.5,2448.0,0.008501298809540347,3601.0,1965.5,1650.5,0.0,1573.0,81.5,0.0,804568.5,54.0,0.0010466035,0.0002035055,0.033302267
graphbfs,C1,10,483503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033841305,0.0,0.7307536945
graphbfs,C6-slow-W1,10,481942.5,65473.5,0.22737327925099668,74429.5,0.0,74429.5,0.0,65483.0,8947.5,0.0,65483.0,1515.5,0.092293626,0.009045709,0.66102679
graphbfs,C6-W1,10,483274.5,64189.0,0.22291252830293518,73424.5,0.0,72831.5,387.0,64235.5,8717.0,0.0,64235.5,1647.5,0.0214085975,0.008317068,0.665388486
graphbfs,C6-W64,10,486385.0,180035.5,0.6252187834252455,75845.0,17492.0,57953.5,818.0,56240.0,1703.0,0.0,3599324.0,851.0,0.019905156,0.006550891,0.47325622
graphbfs,C6-W512,10,485603.0,231995.5,0.8056630179610774,73496.0,21502.0,51511.0,0.0,49924.0,1579.0,0.0,25553497.5,714.0,0.019402908,0.006147904,0.4115792885
