family,workload,comparison,arm,baseline,n_base,n_arm,median_base,median_arm,delta_s,delta_pct,U,p,mwu_method,cohen_d,mde_s,mde_bonf_s,noout_n_base,noout_n_arm,noout_delta_s,noout_p,holm_threshold,holm_sig,noout_holm_threshold,noout_holm_sig,verdict,falsification_trigger
F1,stencil,C7-W1 vs C0,C7-W1,C0,10,10,1.1294895,1.195815,0.06632550000000004,5.8721661423147395,100.0,1.082508822446903e-05,exact,4.541433641239411,0.019446784167381128,0.0266057601558294,9,10,0.06607300000000005,2.165017644893806e-05,0.002777777777777778,True,0.0029411764705882353,True,C7-W1 slower,False
F1,stencil,C7-W64 vs C0,C7-W64,C0,10,10,1.1294895,1.1088520000000002,-0.020637499999999864,-1.827152886326067,27.0,0.08920955205784928,exact,-1.0360860586213771,0.020060686752396854,0.02744565968859475,9,10,-0.020889999999999853,0.06525363181709931,0.0071428571428571435,False,0.00625,False,no significant difference,False
F1,stencil,C7-W512 vs C0,C7-W512,C0,10,10,1.1294895,1.0738205,-0.05566899999999997,-4.928686809394861,0.0,1.082508822446903e-05,exact,-4.608864111519187,0.014418858159063176,0.01972689564500992,9,10,-0.05592149999999996,2.165017644893806e-05,0.0029411764705882353,True,0.003125,True,C7-W512 faster,True
F2,stencil,C7-W1 vs C7-slow-W1,C7-W1,C7-slow-W1,10,10,1.220542,1.195815,-0.024726999999999943,-2.0259032462627213,20.0,0.023230639329710537,exact,-1.2260109568410575,0.022095725260051755,0.030229860200953022,8,10,-0.019988999999999812,0.08313908313908314,0.00625,False,0.0071428571428571435,False,no significant difference,False
F2,stencil,C6-W1 vs C6-slow-W1,C6-W1,C6-slow-W1,10,10,4.103849,3.8822010000000002,-0.22164800000000007,-5.40097844730642,0.0,1.082508822446903e-05,exact,-9.799484281434996,0.02796327244983196,0.03825743699157497,9,10,-0.21831599999999973,2.165017644893806e-05,0.003125,True,0.0033333333333333335,True,C6-W1 faster,False
F3,stencil,C6-W1 vs C1,C6-W1,C1,10,10,4.298614000000001,3.8822010000000002,-0.41641300000000037,-9.687145670674322,0.0,1.082508822446903e-05,exact,-19.850270554840357,0.02614163138902159,0.03576519227199683,9,10,-0.4162119999999998,2.165017644893806e-05,0.0033333333333333335,True,0.0035714285714285718,True,C6-W1 faster,False
F3,stencil,C6-W64 vs C1,C6-W64,C1,10,10,4.298614000000001,3.3692555,-0.9293585000000006,-21.61995703731483,0.0,1.082508822446903e-05,exact,-64.45901276164666,0.018212897900938423,0.024917641350067625,9,10,-0.9291575000000001,2.165017644893806e-05,0.0035714285714285718,True,0.0038461538461538464,True,C6-W64 faster,False
F3,stencil,C6-W512 vs C1,C6-W512,C1,10,10,4.298614000000001,3.2975190000000003,-1.0010950000000003,-23.288785641139217,0.0,1.082508822446903e-05,exact,-62.70544689402006,0.01992770339236645,0.027263720949971846,9,10,-1.0008939999999997,2.165017644893806e-05,0.0038461538461538464,True,0.004166666666666667,True,C6-W512 faster,False
F4,stencil,C6-W512 vs C0,C6-W512,C0,10,10,1.1294895,3.2975190000000003,2.1680295000000003,191.947733909877,100.0,1.082508822446903e-05,exact,147.66544000278316,0.01843774897819447,0.025225267216676908,9,10,2.167777,2.165017644893806e-05,0.004166666666666667,True,0.004545454545454546,True,C6-W512 slower,False
F1,graphbfs,C7-W1 vs C0,C7-W1,C0,10,10,31.5512545,31.4618545,-0.0893999999999977,-0.2833484798520379,37.0,0.35268137435320107,exact,-0.3919476840210385,0.1350689249583022,0.18479206592800143,10,10,-0.0893999999999977,0.35268137435320107,0.0125,False,0.01,False,no significant difference,False
