idx,label,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,dump_rings,threshold
1,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
2,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
3,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
4,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
5,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
6,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
7,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
8,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
9,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
10,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
11,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
12,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
13,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
14,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
15,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
16,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
17,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
18,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
19,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
20,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
21,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
22,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
23,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
24,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
25,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
26,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
27,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
28,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
29,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
30,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
31,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
32,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
33,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
34,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
35,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
36,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
37,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
38,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
39,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
40,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
41,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
42,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
43,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
44,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
45,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
46,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
47,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
48,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
49,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
50,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
51,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
52,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
53,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
54,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
55,stencil C7W512-toff,stencil,new,6,1,1,4096,512,1,0,1,100
56,stencil C0-t75,stencil,new,0,0,1,,1,0,0,1,75
57,stencil C7W512-t51,stencil,new,6,1,1,4096,512,1,0,1,51
58,stencil C0-toff,stencil,new,0,0,1,,1,0,0,1,100
59,stencil C7W512-t75,stencil,new,6,1,1,4096,512,1,0,1,75
60,stencil C0-t51,stencil,new,0,0,1,,1,0,0,1,51
