label,condition,cycle,phase,MemFree_kB,MemAvailable_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,KernelStack_kB,VmallocUsed_kB,PageTables_kB,Committed_AS_kB,dmesg_delta
nvidia-uvm,reload_only,1,before,56547836,59435688,461092,190076,271016,21120,137128,41440,8254364,0
nvidia-uvm,reload_only,1,after,56452800,59396400,460688,190076,270612,21120,176108,41520,8258856,2
nvidia-uvm,reload_only,2,before,56447144,59390744,460688,190076,270612,21120,176172,41520,8258856,0
nvidia-uvm,reload_only,2,after,56437052,59381344,460788,190068,270720,21184,176156,41364,8258856,2
nvidia-uvm,reload_only,3,before,56440284,59384576,460788,190068,270720,21152,176156,41244,8258856,0
nvidia-uvm,reload_only,3,after,56440908,59385204,460804,190068,270736,21264,176108,41580,8258856,2
nvidia-uvm,reload_only,4,before,56435760,59380056,460804,190068,270736,21200,176188,41360,8258856,0
nvidia-uvm,reload_only,4,after,56436440,59380736,460804,190060,270744,21200,176204,41424,8258856,2
nvidia-uvm,reload_only,5,before,56430344,59374644,460804,190060,270744,21168,176252,42120,8258856,0
nvidia-uvm,reload_only,5,after,56430444,59374872,460836,190060,270776,21184,176220,41656,8258856,2
nvidia-uvm,reload_cufft,1,before,56423328,59367804,460924,190092,270832,21288,176220,41932,8254396,0
nvidia-uvm,reload_cufft,1,after,56107488,59120192,463708,190092,273616,21232,176156,41264,8258888,2
nvidia-uvm,reload_cufft,2,before,56104408,59117112,463708,190092,273616,21216,176204,41620,8258888,0
nvidia-uvm,reload_cufft,2,after,55847764,58860924,463704,190092,273612,21296,176188,41440,8258888,2
nvidia-uvm,reload_cufft,3,before,55840240,58853400,463704,190092,273612,21248,176300,41720,8258888,0
nvidia-uvm,reload_cufft,3,after,55545756,58558928,464236,190092,274144,21248,176252,41296,8258888,2
nvidia-uvm,reload_cufft,4,before,55541564,58554736,464236,190092,274144,21232,176284,41244,8258888,0
nvidia-uvm,reload_cufft,4,after,55314624,58327828,464084,190124,273960,21360,176236,41448,8258904,2
nvidia-uvm,reload_cufft,5,before,55310584,58323788,464084,190124,273960,21360,176268,41444,8258904,0
nvidia-uvm,reload_cufft,5,after,55060668,58073880,464352,190124,274228,21312,176204,41432,8258904,2
nvidia-uvm,reload_stencil,1,before,55052184,58065396,464352,190124,274228,21280,176236,42124,8258904,0
nvidia-uvm,reload_stencil,1,after,54814724,57828248,465204,190156,275048,21264,176188,41420,8258888,3
nvidia-uvm,reload_stencil,2,before,54809172,57822696,465204,190156,275048,21400,176268,41964,8258888,0
nvidia-uvm,reload_stencil,2,after,54574800,57588356,465772,190156,275616,21296,176188,41468,8259084,2
nvidia-uvm,reload_stencil,3,before,54570004,57583560,465772,190156,275616,21296,176220,41864,8259084,0
nvidia-uvm,reload_stencil,3,after,54333528,57347124,466340,190188,276152,21296,176204,41532,8259212,2
nvidia-uvm,reload_stencil,4,before,54323024,57336620,466340,190188,276152,21280,176268,41476,8259212,0
nvidia-uvm,reload_stencil,4,after,54018344,57031944,466396,190188,276208,21248,176204,41536,8259196,2
nvidia-uvm,reload_stencil,5,before,54010264,57023868,466396,190188,276208,21232,176236,41472,8259196,0
nvidia-uvm,reload_stencil,5,after,53713296,56726908,466696,190188,276508,21280,176156,41532,8259196,2
nvidia-uvm,cuda_no_reload,1,before,53756124,56769740,464236,190188,274048,21232,176188,41452,8259196,0
nvidia-uvm,cuda_no_reload,1,after,53525340,56538964,466048,190188,275860,21248,176220,41424,8259196,0
nvidia-uvm,cuda_no_reload,2,before,53524532,56538156,466048,190188,275860,21248,176252,41424,8259196,0
nvidia-uvm,cuda_no_reload,2,after,53551012,56564636,465780,190188,275592,21312,176204,41480,8259196,0
