run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,processed,enqueued,drops,worker_records_in_window,worker_ring_wrapped
1,2026-08-11T12:18:38Z,C3,bench_stencil,24000,1,15.88,24219FEEEB0B96D78E4E1AC,0,2057816,2057816,1180778,131071,yes
2,2026-08-11T12:18:54Z,C3,bench_stencil,24000,2,16.45,24219FEEEB0B96D78E4E1AC,0,2400642,2400642,842476,131071,yes
3,2026-08-11T12:19:11Z,C3,bench_stencil,24000,3,16.23,24219FEEEB0B96D78E4E1AC,0,2305873,2305873,935807,131071,yes
4,2026-08-11T12:19:28Z,C3,bench_stencil,24000,4,17.54,24219FEEEB0B96D78E4E1AC,0,2694597,2694597,542330,131071,yes
5,2026-08-11T12:19:44Z,C3,bench_stencil,24000,5,15.89,24219FEEEB0B96D78E4E1AC,0,2054248,2054248,1184685,131071,yes
6,2026-08-11T12:21:45Z,C3,bench_graph_bfs,23,1,59.54,24219FEEEB0B96D78E4E1AC,0,378590,378590,72591,131071,yes
7,2026-08-11T12:22:44Z,C3,bench_graph_bfs,23,2,59.01,24219FEEEB0B96D78E4E1AC,0,361934,361934,85026,131071,yes
8,2026-08-11T12:23:43Z,C3,bench_graph_bfs,23,3,59.23,24219FEEEB0B96D78E4E1AC,0,391113,391113,55148,131071,yes
9,2026-08-11T12:24:43Z,C3,bench_graph_bfs,23,4,59.30,24219FEEEB0B96D78E4E1AC,0,395262,395262,51216,131071,yes
10,2026-08-11T12:25:42Z,C3,bench_graph_bfs,23,5,59.30,24219FEEEB0B96D78E4E1AC,0,390696,390696,57420,131071,yes
