run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,processed,enqueued,drops,worker_records_in_window,worker_ring_wrapped
1,2026-08-12T19:17:55Z,C3,bench_stencil,24000,1,5.06,9E98EF08CBA769C50A24937,0,2711952,2711952,340073,131071,yes
2,2026-08-12T19:18:00Z,C3,bench_stencil,24000,2,4.87,9E98EF08CBA769C50A24937,0,2709670,2709670,309202,131071,yes
3,2026-08-12T19:18:04Z,C3,bench_stencil,24000,3,4.73,9E98EF08CBA769C50A24937,0,2696489,2696489,323279,131071,yes
4,2026-08-12T19:18:09Z,C3,bench_stencil,24000,4,4.78,9E98EF08CBA769C50A24937,0,2684154,2684154,326588,131071,yes
5,2026-08-12T19:18:14Z,C3,bench_stencil,24000,5,4.78,9E98EF08CBA769C50A24937,0,2701253,2701253,313543,131071,yes
6,2026-08-12T19:19:22Z,C3,bench_graph_bfs,23,1,33.24,9E98EF08CBA769C50A24937,0,397600,397600,75129,131071,yes
7,2026-08-12T19:19:55Z,C3,bench_graph_bfs,23,2,32.93,9E98EF08CBA769C50A24937,0,399084,399084,73691,131071,yes
8,2026-08-12T19:20:28Z,C3,bench_graph_bfs,23,3,32.94,9E98EF08CBA769C50A24937,0,409192,409192,62799,131071,yes
9,2026-08-12T19:21:01Z,C3,bench_graph_bfs,23,4,32.87,9E98EF08CBA769C50A24937,0,418041,418041,57749,131071,yes
10,2026-08-12T19:21:34Z,C3,bench_graph_bfs,23,5,32.78,9E98EF08CBA769C50A24937,0,412484,412484,61443,131071,yes
