run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,processed,enqueued,drops,worker_records_in_window,worker_ring_wrapped
1,2026-08-11T12:27:06Z,C3,bench_stencil,2000,1,0.40,24219FEEEB0B96D78E4E1AC,0,13872,13872,20677,13872,no
2,2026-08-11T12:27:07Z,C3,bench_stencil,2000,2,0.32,24219FEEEB0B96D78E4E1AC,0,14606,14606,20292,14606,no
3,2026-08-11T12:27:07Z,C3,bench_stencil,2000,3,0.33,24219FEEEB0B96D78E4E1AC,0,18589,18589,14808,18589,no
4,2026-08-11T12:27:08Z,C3,bench_stencil,2000,4,0.33,24219FEEEB0B96D78E4E1AC,0,19968,19968,14355,19968,no
5,2026-08-11T12:27:08Z,C3,bench_stencil,2000,5,0.32,24219FEEEB0B96D78E4E1AC,0,15226,15226,18358,15226,no
6,2026-08-11T12:27:13Z,C3,bench_graph_bfs,18,1,1.82,24219FEEEB0B96D78E4E1AC,0,11290,11290,4040,11290,no
7,2026-08-11T12:27:15Z,C3,bench_graph_bfs,18,2,1.74,24219FEEEB0B96D78E4E1AC,0,10677,10677,3652,10677,no
8,2026-08-11T12:27:17Z,C3,bench_graph_bfs,18,3,1.74,24219FEEEB0B96D78E4E1AC,0,13735,13735,1253,13735,no
9,2026-08-11T12:27:19Z,C3,bench_graph_bfs,18,4,1.74,24219FEEEB0B96D78E4E1AC,0,11681,11681,3592,11681,no
10,2026-08-11T12:27:21Z,C3,bench_graph_bfs,18,5,1.74,24219FEEEB0B96D78E4E1AC,0,11469,11469,4144,11469,no
