run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,processed,enqueued,drops,worker_records_in_window,worker_ring_wrapped
1,2026-08-12T19:17:28Z,C3,bench_stencil,2000,1,0.28,9E98EF08CBA769C50A24937,0,26123,26123,1082,26123,no
2,2026-08-12T19:17:28Z,C3,bench_stencil,2000,2,0.20,9E98EF08CBA769C50A24937,0,25354,25354,1698,25354,no
3,2026-08-12T19:17:28Z,C3,bench_stencil,2000,3,0.22,9E98EF08CBA769C50A24937,0,26110,26110,1131,26110,no
4,2026-08-12T19:17:29Z,C3,bench_stencil,2000,4,0.21,9E98EF08CBA769C50A24937,0,25844,25844,906,25844,no
5,2026-08-12T19:17:29Z,C3,bench_stencil,2000,5,0.21,9E98EF08CBA769C50A24937,0,27447,27447,1098,27447,no
6,2026-08-12T19:17:33Z,C3,bench_graph_bfs,18,1,1.32,9E98EF08CBA769C50A24937,0,11417,11417,5856,11417,no
7,2026-08-12T19:17:34Z,C3,bench_graph_bfs,18,2,1.03,9E98EF08CBA769C50A24937,0,16186,16186,1203,16186,no
8,2026-08-12T19:17:35Z,C3,bench_graph_bfs,18,3,1.01,9E98EF08CBA769C50A24937,0,15230,15230,1534,15230,no
9,2026-08-12T19:17:37Z,C3,bench_graph_bfs,18,4,1.02,9E98EF08CBA769C50A24937,0,16034,16034,1545,16034,no
10,2026-08-12T19:17:38Z,C3,bench_graph_bfs,18,5,1.02,9E98EF08CBA769C50A24937,0,15379,15379,1826,15379,no
