run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,phase,arm,alloc_grid0,alloc_grid1,base_mod_2mb,processed,enqueued,drops,gpu_sm_before,gpu_sm_after,gpu_mem_before,gpu_mem_after,gpu_temp_before,gpu_temp_after,gpu_power_before,gpu_power_after,gpu_pstate_before,gpu_pstate_after,throttle_before,throttle_after,persistence,loadavg_before,loadavg_after
1,2026-08-11T12:34:40Z,C3,bench_stencil,24000,1,16.45,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_ON,0x76bdd6000000,0x76bd4c000000,0,3245767,3245767,0,1590,1590,5000,5000,39,40,34.18,36.92,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.16,1.35
2,2026-08-11T12:34:58Z,C3,bench_stencil,24000,1,16.78,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,2527301,2527301,707069,1590,1590,5000,5000,40,40,33.80,38.79,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.35,1.58
3,2026-08-11T12:35:14Z,C3,bench_stencil,24000,2,16.13,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_ON,0x7f01de000000,0x7f0154000000,0,3244416,3244416,0,1590,1590,5000,5000,40,41,34.18,38.89,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.58,1.49
4,2026-08-11T12:35:32Z,C3,bench_stencil,24000,2,17.34,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,2692686,2692686,544503,1590,1590,5000,5000,40,41,33.88,38.20,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.49,1.69
5,2026-08-11T12:35:49Z,C3,bench_stencil,24000,3,16.19,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x70a59a000000,0x70a510000000,0,3245082,3245082,0,1590,1590,5000,5000,40,41,34.08,37.73,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.69,1.57
6,2026-08-11T12:36:05Z,C3,bench_stencil,24000,3,15.21,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,1873492,1873492,1365661,1590,1590,5000,5000,40,41,33.88,38.47,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.57,1.75
7,2026-08-11T12:36:22Z,C3,bench_stencil,24000,4,16.17,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x725902000000,0x725878000000,0,3246384,3246384,0,1590,1590,5000,5000,40,41,33.90,39.22,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.75,1.74
8,2026-08-11T12:36:38Z,C3,bench_stencil,24000,4,15.21,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,1882611,1882611,1355647,1590,1590,5000,5000,40,41,34.28,37.81,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.74,1.73
9,2026-08-11T12:36:55Z,C3,bench_stencil,24000,5,16.09,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x7edf72000000,0x7edee8000000,0,3248504,3248504,0,1590,1590,5000,5000,41,41,34.28,35.26,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.73,1.60
10,2026-08-11T12:37:13Z,C3,bench_stencil,24000,5,17.22,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,2665088,2665088,569453,1590,1590,5000,5000,41,41,33.98,38.00,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.60,1.77
