run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,phase,arm,alloc_grid0,alloc_grid1,base_mod_2mb,processed,enqueued,drops,gpu_sm_before,gpu_sm_after,gpu_mem_before,gpu_mem_after,gpu_temp_before,gpu_temp_after,gpu_power_before,gpu_power_after,gpu_pstate_before,gpu_pstate_after,throttle_before,throttle_after,persistence,loadavg_before,loadavg_after
1,2026-08-13T08:27:02Z,C3,bench_stencil,24000,1,4.83,9E98EF08CBA769C50A24937,0,warmup,ASLR_ON,0x73e6de000000,0x73e654000000,0,2929722,2929722,0,2865,2865,14001,13801,39,41,60.38,79.60,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,0.56,0.59
2,2026-08-13T08:27:07Z,C3,bench_stencil,24000,1,4.63,9E98EF08CBA769C50A24937,0,warmup,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2636917,2636917,310452,2865,2865,14001,13801,39,41,67.74,80.09,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,0.59,0.63
3,2026-08-13T08:27:12Z,C3,bench_stencil,24000,2,4.79,9E98EF08CBA769C50A24937,0,warmup,ASLR_ON,0x76f0ca000000,0x76f040000000,0,2920171,2920171,0,2865,2865,13801,13801,40,46,71.75,78.12,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,0.63,0.66
4,2026-08-13T08:27:18Z,C3,bench_stencil,24000,2,4.47,9E98EF08CBA769C50A24937,0,warmup,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2633423,2633423,301625,2865,2865,13801,13801,41,42,71.30,78.34,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,0.60,0.60
5,2026-08-13T08:27:23Z,C3,bench_stencil,24000,3,4.73,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7e8f46000000,0x7e8ebc000000,0,2884381,2884381,0,2865,2865,13801,13801,41,43,72.75,80.17,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.76,1.70
6,2026-08-13T08:27:28Z,C3,bench_stencil,24000,3,4.50,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2638632,2638632,301309,2865,2865,14001,13801,42,48,72.22,80.04,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.70,1.64
7,2026-08-13T08:27:33Z,C3,bench_stencil,24000,4,4.72,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x70bfde000000,0x70bf54000000,0,2905977,2905977,0,2865,2850,13801,13801,42,44,72.92,80.17,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.64,1.67
8,2026-08-13T08:27:38Z,C3,bench_stencil,24000,4,4.49,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2640844,2640844,301557,2850,2850,13801,13801,44,44,74.42,78.45,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.67,1.78
9,2026-08-13T08:27:44Z,C3,bench_stencil,24000,5,4.77,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7fdc92000000,0x7fdc08000000,0,2908960,2908960,0,2850,2850,13801,13801,44,45,72.91,79.40,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.78,1.79
10,2026-08-13T08:27:49Z,C3,bench_stencil,24000,5,4.50,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2637181,2637181,299814,2850,2850,13801,13801,44,45,74.07,81.21,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.79,1.81
11,2026-08-13T08:27:54Z,C3,bench_stencil,24000,6,4.65,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x79e68e000000,0x79e604000000,0,2896252,2896252,0,2850,2850,13801,13801,45,50,74.52,81.04,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.81,1.83
12,2026-08-13T08:27:59Z,C3,bench_stencil,24000,6,4.49,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2636338,2636338,303510,2850,2850,13801,13801,45,49,74.33,79.33,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.83,1.92
13,2026-08-13T08:28:04Z,C3,bench_stencil,24000,7,4.69,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x735c4a000000,0x735bc0000000,0,2906936,2906936,0,2850,2850,13801,13801,45,47,73.92,80.70,P0,P0,0x0000000000000000,0x0000000000000000,Disabled,1.92,1.93
14,2026-08-13T08:28:10Z,C3,bench_stencil,24000,7,4.50,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2614054,2614054,302635,2850,2850,13801,13801,45,49,74.78,81.72,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.93,1.93
15,2026-08-13T08:28:15Z,C3,bench_stencil,24000,8,4.69,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x739cca000000,0x739c40000000,0,2910551,2910551,0,2850,2850,13801,13801,46,47,74.94,81.19,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.93,1.94
16,2026-08-13T08:28:20Z,C3,bench_stencil,24000,8,4.49,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2625937,2625937,299817,2850,2850,13801,13801,47,48,75.58,79.52,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.94,1.94
17,2026-08-13T08:28:25Z,C3,bench_stencil,24000,9,4.72,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x761ed2000000,0x761e48000000,0,2897656,2897656,0,2850,2850,13801,13801,47,51,75.18,81.17,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.94,1.95
18,2026-08-13T08:28:30Z,C3,bench_stencil,24000,9,4.53,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2659241,2659241,299870,2850,2850,13801,13801,47,49,75.25,81.54,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.95,2.03
19,2026-08-13T08:28:36Z,C3,bench_stencil,24000,10,4.75,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x74b4ea000000,0x74b460000000,0,2908821,2908821,0,2850,2850,13801,13801,48,53,74.46,81.64,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,2.03,2.03
20,2026-08-13T08:28:41Z,C3,bench_stencil,24000,10,4.47,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2627435,2627435,300991,2850,2850,13801,13801,48,52,74.65,81.45,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,2.03,1.95
21,2026-08-13T08:28:46Z,C3,bench_stencil,24000,11,4.69,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7f5922000000,0x7f5898000000,0,2902476,2902476,0,2850,2850,13801,14001,48,50,75.60,82.58,P0,P0,0x0000000000000000,0x0000000000000000,Disabled,1.95,1.87
22,2026-08-13T08:28:51Z,C3,bench_stencil,24000,11,4.47,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2623798,2623798,301150,2850,2850,14001,13801,48,51,74.82,82.74,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.87,1.80
23,2026-08-13T08:28:56Z,C3,bench_stencil,24000,12,4.71,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x782162000000,0x7820d8000000,0,2891409,2891409,0,2850,2850,13801,13801,49,50,76.82,82.26,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.80,1.74
24,2026-08-13T08:29:01Z,C3,bench_stencil,24000,12,4.47,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2626293,2626293,307068,2850,2850,13801,13801,50,51,75.29,83.13,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.74,1.68
25,2026-08-13T08:29:07Z,C3,bench_stencil,24000,13,4.74,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7fbb66000000,0x7fbadc000000,0,2902083,2902083,0,2850,2850,13801,13801,50,55,76.12,83.31,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.68,1.62
26,2026-08-13T08:29:12Z,C3,bench_stencil,24000,13,4.48,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2620889,2620889,305718,2850,2850,13801,13801,50,51,76.45,83.56,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.62,1.57
27,2026-08-13T08:29:17Z,C3,bench_stencil,24000,14,4.71,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x78933a000000,0x7892b0000000,0,2904491,2904491,0,2850,2850,13801,13801,50,53,76.26,83.82,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.57,1.53
28,2026-08-13T08:29:22Z,C3,bench_stencil,24000,14,4.46,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2625208,2625208,304453,2850,2850,13801,13801,50,57,76.53,83.63,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.53,1.48
29,2026-08-13T08:29:27Z,C3,bench_stencil,24000,15,4.75,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x76daa2000000,0x76da18000000,0,2883622,2883622,0,2850,2850,13801,13801,51,52,77.40,84.18,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.48,1.45
30,2026-08-13T08:29:32Z,C3,bench_stencil,24000,15,4.50,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2636346,2636346,306431,2850,2850,14001,13801,51,54,76.84,84.20,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.33,1.33
31,2026-08-13T08:29:38Z,C3,bench_stencil,24000,16,4.68,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7f4922000000,0x7f4898000000,0,2907402,2907402,0,2850,2850,13801,13801,51,53,76.74,84.12,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.22,1.22
32,2026-08-13T08:29:43Z,C3,bench_stencil,24000,16,4.49,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2634542,2634542,298150,2850,2835,13801,13801,52,53,77.90,83.93,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.20,1.20
33,2026-08-13T08:29:48Z,C3,bench_stencil,24000,17,4.71,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7d831e000000,0x7d8294000000,0,2907006,2907006,0,2835,2835,13801,13801,53,57,77.51,82.61,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.19,1.25
34,2026-08-13T08:29:53Z,C3,bench_stencil,24000,17,4.53,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2628237,2628237,302346,2835,2835,13801,13801,52,54,77.92,84.72,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.25,1.39
35,2026-08-13T08:29:59Z,C3,bench_stencil,24000,18,4.69,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7ed2d2000000,0x7ed248000000,0,2889324,2889324,0,2835,2835,13801,13801,53,57,77.21,84.38,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.39,1.44
36,2026-08-13T08:30:04Z,C3,bench_stencil,24000,18,4.48,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2654362,2654362,294256,2835,2835,13801,13801,53,59,77.97,85.31,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.44,1.57
37,2026-08-13T08:30:09Z,C3,bench_stencil,24000,19,4.70,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7b917a000000,0x7b90f0000000,0,2900910,2900910,0,2835,2835,13801,13801,53,55,77.60,85.22,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.57,1.60
38,2026-08-13T08:30:14Z,C3,bench_stencil,24000,19,4.51,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2620185,2620185,301397,2835,2835,14001,13801,53,56,77.44,85.51,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.60,1.63
39,2026-08-13T08:30:19Z,C3,bench_stencil,24000,20,4.69,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x7fed5a000000,0x7fecd0000000,0,2907559,2907559,0,2835,2835,13801,13801,54,55,79.04,85.17,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.63,1.66
40,2026-08-13T08:30:24Z,C3,bench_stencil,24000,20,4.45,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2630640,2630640,309518,2835,2835,13801,13801,54,56,77.46,85.93,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.66,1.77
41,2026-08-13T08:30:30Z,C3,bench_stencil,24000,21,4.81,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x74a0f6000000,0x74a06c000000,0,2963941,2963941,0,2835,2835,13801,13801,55,58,78.42,86.01,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.77,1.79
42,2026-08-13T08:30:35Z,C3,bench_stencil,24000,21,4.52,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2656040,2656040,305604,2835,2835,13801,13801,55,56,77.96,85.70,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.79,1.73
43,2026-08-13T08:30:40Z,C3,bench_stencil,24000,22,4.72,9E98EF08CBA769C50A24937,0,kept,ASLR_ON,0x764bca000000,0x764b40000000,0,2907517,2907517,0,2835,2835,13801,13801,55,61,78.76,84.19,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.73,1.75
44,2026-08-13T08:30:45Z,C3,bench_stencil,24000,22,4.49,9E98EF08CBA769C50A24937,0,kept,ASLR_OFF,0x7ffd3e000000,0x7ffcb4000000,0,2637082,2637082,302072,2835,2835,13801,13801,54,59,72.83,82.58,P0,P1,0x0000000000000000,0x0000000000000000,Disabled,1.75,1.85
