run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,phase,arm,alloc_grid0,alloc_grid1,base_mod_2mb,processed,enqueued,drops,gpu_sm_before,gpu_sm_after,gpu_mem_before,gpu_mem_after,gpu_temp_before,gpu_temp_after,gpu_power_before,gpu_power_after,gpu_pstate_before,gpu_pstate_after,throttle_before,throttle_after,persistence,loadavg_before,loadavg_after
1,2026-08-12T15:21:04Z,C1,bench_stencil,24000,1,15.24,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_ON,0x7485b6000000,0x74852c000000,0,0,0,0,1590,1590,5000,5000,39,40,32.85,36.56,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,0.99,1.07
2,2026-08-12T15:21:19Z,C1,bench_stencil,24000,1,15.17,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,39,40,32.68,36.57,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.07,1.28
3,2026-08-12T15:21:35Z,C1,bench_stencil,24000,2,15.16,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_ON,0x7aeece000000,0x7aee44000000,0,0,0,0,1590,1590,5000,5000,40,40,32.91,35.53,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.28,1.37
4,2026-08-12T15:21:51Z,C1,bench_stencil,24000,2,15.07,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,40,40,33.07,35.97,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.37,1.44
5,2026-08-12T15:22:07Z,C1,bench_stencil,24000,3,15.11,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x70ab6a000000,0x70aae0000000,0,0,0,0,1590,1590,5000,5000,40,41,33.11,35.85,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.44,1.43
6,2026-08-12T15:22:23Z,C1,bench_stencil,24000,3,15.13,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,40,41,33.24,33.34,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.43,1.41
7,2026-08-12T15:22:39Z,C1,bench_stencil,24000,4,15.19,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x71cd26000000,0x71cc9c000000,0,0,0,0,1590,1590,5000,5000,40,41,33.05,37.15,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.30,1.31
8,2026-08-12T15:22:55Z,C1,bench_stencil,24000,4,15.49,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,40,41,33.07,33.67,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.31,1.55
9,2026-08-12T15:23:11Z,C1,bench_stencil,24000,5,15.14,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x77d072000000,0x77cfe8000000,0,0,0,0,1590,1590,5000,5000,40,41,33.17,37.46,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.55,1.58
10,2026-08-12T15:23:27Z,C1,bench_stencil,24000,5,15.13,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,40,41,33.24,35.79,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.58,1.61
11,2026-08-12T15:23:43Z,C1,bench_stencil,24000,6,15.15,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x711f3e000000,0x711eb4000000,0,0,0,0,1590,1590,5000,5000,40,41,33.09,35.03,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.61,1.55
12,2026-08-12T15:23:59Z,C1,bench_stencil,24000,6,15.25,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,40,41,33.01,37.17,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.55,1.69
13,2026-08-12T15:24:14Z,C1,bench_stencil,24000,7,15.17,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x77af26000000,0x77ae9c000000,0,0,0,0,1590,1590,5000,5000,41,41,33.22,35.36,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.69,1.69
14,2026-08-12T15:24:30Z,C1,bench_stencil,24000,7,15.22,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,41,41,33.15,34.81,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.69,1.76
15,2026-08-12T15:24:46Z,C1,bench_stencil,24000,8,15.17,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x7e6f12000000,0x7e6e88000000,0,0,0,0,1590,1590,5000,5000,41,41,33.01,33.55,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.76,1.75
16,2026-08-12T15:25:02Z,C1,bench_stencil,24000,8,15.26,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,41,41,33.05,35.32,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.75,1.66
17,2026-08-12T15:25:18Z,C1,bench_stencil,24000,9,15.11,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x752b76000000,0x752aec000000,0,0,0,0,1590,1590,5000,5000,41,41,33.22,36.11,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.66,1.59
18,2026-08-12T15:25:34Z,C1,bench_stencil,24000,9,14.81,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,41,41,33.22,36.29,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.55,1.50
19,2026-08-12T15:25:49Z,C1,bench_stencil,24000,10,14.83,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x79881a000000,0x798790000000,0,0,0,0,1590,1590,5000,5000,41,41,33.01,35.24,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.50,1.54
20,2026-08-12T15:26:05Z,C1,bench_stencil,24000,10,14.79,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,41,41,33.13,37.16,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.54,1.58
21,2026-08-12T15:26:20Z,C1,bench_stencil,24000,11,14.81,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x77b77e000000,0x77b6f4000000,0,0,0,0,1590,1590,5000,5000,41,41,33.13,33.42,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.58,1.60
22,2026-08-12T15:26:36Z,C1,bench_stencil,24000,11,14.79,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,41,41,33.22,36.09,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.60,1.62
23,2026-08-12T15:26:51Z,C1,bench_stencil,24000,12,14.82,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_ON,0x72e1e6000000,0x72e15c000000,0,0,0,0,1590,1590,5000,5000,41,41,33.22,36.77,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.62,1.64
24,2026-08-12T15:27:07Z,C1,bench_stencil,24000,12,14.81,24219FEEEB0B96D78E4E1AC,0,kept,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,0,0,0,1590,1590,5000,5000,41,41,33.20,37.04,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.64,1.58
25,2026-08-12T15:27:24Z,C3,bench_stencil,24000,1,16.20,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_ON,0x7494d6000000,0x74944c000000,0,3239016,3239016,0,1590,1590,5000,5000,41,41,33.09,34.45,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.58,1.49
26,2026-08-12T15:27:42Z,C3,bench_stencil,24000,1,17.29,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_OFF,0x7fff46000000,0x7ffebc000000,0,2699795,2699795,531599,1590,1590,5000,5000,41,41,33.09,36.18,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.49,1.69
27,2026-08-12T15:27:59Z,C3,bench_stencil,24000,2,16.18,24219FEEEB0B96D78E4E1AC,0,warmup,ASLR_ON,0x79465a000000,0x7945d0000000,0,3241312,3241312,0,1590,1590,5000,5000,41,41,33.38,36.98,P0,P0,0x0000000000000000,0x0000000000000000,Enabled,1.69,1.64
