run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-14T17:48:25Z,C1,bench_stencil_oversub,48000,warmup_1,159.15,9E98EF08CBA769C50A24937,2,51747892,51505472,warmup
2,2026-08-14T17:51:05Z,C3,bench_stencil_oversub,48000,warmup_1,67.44,9E98EF08CBA769C50A24937,0,51487508,51239852,warmup
3,2026-08-14T17:52:13Z,C3d0,bench_stencil_oversub,48000,warmup_1,192.21,9E98EF08CBA769C50A24937,2,51244448,50989880,warmup
4,2026-08-14T17:55:25Z,C1,bench_stencil_oversub,48000,warmup_2,158.22,9E98EF08CBA769C50A24937,2,50997840,50746352,warmup
5,2026-08-14T17:58:04Z,C3,bench_stencil_oversub,48000,warmup_2,69.74,9E98EF08CBA769C50A24937,1,50733080,50485076,warmup
6,2026-08-14T17:59:14Z,C3d0,bench_stencil_oversub,48000,warmup_2,192.24,9E98EF08CBA769C50A24937,2,50483492,50222608,warmup
7,2026-08-14T18:02:27Z,C1,bench_stencil_oversub,48000,kept_3,159.03,9E98EF08CBA769C50A24937,2,50226232,49983508,kept
8,2026-08-14T18:05:07Z,C3,bench_stencil_oversub,48000,kept_3,68.40,9E98EF08CBA769C50A24937,1,49969684,49710952,kept
9,2026-08-14T18:06:16Z,C3d0,bench_stencil_oversub,48000,kept_3,192.37,9E98EF08CBA769C50A24937,1,49706284,49467676,kept
10,2026-08-14T18:09:28Z,C1,bench_stencil_oversub,48000,kept_4,159.07,9E98EF08CBA769C50A24937,2,49478000,49221464,kept
11,2026-08-14T18:12:08Z,C3,bench_stencil_oversub,48000,kept_4,67.78,9E98EF08CBA769C50A24937,1,49201172,48950300,kept
12,2026-08-14T18:13:16Z,C3d0,bench_stencil_oversub,48000,kept_4,192.47,9E98EF08CBA769C50A24937,2,48948408,48703608,kept
13,2026-08-14T18:16:29Z,C1,bench_stencil_oversub,48000,kept_5,158.80,9E98EF08CBA769C50A24937,2,48715096,48469420,kept
14,2026-08-14T18:19:09Z,C3,bench_stencil_oversub,48000,kept_5,68.27,9E98EF08CBA769C50A24937,0,48466124,48207368,kept
15,2026-08-14T18:20:18Z,C3d0,bench_stencil_oversub,48000,kept_5,192.35,9E98EF08CBA769C50A24937,2,48200864,47951784,kept
16,2026-08-14T18:23:30Z,C1,bench_stencil_oversub,48000,kept_6,160.04,9E98EF08CBA769C50A24937,2,47952936,47709420,kept
17,2026-08-14T18:26:11Z,C3,bench_stencil_oversub,48000,kept_6,70.03,9E98EF08CBA769C50A24937,1,47695152,47444860,kept
18,2026-08-14T18:27:22Z,C3d0,bench_stencil_oversub,48000,kept_6,192.77,9E98EF08CBA769C50A24937,1,47446552,47189820,kept
19,2026-08-14T18:30:35Z,C1,bench_stencil_oversub,48000,kept_7,159.01,9E98EF08CBA769C50A24937,2,47189296,46943032,kept
20,2026-08-14T18:33:14Z,C3,bench_stencil_oversub,48000,kept_7,69.48,9E98EF08CBA769C50A24937,1,46928736,46680892,kept
21,2026-08-14T18:34:24Z,C3d0,bench_stencil_oversub,48000,kept_7,195.51,9E98EF08CBA769C50A24937,2,46678320,46441536,kept
22,2026-08-14T18:37:41Z,C1,bench_stencil_oversub,48000,kept_8,159.06,9E98EF08CBA769C50A24937,2,46441928,46185568,kept
23,2026-08-14T18:40:20Z,C3,bench_stencil_oversub,48000,kept_8,68.12,9E98EF08CBA769C50A24937,0,46168484,45913476,kept
24,2026-08-14T18:41:29Z,C3d0,bench_stencil_oversub,48000,kept_8,191.87,9E98EF08CBA769C50A24937,2,45916188,45665784,kept
25,2026-08-14T18:44:41Z,C1,bench_stencil_oversub,48000,kept_9,158.90,9E98EF08CBA769C50A24937,2,45666728,45419592,kept
26,2026-08-14T18:47:21Z,C3,bench_stencil_oversub,48000,kept_9,68.74,9E98EF08CBA769C50A24937,0,45398904,45135776,kept
27,2026-08-14T18:48:30Z,C3d0,bench_stencil_oversub,48000,kept_9,195.23,9E98EF08CBA769C50A24937,2,45139732,44905692,kept
28,2026-08-14T18:51:46Z,C1,bench_stencil_oversub,48000,kept_10,158.54,9E98EF08CBA769C50A24937,2,44915328,44660504,kept
29,2026-08-14T18:54:25Z,C3,bench_stencil_oversub,48000,kept_10,67.80,9E98EF08CBA769C50A24937,0,44647672,44395740,kept
30,2026-08-14T18:55:33Z,C3d0,bench_stencil_oversub,48000,kept_10,192.15,9E98EF08CBA769C50A24937,2,44395232,44148640,kept
31,2026-08-14T18:58:46Z,C1,bench_stencil_oversub,48000,kept_11,159.37,9E98EF08CBA769C50A24937,2,44149384,43892220,kept
32,2026-08-14T19:01:26Z,C3,bench_stencil_oversub,48000,kept_11,68.67,9E98EF08CBA769C50A24937,0,43880500,43628200,kept
33,2026-08-14T19:02:35Z,C3d0,bench_stencil_oversub,48000,kept_11,192.47,9E98EF08CBA769C50A24937,10,43630976,43382956,kept
34,2026-08-14T19:05:48Z,C1,bench_stencil_oversub,48000,kept_12,158.94,9E98EF08CBA769C50A24937,2,43393868,43148760,kept
35,2026-08-14T19:08:27Z,C3,bench_stencil_oversub,48000,kept_12,68.56,9E98EF08CBA769C50A24937,0,43127912,42875204,kept
36,2026-08-14T19:09:36Z,C3d0,bench_stencil_oversub,48000,kept_12,191.69,9E98EF08CBA769C50A24937,10,42876900,42626640,kept
