run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-14T09:46:48Z,C0,bench_stencil_oversub,48000,warmup_1,27.09,9E98EF08CBA769C50A24937,1,61112888,60861544,warmup
2,2026-08-14T09:47:15Z,C1,bench_stencil_oversub,48000,warmup_1,158.74,9E98EF08CBA769C50A24937,2,60859428,60609752,warmup
3,2026-08-14T09:49:55Z,C3,bench_stencil_oversub,48000,warmup_1,68.99,9E98EF08CBA769C50A24937,0,60592600,60344964,warmup
4,2026-08-14T09:51:04Z,C0,bench_stencil_oversub,48000,warmup_2,27.13,9E98EF08CBA769C50A24937,0,60353544,60106776,warmup
5,2026-08-14T09:51:32Z,C1,bench_stencil_oversub,48000,warmup_2,158.72,9E98EF08CBA769C50A24937,2,60098716,59866860,warmup
6,2026-08-14T09:54:11Z,C3,bench_stencil_oversub,48000,warmup_2,69.30,9E98EF08CBA769C50A24937,0,59855028,59598404,warmup
7,2026-08-14T09:55:21Z,C0,bench_stencil_oversub,48000,kept_3,27.10,9E98EF08CBA769C50A24937,1,59596632,59344580,kept
8,2026-08-14T09:55:49Z,C1,bench_stencil_oversub,48000,kept_3,159.19,9E98EF08CBA769C50A24937,2,59337564,59087240,kept
9,2026-08-14T09:58:28Z,C3,bench_stencil_oversub,48000,kept_3,69.38,9E98EF08CBA769C50A24937,0,59081736,58827316,kept
10,2026-08-14T09:59:38Z,C0,bench_stencil_oversub,48000,kept_4,27.09,9E98EF08CBA769C50A24937,0,58834424,58585348,kept
11,2026-08-14T10:00:06Z,C1,bench_stencil_oversub,48000,kept_4,159.07,9E98EF08CBA769C50A24937,2,58582736,58327016,kept
12,2026-08-14T10:02:45Z,C3,bench_stencil_oversub,48000,kept_4,68.97,9E98EF08CBA769C50A24937,0,58310844,58061896,kept
13,2026-08-14T10:03:55Z,C0,bench_stencil_oversub,48000,kept_5,27.08,9E98EF08CBA769C50A24937,1,58069416,57827316,kept
14,2026-08-14T10:04:23Z,C1,bench_stencil_oversub,48000,kept_5,159.44,9E98EF08CBA769C50A24937,2,57813424,57568152,kept
15,2026-08-14T10:07:03Z,C3,bench_stencil_oversub,48000,kept_5,69.33,9E98EF08CBA769C50A24937,0,57555904,57303828,kept
16,2026-08-14T10:08:12Z,C0,bench_stencil_oversub,48000,kept_6,27.12,9E98EF08CBA769C50A24937,0,57305680,57059460,kept
17,2026-08-14T10:08:40Z,C1,bench_stencil_oversub,48000,kept_6,159.51,9E98EF08CBA769C50A24937,2,57032200,56802852,kept
18,2026-08-14T10:11:20Z,C3,bench_stencil_oversub,48000,kept_6,69.08,9E98EF08CBA769C50A24937,0,56791332,56551468,kept
19,2026-08-14T10:12:30Z,C0,bench_stencil_oversub,48000,kept_7,27.13,9E98EF08CBA769C50A24937,1,56554676,56303384,kept
20,2026-08-14T10:12:57Z,C1,bench_stencil_oversub,48000,kept_7,159.43,9E98EF08CBA769C50A24937,2,56300772,56027904,kept
21,2026-08-14T10:15:37Z,C3,bench_stencil_oversub,48000,kept_7,69.10,9E98EF08CBA769C50A24937,0,56017796,55768440,kept
22,2026-08-14T10:16:47Z,C0,bench_stencil_oversub,48000,kept_8,27.09,9E98EF08CBA769C50A24937,0,55765336,55521412,kept
23,2026-08-14T10:17:15Z,C1,bench_stencil_oversub,48000,kept_8,159.29,9E98EF08CBA769C50A24937,2,55520152,55275916,kept
24,2026-08-14T10:19:54Z,C3,bench_stencil_oversub,48000,kept_8,70.31,9E98EF08CBA769C50A24937,0,55275344,55012236,kept
25,2026-08-14T10:21:05Z,C0,bench_stencil_oversub,48000,kept_9,27.10,9E98EF08CBA769C50A24937,1,55014088,54767564,kept
26,2026-08-14T10:21:33Z,C1,bench_stencil_oversub,48000,kept_9,158.97,9E98EF08CBA769C50A24937,2,54769284,54514140,kept
27,2026-08-14T10:24:12Z,C3,bench_stencil_oversub,48000,kept_9,67.92,9E98EF08CBA769C50A24937,0,54496004,54252532,kept
28,2026-08-14T10:25:21Z,C0,bench_stencil_oversub,48000,kept_10,27.08,9E98EF08CBA769C50A24937,0,54256744,54013292,kept
29,2026-08-14T10:25:49Z,C1,bench_stencil_oversub,48000,kept_10,159.10,9E98EF08CBA769C50A24937,2,54009948,53762760,kept
30,2026-08-14T10:28:28Z,C3,bench_stencil_oversub,48000,kept_10,70.33,9E98EF08CBA769C50A24937,0,53746400,53498676,kept
31,2026-08-14T10:29:39Z,C0,bench_stencil_oversub,48000,kept_11,27.07,9E98EF08CBA769C50A24937,1,53507368,53258548,kept
32,2026-08-14T10:30:07Z,C1,bench_stencil_oversub,48000,kept_11,158.89,9E98EF08CBA769C50A24937,2,53257724,53375788,kept
33,2026-08-14T10:32:46Z,C3,bench_stencil_oversub,48000,kept_11,68.29,9E98EF08CBA769C50A24937,0,53367912,53115308,kept
34,2026-08-14T10:33:55Z,C0,bench_stencil_oversub,48000,kept_12,27.09,9E98EF08CBA769C50A24937,0,53119152,52861280,kept
35,2026-08-14T10:34:23Z,C1,bench_stencil_oversub,48000,kept_12,159.09,9E98EF08CBA769C50A24937,2,52864512,52617256,kept
36,2026-08-14T10:37:02Z,C3,bench_stencil_oversub,48000,kept_12,69.27,9E98EF08CBA769C50A24937,0,52602912,52343568,kept
