run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb
1,2026-08-13T19:09:32Z,C0,bench_stencil_oversub,48000,warmup_1,27.19,9E98EF08CBA769C50A24937,0,31621232,31364976,warmup
2,2026-08-13T19:09:59Z,C1,bench_stencil_oversub,48000,warmup_1,159.29,9E98EF08CBA769C50A24937,2,31348496,31103236,warmup
3,2026-08-13T19:12:39Z,C2,bench_stencil_oversub,48000,warmup_1,183.95,9E98EF08CBA769C50A24937,2,31098544,30850792,warmup
4,2026-08-13T19:15:44Z,C3,bench_stencil_oversub,48000,warmup_1,70.70,9E98EF08CBA769C50A24937,0,30835724,30582956,warmup
5,2026-08-13T19:16:55Z,C0,bench_stencil_oversub,48000,kept_2,27.17,9E98EF08CBA769C50A24937,0,30574976,30327016,kept
6,2026-08-13T19:17:23Z,C1,bench_stencil_oversub,48000,kept_2,159.29,9E98EF08CBA769C50A24937,2,30317908,30076976,kept
7,2026-08-13T19:20:02Z,C2,bench_stencil_oversub,48000,kept_2,183.85,9E98EF08CBA769C50A24937,2,30059320,29807988,kept
8,2026-08-13T19:23:07Z,C3,bench_stencil_oversub,48000,kept_2,71.32,9E98EF08CBA769C50A24937,0,29799332,29547884,kept
9,2026-08-13T19:24:19Z,C0,bench_stencil_oversub,48000,kept_3,27.19,9E98EF08CBA769C50A24937,1,29549168,29294172,kept
10,2026-08-13T19:24:46Z,C1,bench_stencil_oversub,48000,kept_3,159.50,9E98EF08CBA769C50A24937,2,29283928,29038676,kept
11,2026-08-13T19:27:26Z,C2,bench_stencil_oversub,48000,kept_3,183.49,9E98EF08CBA769C50A24937,1,29032412,28781292,kept
12,2026-08-13T19:30:30Z,C3,bench_stencil_oversub,48000,kept_3,70.45,9E98EF08CBA769C50A24937,0,28764148,28515320,kept
13,2026-08-13T19:31:41Z,C0,bench_stencil_oversub,48000,kept_4,27.18,9E98EF08CBA769C50A24937,1,28514332,28262896,kept
14,2026-08-13T19:32:09Z,C1,bench_stencil_oversub,48000,kept_4,159.26,9E98EF08CBA769C50A24937,2,28254012,27962660,kept
15,2026-08-13T19:34:49Z,C2,bench_stencil_oversub,48000,kept_4,183.66,9E98EF08CBA769C50A24937,2,27953108,27703184,kept
16,2026-08-13T19:37:53Z,C3,bench_stencil_oversub,48000,kept_4,70.07,9E98EF08CBA769C50A24937,0,27685240,27423396,kept
