Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
STREAM,134217728,0.54,1,90.95,17.71,Table Not Found
STREAM,134217728,0.54,2,86.81,18.55,Table Not Found
STREAM,134217728,0.54,3,90.80,17.74,Table Not Found
STREAM,134217728,0.54,4,87.47,18.41,Table Not Found
STREAM,134217728,0.54,5,89.23,18.05,Table Not Found
STREAM,134217728,0.54,6,89.77,17.94,Table Not Found
STREAM,134217728,0.54,7,88.20,18.26,Table Not Found
STREAM,134217728,0.54,8,91.36,17.63,Table Not Found
STREAM,134217728,0.54,9,88.45,18.21,Table Not Found
STREAM,134217728,0.54,10,86.72,18.57,Table Not Found
STREAM,134217728,0.54,11,87.33,18.44,Table Not Found
STREAM,134217728,0.54,12,86.57,18.61,Table Not Found
STREAM,134217728,0.54,13,90.18,17.86,Table Not Found
STREAM,134217728,0.54,14,87.71,18.36,Table Not Found
STREAM,134217728,0.54,15,87.89,18.32,Table Not Found
STREAM,134217728,0.54,16,87.11,18.49,Table Not Found
STREAM,134217728,0.54,17,91.85,17.53,Table Not Found
STREAM,134217728,0.54,18,88.84,18.13,Table Not Found
STREAM,134217728,0.54,19,88.55,18.19,Table Not Found
STREAM,134217728,0.54,20,87.33,18.44,Table Not Found
STREAM,134217728,0.54,21,87.41,18.43,Table Not Found
STREAM,134217728,0.54,22,87.16,18.48,Table Not Found
STREAM,134217728,0.54,23,87.31,18.45,Table Not Found
STREAM,134217728,0.54,24,87.97,18.31,Table Not Found
STREAM,134217728,0.54,25,89.69,17.96,Table Not Found
STREAM,134217728,0.54,26,90.71,17.75,Table Not Found
STREAM,134217728,0.54,27,94.45,17.05,Table Not Found
STREAM,134217728,0.54,28,87.29,18.45,Table Not Found
STREAM,134217728,0.54,29,90.44,17.81,Table Not Found
STREAM,134217728,0.54,30,87.74,18.36,Table Not Found
STREAM,134217728,0.54,31,88.55,18.19,Table Not Found
STREAM,134217728,0.54,32,92.93,17.33,Table Not Found
STREAM,134217728,0.54,33,88.57,18.18,Table Not Found
STREAM,134217728,0.54,34,87.10,18.49,Table Not Found
STREAM,134217728,0.54,35,89.60,17.98,Table Not Found
STREAM,134217728,0.54,36,87.72,18.36,Table Not Found
STREAM,134217728,0.54,37,87.89,18.33,Table Not Found
STREAM,134217728,0.54,38,89.32,18.03,Table Not Found
STREAM,134217728,0.54,39,88.16,18.27,Table Not Found
STREAM,134217728,0.54,40,90.54,17.79,Table Not Found
STREAM,134217728,0.54,41,88.29,18.24,Table Not Found
STREAM,134217728,0.54,42,87.09,18.49,Table Not Found
STREAM,134217728,0.54,43,88.17,18.27,Table Not Found
STREAM,134217728,0.54,44,87.18,18.48,Table Not Found
STREAM,134217728,0.54,45,91.19,17.66,Table Not Found
STREAM,134217728,0.54,46,89.18,18.06,Table Not Found
STREAM,134217728,0.54,47,87.11,18.49,Table Not Found
STREAM,134217728,0.54,48,89.37,18.02,Table Not Found
STREAM,134217728,0.54,49,86.13,18.70,Table Not Found
STREAM,134217728,0.54,50,85.31,18.88,Table Not Found
STREAM,268435456,1.07,1,172.14,18.71,Table Not Found
STREAM,268435456,1.07,2,172.75,18.65,Table Not Found
STREAM,268435456,1.07,3,171.37,18.80,Table Not Found
STREAM,268435456,1.07,4,176.21,18.28,Table Not Found
STREAM,268435456,1.07,5,172.18,18.71,Table Not Found
STREAM,268435456,1.07,6,170.92,18.85,Table Not Found
STREAM,268435456,1.07,7,170.17,18.93,Table Not Found
STREAM,268435456,1.07,8,172.89,18.63,Table Not Found
STREAM,268435456,1.07,9,175.33,18.37,Table Not Found
STREAM,268435456,1.07,10,173.95,18.52,Table Not Found
