run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta
1,2026-08-10T18:54:15Z,C1,bench_stencil,24000,1,15.55,8A2651D1CB32C7B239FB511,0
2,2026-08-10T18:54:31Z,C1,bench_stencil,24000,2,14.78,8A2651D1CB32C7B239FB511,0
3,2026-08-10T18:54:46Z,C1,bench_stencil,24000,3,15.04,8A2651D1CB32C7B239FB511,0
4,2026-08-10T18:55:01Z,C1,bench_stencil,24000,4,14.73,8A2651D1CB32C7B239FB511,0
5,2026-08-10T18:55:16Z,C1,bench_stencil,24000,5,14.65,8A2651D1CB32C7B239FB511,0
6,2026-08-10T18:55:30Z,C1,bench_stencil,24000,6,14.72,8A2651D1CB32C7B239FB511,0
7,2026-08-10T18:55:45Z,C1,bench_stencil,24000,7,14.68,8A2651D1CB32C7B239FB511,0
8,2026-08-10T18:56:00Z,C1,bench_stencil,24000,8,14.69,8A2651D1CB32C7B239FB511,0
9,2026-08-10T18:56:15Z,C1,bench_stencil,24000,9,14.70,8A2651D1CB32C7B239FB511,0
10,2026-08-10T18:56:29Z,C1,bench_stencil,24000,10,14.67,8A2651D1CB32C7B239FB511,0
11,2026-08-10T18:56:44Z,C1,bench_stencil,24000,11,14.64,8A2651D1CB32C7B239FB511,0
12,2026-08-10T18:56:59Z,C1,bench_stencil,24000,12,14.71,8A2651D1CB32C7B239FB511,0
13,2026-08-10T18:57:13Z,C1,bench_stencil,24000,13,14.69,8A2651D1CB32C7B239FB511,0
14,2026-08-10T18:57:28Z,C1,bench_stencil,24000,14,14.77,8A2651D1CB32C7B239FB511,0
15,2026-08-10T18:57:43Z,C1,bench_stencil,24000,15,14.71,8A2651D1CB32C7B239FB511,0
16,2026-08-10T18:58:14Z,C3,bench_stencil,24000,1,17.22,8A2651D1CB32C7B239FB511,0
17,2026-08-10T18:58:31Z,C3,bench_stencil,24000,2,15.03,8A2651D1CB32C7B239FB511,0
18,2026-08-10T18:58:47Z,C3,bench_stencil,24000,3,15.06,8A2651D1CB32C7B239FB511,0
19,2026-08-10T18:59:02Z,C3,bench_stencil,24000,4,17.16,8A2651D1CB32C7B239FB511,0
20,2026-08-10T18:59:19Z,C3,bench_stencil,24000,5,16.87,8A2651D1CB32C7B239FB511,0
21,2026-08-10T18:59:36Z,C3,bench_stencil,24000,6,15.14,8A2651D1CB32C7B239FB511,0
22,2026-08-10T18:59:51Z,C3,bench_stencil,24000,7,17.19,8A2651D1CB32C7B239FB511,0
23,2026-08-10T19:00:08Z,C3,bench_stencil,24000,8,16.77,8A2651D1CB32C7B239FB511,0
24,2026-08-10T19:00:25Z,C3,bench_stencil,24000,9,15.26,8A2651D1CB32C7B239FB511,0
25,2026-08-10T19:00:40Z,C3,bench_stencil,24000,10,15.53,8A2651D1CB32C7B239FB511,0
26,2026-08-10T19:00:56Z,C3,bench_stencil,24000,11,15.03,8A2651D1CB32C7B239FB511,0
27,2026-08-10T19:01:11Z,C3,bench_stencil,24000,12,14.91,8A2651D1CB32C7B239FB511,0
28,2026-08-10T19:01:26Z,C3,bench_stencil,24000,13,17.13,8A2651D1CB32C7B239FB511,0
29,2026-08-10T19:01:43Z,C3,bench_stencil,24000,14,15.02,8A2651D1CB32C7B239FB511,0
30,2026-08-10T19:01:58Z,C3,bench_stencil,24000,15,15.04,8A2651D1CB32C7B239FB511,0
31,2026-08-10T19:02:14Z,C1,bench_graph_bfs,23,1,58.27,8A2651D1CB32C7B239FB511,0
32,2026-08-10T19:03:12Z,C1,bench_graph_bfs,23,2,58.16,8A2651D1CB32C7B239FB511,0
33,2026-08-10T19:04:10Z,C1,bench_graph_bfs,23,3,58.17,8A2651D1CB32C7B239FB511,0
34,2026-08-10T19:05:09Z,C1,bench_graph_bfs,23,4,58.17,8A2651D1CB32C7B239FB511,0
35,2026-08-10T19:06:07Z,C1,bench_graph_bfs,23,5,58.23,8A2651D1CB32C7B239FB511,0
