batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
196381,2797705484535,2797705485483,2797705593123,2797705593123,2797705593402,1,0,0,0,0,108867,948,107640,0
196382,2797705649427,2797705649698,2797705681957,2797705681957,2797705682145,1,0,0,0,0,32718,271,32259,0
196383,2797705739136,2797705739288,2797706174270,2797706174270,2797706174418,10,0,0,0,0,435282,152,434982,0
196384,2797706451719,2797706451887,2797706887301,2797706887301,2797706887475,10,0,0,0,0,435756,168,435414,0
196385,2797707272329,2797707272522,2797707618391,2797707618391,2797707618490,10,0,0,0,0,346161,193,345869,0
196386,2797707915406,2797707915574,2797708402313,2797708402313,2797708402475,12,0,0,0,0,487069,168,486739,0
196387,2797708949414,2797708949562,2797709311587,2797709311587,2797709311804,11,0,0,0,0,362390,148,362025,0
196388,2797709874251,2797709874405,2797710172523,2797710172523,2797710172677,7,0,0,0,0,298426,154,298118,0
196389,2797710655537,2797710655679,2797710882679,2797710882679,2797710882785,8,0,0,0,0,227248,142,227000,0
196390,2797711158160,2797711158344,2797711390499,2797711390499,2797711390676,4,0,0,0,0,232516,184,232155,0
196391,2797711807202,2797711807345,2797711918887,2797711918887,2797711918988,4,0,0,0,0,111786,143,111542,0
196392,2797712173846,2797712174061,2797712243347,2797712243347,2797712243524,1,0,0,0,0,69678,215,69286,0
196393,2797712419221,2797712419400,2797712453538,2797712453538,2797712453711,1,0,0,0,0,34490,179,34138,0
196394,2797712500172,2797712500306,2797712528383,2797712528383,2797712528495,1,0,0,0,0,28323,134,28077,0
196395,2797712556181,2797712556277,2797712581553,2797712581553,2797712581732,1,0,0,0,0,25551,96,25276,0
196396,2797712649106,2797712649236,2797712689714,2797712689714,2797712689815,1,0,0,0,0,40709,130,40478,0
196397,2797712812661,2797712812837,2797712878045,2797712878045,2797712878222,1,0,0,0,0,65561,176,65208,0
196398,2797713051667,2797713051893,2797713083607,2797713083607,2797713083708,1,0,0,0,0,32041,226,31714,0
196399,2797713137324,2797713137460,2797713165846,2797713165846,2797713165944,1,0,0,0,0,28620,136,28386,0
196400,2797713199993,2797713200091,2797713226458,2797713226458,2797713226556,1,0,0,0,0,26563,98,26367,0
196401,2797713282663,2797713282791,2797713322929,2797713322929,2797713323033,1,0,0,0,0,40370,128,40138,0
196402,2797713438192,2797713438379,2797713503488,2797713503488,2797713503657,1,0,0,0,0,65465,187,65109,0
196403,2797713679323,2797713679489,2797713710863,2797713710863,2797713710981,1,0,0,0,0,31658,166,31374,0
196404,2797713761953,2797713762090,2797713790163,2797713790163,2797713790268,1,0,0,0,0,28315,137,28073,0
196405,2797713826293,2797713826420,2797713853199,2797713853199,2797713853374,1,0,0,0,0,27081,127,26779,0
196406,2797713908522,2797713908654,2797713955657,2797713955657,2797713955775,1,0,0,0,0,47253,132,47003,0
196407,2797714100150,2797714100385,2797714169824,2797714169824,2797714170001,1,0,0,0,0,69851,235,69439,0
196408,2797714343474,2797714343642,2797714374584,2797714374584,2797714374761,1,0,0,0,0,31287,168,30942,0
196409,2797714427776,2797714427912,2797714456323,2797714456323,2797714456436,1,0,0,0,0,28660,136,28411,0
