batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
31077126,23351260095364,23351260104300,23351260220425,23351260220425,23351260220865,1,1,0,0,7348,125501,8936,116125,0
31077127,23351260227058,23351260231104,23351260281661,23351260281661,23351260281935,1,1,0,0,3702,54877,4046,50557,0
31077128,23351260286877,23351260290144,23351260338104,23351260338104,23351260338344,1,1,0,0,2965,51467,3267,47960,0
31077129,23351260343469,23351260346637,23351260376396,23351260376396,23351260376660,1,1,0,0,2863,33191,3168,29759,0
31077130,23351260382696,23351260385831,23351260414528,23351260414528,23351260414787,1,1,0,0,2816,32091,3135,28697,0
31077131,23351260421035,23351260424152,23351260460550,23351260460550,23351260460765,1,1,0,0,2798,39730,3117,36398,0
31077132,23351262188723,23351262192167,23351262223333,23351262223333,23351262223593,1,1,0,0,3103,34870,3444,31166,0
31077133,23351263175405,23351263178615,23351263215568,23351263215568,23351263215816,1,1,0,0,2876,40411,3210,36953,0
31077134,23351263858592,23351263861733,23351263888181,23351263888181,23351263888447,1,1,0,0,2844,29855,3141,26448,0
31077135,23351263895779,23351263898837,23351263911988,23351263911988,23351263912205,1,1,0,0,2771,16426,3058,13151,0
31077136,23351264699858,23351264702981,23351264744941,23351264744941,23351264745195,1,1,0,0,2811,45337,3123,41960,0
31077137,23351266825528,23351266828739,23351266895688,23351266895688,23351266895955,1,1,0,0,2786,70427,3211,66949,0
31077138,23351267416209,23351267419228,23351267456244,23351267456244,23351267456490,1,1,0,0,2687,40281,3019,37016,0
31077139,23351267470105,23351267473171,23351267490884,23351267490884,23351267491137,1,1,0,0,2775,21032,3066,17713,0
31077140,23351269989704,23351269993175,23351270121138,23351270121138,23351270121364,1,1,0,0,3092,131660,3471,127963,0
31077141,23351274288392,23351274292133,23351274336502,23351274336502,23351274336748,1,1,0,0,3282,48356,3741,44369,0
31077142,23351274365482,23351274368771,23351274395941,23351274395941,23351274396160,1,1,0,0,2913,30678,3289,27170,0
31077143,23351274586226,23351274589259,23351274622436,23351274622436,23351274622676,1,1,0,0,2714,36450,3033,33177,0
31077144,23351275569993,23351275573446,23351275600642,23351275600642,23351275600887,1,1,0,0,3039,30894,3453,27196,0
31077145,23351276071430,23351276074788,23351276110923,23351276110923,23351276111188,1,1,0,0,3012,39758,3358,36135,0
31077146,23351276772455,23351276775606,23351276816014,23351276816014,23351276816269,1,1,0,0,2829,43814,3151,40408,0
31077147,23351277727982,23351277731518,23351277797107,23351277797107,23351277797322,1,1,0,0,3167,69340,3536,65589,0
31077148,23351279153478,23351279157105,23351279261995,23351279261995,23351279262247,1,1,0,0,3254,108769,3627,104890,0
31077149,23351281150515,23351281154502,23351281188812,23351281188812,23351281189106,1,1,0,0,3536,38591,3987,34310,0
31077150,23351282130164,23351282133725,23351282161131,23351282161131,23351282161384,1,1,0,0,3095,31220,3561,27406,0
31077151,23351282629735,23351282633552,23351282669114,23351282669114,23351282669372,1,1,0,0,3435,39637,3817,35562,0
31077152,23351283333314,23351283336788,23351283379063,23351283379063,23351283379606,1,1,0,0,3123,46292,3474,42275,0
31077153,23351284304739,23351284308984,23351284376043,23351284376043,23351284376273,1,1,0,0,3626,71534,4245,67059,0
31077154,23351285701325,23351285704987,23351285808104,23351285808104,23351285808366,1,1,0,0,3255,107041,3662,103117,0
31077155,23351287769584,23351287773374,23351287807923,23351287807923,23351287808178,1,1,0,0,3328,38594,3790,34549,0
31077156,23351288307469,23351288311240,23351288338375,23351288338375,23351288338627,1,1,0,0,3427,31158,3771,27135,0
31077157,23351288567889,23351288571220,23351288605946,23351288605946,23351288606331,1,1,0,0,2920,38442,3331,34726,0
31077158,23351288928528,23351288932167,23351288974014,23351288974014,23351288974263,1,1,0,0,3104,45735,3639,41847,0
31077159,23351289188273,23351289191531,23351289258404,23351289258404,23351289258642,1,1,0,0,2858,70369,3258,66873,0
31077160,23351289315802,23351289319296,23351289364307,23351289364307,23351289364521,1,1,0,0,3183,48719,3494,45011,0
31077161,23351289578164,23351289581255,23351289646091,23351289646091,23351289646307,1,1,0,0,2777,68143,3091,64836,0
31077162,23351290197854,23351290201230,23351290304612,23351290304612,23351290304865,1,1,0,0,2952,107011,3376,103382,0
31077163,23351291102711,23351291106455,23351291139370,23351291139370,23351291139596,1,1,0,0,3244,36885,3744,32915,0
31077164,23351292095887,23351292099319,23351292127259,23351292127259,23351292127479,1,1,0,0,3089,31592,3432,27940,0
31077165,23351292600871,23351292604004,23351292639367,23351292639367,23351292639634,1,1,0,0,2800,38763,3133,35363,0
31077166,23351293297860,23351293301271,23351293343286,23351293343286,23351293343490,1,1,0,0,3077,45630,3411,42015,0
31077167,23351294284947,23351294288619,23351294353650,23351294353650,23351294353916,1,1,0,0,3201,68969,3672,65031,0
31077168,23351295685168,23351295688568,23351295790664,23351295790664,23351295790924,1,1,0,0,3033,105756,3400,102096,0
31077169,23351297721982,23351297725676,23351297758549,23351297758549,23351297758783,1,1,0,0,3268,36801,3694,32873,0
31077170,23351298228263,23351298231681,23351298258709,23351298258709,23351298258929,1,1,0,0,3073,30666,3418,27028,0
31077171,23351298467297,23351298470426,23351298505239,23351298505239,23351298505439,1,1,0,0,2779,38142,3129,34813,0
31077172,23351298793778,23351298796908,23351298837331,23351298837331,23351298837587,1,1,0,0,2793,43809,3130,40423,0
31077173,23351299245871,23351299249040,23351299313168,23351299313168,23351299313470,1,1,0,0,2848,67599,3169,64128,0
31077174,23351299878195,23351299881550,23351299981599,23351299981599,23351299981848,1,1,0,0,3041,103653,3355,100049,0
31077175,23351300817155,23351300821789,23351300860288,23351300860288,23351300860878,1,1,0,0,3968,43723,4634,38499,0
31077176,23351301357498,23351301360787,23351301388094,23351301388094,23351301388347,1,1,0,0,2812,30849,3289,27307,0
31077177,23351301607947,23351301611185,23351301646676,23351301646676,23351301646896,1,1,0,0,2871,38949,3238,35491,0
31077178,23351301940251,23351301943413,23351301984752,23351301984752,23351301984981,1,1,0,0,2831,44730,3162,41339,0
31077179,23351302397725,23351302401007,23351302466514,23351302466514,23351302466737,1,1,0,0,2894,69012,3282,65507,0
31077180,23351303044956,23351303048401,23351303149275,23351303149275,23351303149515,1,1,0,0,3180,104559,3445,100874,0
31077181,23351303961622,23351303964835,23351303996706,23351303996706,23351303996932,1,1,0,0,2927,35310,3213,31871,0
31077182,23351304238243,23351304241330,23351304268006,23351304268006,23351304268236,1,1,0,0,2769,29993,3087,26676,0
31077183,23351304362373,23351304365413,23351304400790,23351304400790,23351304401013,1,1,0,0,2717,38640,3040,35377,0
31077184,23351304537045,23351304540066,23351304580490,23351304580490,23351304580706,1,1,0,0,2716,43661,3021,40424,0
31077185,23351304761819,23351304765097,23351304830208,23351304830208,23351304830468,1,1,0,0,2964,68649,3278,65111,0
31077186,23351305075797,23351305078889,23351305181548,23351305181548,23351305181759,1,1,0,0,2767,105962,3092,102659,0
31077187,23351305804654,23351305808450,23351306155129,23351306155129,23351306155338,3,1,0,0,3404,350684,3796,346679,0
31077188,23351306417384,23351306420880,23351306655349,23351306655349,23351306655591,2,1,0,0,3086,238207,3496,234469,0
31077189,23351306814445,23351306817724,23351307269857,23351307269857,23351307270061,7,1,0,0,2929,455616,3279,452133,0
31077190,23351307369397,23351307372827,23351307805972,23351307805972,23351307806160,10,1,0,0,3139,436763,3430,433145,0
31077191,23351307977712,23351307981201,23351309226238,23351309226238,23351309226432,27,1,0,0,3149,1248720,3489,1245037,0
31077192,23351309388965,23351309392629,23351310097328,23351310097328,23351310097522,25,1,0,0,3304,708557,3664,704699,0
31077193,23351310262282,23351310265779,23351311070810,23351311070810,23351311071007,27,1,0,0,3160,808725,3497,805031,0
31077194,23351311208550,23351311212152,23351312170554,23351312170554,23351312170748,23,1,0,0,3268,962198,3602,958402,0
31077195,23351312360016,23351312363513,23351313149105,23351313149105,23351313149282,21,1,0,0,3144,789266,3497,785592,0
31077196,23351313326007,23351313329493,23351314125506,23351314125506,23351314125688,24,1,0,0,3140,799681,3486,796013,0
31077197,23351314277486,23351314281248,23351315080566,23351315080566,23351315080766,22,1,0,0,3416,803280,3762,799318,0
31077198,23351315236985,23351315240506,23351316246495,23351316246495,23351316246688,25,1,0,0,3174,1009703,3521,1005989,0
31077199,23351316494320,23351316498091,23351317191763,23351317191763,23351317191930,22,1,0,0,3474,697610,3771,693672,0
31077200,23351317364684,23351317368190,23351318438056,23351318438056,23351318438248,31,1,0,0,3228,1073564,3506,1069866,0
31077201,23351318563082,23351318566620,23351319509410,23351319509410,23351319509617,23,1,0,0,3257,946535,3538,942790,0
31077202,23351319873024,23351319876627,23351320966048,23351320966048,23351320966242,29,1,0,0,3247,1093218,3603,1089421,0
31077203,23351321161279,23351321164799,23351321693135,23351321693135,23351321693328,18,1,0,0,3145,532049,3520,528336,0
31077204,23351321910765,23351321914064,23351322964934,23351322964934,23351322965121,25,1,0,0,2968,1054356,3299,1050870,0
31077205,23351323120372,23351323123601,23351324435217,23351324435217,23351324435462,27,1,0,0,2891,1315090,3229,1311616,0
31077206,23351324746120,23351324749430,23351325349319,23351325349319,23351325349514,23,1,0,0,3068,603394,3310,599889,0
31077207,23351325542717,23351325545957,23351326651549,23351326651549,23351326651735,25,1,0,0,2923,1109018,3240,1105592,0
31077208,23351326733856,23351326737202,23351327301583,23351327301583,23351327301770,11,1,0,0,3040,567914,3346,564381,0
31077209,23351327475056,23351327478330,23351328799598,23351328799598,23351328799793,25,1,0,0,3040,1324737,3274,1321268,0
31077210,23351329022830,23351329026198,23351329809582,23351329809582,23351329809782,25,1,0,0,3109,786952,3368,783384,0
31077211,23351329978203,23351329981415,23351331122862,23351331122862,23351331123053,26,1,0,0,2947,1144850,3212,1141447,0
31077212,23351331422695,23351331426074,23351332261699,23351332261699,23351332261991,19,1,0,0,2968,839296,3379,835625,0
31077213,23351332485484,23351332489979,23351333086230,23351333086230,23351333086382,23,1,0,0,4059,600898,4495,596251,0
31077214,23351333628348,23351333630938,23351334318298,23351334318298,23351334318454,25,1,0,0,2386,690106,2590,687360,0
31077215,23351334894271,23351334896828,23351335347547,23351335347547,23351335347713,25,1,0,0,2342,453442,2557,450719,0
31077216,23351335732903,23351335735496,23351336419197,23351336419197,23351336419341,26,1,0,0,2356,686438,2593,683701,0
31077217,23351337060630,23351337063093,23351337507567,23351337507567,23351337507665,22,1,0,0,2136,447035,2463,444474,0
31077218,23351337907614,23351337909901,23351338592738,23351338592738,23351338592883,23,1,0,0,2066,685269,2287,682837,0
31077219,23351339311633,23351339315330,23351339756969,23351339756969,23351339757081,20,1,0,0,3371,445448,3697,441639,0
31077220,23351340145606,23351340148410,23351340641802,23351340641802,23351340641903,21,1,0,0,2403,496297,2804,493392,0
31077221,23351340909084,23351340911765,23351341419627,23351341419627,23351341419794,21,1,0,0,2308,510710,2681,507862,0
31077222,23351341790144,23351341792918,23351342421769,23351342421769,23351342421994,22,1,0,0,2440,631850,2774,628851,0
31077223,23351343092222,23351343095271,23351343728929,23351343728929,23351343729031,21,1,0,0,2779,636809,3049,633658,0
