batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
31138827,27375144805413,27375144812192,27375145156299,27375145156299,27375145156530,7,1,0,0,5758,351117,6779,344107,0
31138828,27375145194304,27375145197979,27375145230766,27375145230766,27375145230947,1,1,0,0,3237,36643,3675,32787,0
31138829,27375145281627,27375145284227,27375145352785,27375145352785,27375145352959,2,1,0,0,2275,71332,2600,68558,0
31138830,27375145395211,27375145397843,27375145472616,27375145472616,27375145472786,3,1,0,0,2312,77575,2632,74773,0
31138831,27375145539428,27375145542085,27375145791721,27375145791721,27375145791913,11,1,0,0,2299,252485,2657,249636,0
31138832,27375145824325,27375145826989,27375146122115,27375146122115,27375146122269,11,1,0,0,2340,297944,2664,295126,0
31138833,27375146140017,27375146143112,27375146251727,27375146251727,27375146251870,5,1,0,0,2680,111853,3095,108615,0
31138834,27375146281392,27375146284212,27375146330643,27375146330643,27375146330795,2,1,0,0,2505,49403,2820,46431,0
31138835,27375146355947,27375146358625,27375146596585,27375146596585,27375146596729,11,1,0,0,2282,240782,2678,237960,0
31138836,27375146623844,27375146626471,27375146918070,27375146918070,27375146918426,13,1,0,0,2317,294582,2627,291599,0
31138837,27375146937760,27375146940833,27375147012544,27375147012544,27375147012723,3,1,0,0,2753,74963,3073,71711,0
31138838,27375147049824,27375147052631,27375147258798,27375147258798,27375147258969,11,1,0,0,2528,209145,2807,206167,0
31138839,27375147293489,27375147296172,27375147509102,27375147509102,27375147509250,10,1,0,0,2309,215761,2683,212930,0
31138840,27375147554625,27375147557254,27375147955289,27375147955289,27375147955441,19,1,0,0,2312,400816,2629,398035,0
31138841,27375147977185,27375147979957,27375148082768,27375148082768,27375148082910,4,1,0,0,2504,105725,2772,102811,0
31138842,27375148135157,27375148137856,27375148402099,27375148402099,27375148402241,12,1,0,0,2380,267084,2699,264243,0
31138843,27375148429604,27375148432233,27375148607881,27375148607881,27375148608031,8,1,0,0,2356,178427,2629,175648,0
31138844,27375148638280,27375148640933,27375148888730,27375148888730,27375148888912,11,1,0,0,2304,250632,2653,247797,0
31138845,27375148906618,27375148909251,27375149035292,27375149035292,27375149035487,5,1,0,0,2304,128869,2633,126041,0
31138846,27375149075778,27375149078454,27375149239470,27375149239470,27375149239611,9,1,0,0,2355,163833,2676,161016,0
31138847,27375149291159,27375149294025,27375149383516,27375149383516,27375149383672,4,1,0,0,2353,92513,2866,89491,0
31138848,27375149421995,27375149424592,27375149531029,27375149531029,27375149531183,5,1,0,0,2340,109188,2597,106437,0
31138849,27375149556189,27375149558964,27375149736352,27375149736352,27375149736499,8,1,0,0,2466,180310,2775,177388,0
31138850,27375149760020,27375149762677,27375149891295,27375149891295,27375149891471,6,1,0,0,2328,131451,2657,128618,0
31138851,27375149926886,27375149929419,27375150041855,27375150041855,27375150042003,4,1,0,0,2233,115117,2533,112436,0
31138852,27375150072541,27375150075172,27375150123572,27375150123572,27375150123720,2,1,0,0,2301,51179,2631,48400,0
31138853,27375150166147,27375150168940,27375150246739,27375150246739,27375150246895,5,1,0,0,2362,80748,2793,77799,0
31138854,27375150319806,27375150322482,27375150421610,27375150421610,27375150421765,4,1,0,0,2372,101959,2676,99128,0
31138855,27375150540316,27375150542948,27375150620920,27375150620920,27375150621060,3,1,0,0,2330,80744,2632,77972,0
31138856,27375150701614,27375150704335,27375150778645,27375150778645,27375150778797,3,1,0,0,2407,77183,2721,74310,0
31138857,27375150865108,27375150867667,27375150992124,27375150992124,27375150992279,5,1,0,0,2269,127171,2559,124457,0
31138858,27375151115640,27375151118150,27375151220108,27375151220108,27375151220255,4,1,0,0,2195,104615,2510,101958,0
31138859,27375151320713,27375151323500,27375151402350,27375151402350,27375151402503,3,1,0,0,2463,81790,2787,78850,0
31138860,27375151507760,27375151510417,27375151724762,27375151724762,27375151724906,11,1,0,0,2372,217146,2657,214345,0
31138861,27375151899456,27375151902142,27375151977235,27375151977235,27375151977374,3,1,0,0,2424,77918,2686,75093,0
31138862,27375152067662,27375152070342,27375152287673,27375152287673,27375152287819,12,1,0,1,2332,220157,2680,217331,0
31138863,27375152497010,27375152499573,27375152575921,27375152575921,27375152576057,5,1,0,0,2295,79047,2563,76348,0
31138864,27375152666417,27375152669171,27375152699622,27375152699622,27375152699784,4,1,0,0,2457,33367,2754,30451,0
31138865,27375152743560,27375152746234,27375152746628,27375152746628,27375152746727,1,1,0,0,2366,3167,2674,394,0
31138866,27375152780470,27375152782810,27375152861347,27375152861347,27375152861494,2,1,0,0,2059,81024,2340,78537,0
31138867,27375153074990,27375153077892,27375153308192,27375153308192,27375153308339,6,1,0,0,2568,233349,2902,230300,0
31138868,27375153649968,27375153652727,27375153728423,27375153728423,27375153728568,2,1,0,0,2306,78600,2759,75696,0
31138869,27375153857400,27375153859875,27375153977664,27375153977664,27375153977814,3,1,0,0,2236,120414,2475,117789,0
31138870,27375154168433,27375154171415,27375154286761,27375154286761,27375154286910,6,1,0,0,2620,118477,2982,115346,0
31138871,27375154472832,27375154475859,27375154624483,27375154624483,27375154624634,4,1,0,0,2642,151802,3027,148624,0
31138872,27375154852359,27375154854918,27375154890763,27375154890763,27375154890923,1,1,0,0,2313,38564,2559,35845,0
31138873,27375154988277,27375154990818,27375155138223,27375155138223,27375155138403,4,1,0,0,2325,150126,2541,147405,0
31138874,27375155298030,27375155301101,27375155413971,27375155413971,27375155414120,3,1,0,0,2805,116090,3071,112870,0
31138875,27375155632563,27375155635617,27375155839313,27375155839313,27375155839449,8,1,0,0,2767,206886,3054,203696,0
31138876,27375156124542,27375156127273,27375156210774,27375156210774,27375156210944,2,1,0,0,2349,86402,2731,83501,0
31138877,27375156337458,27375156340083,27375156418766,27375156418766,27375156418906,2,1,0,0,2307,81448,2625,78683,0
31138878,27375156563271,27375156565888,27375156685844,27375156685844,27375156686012,5,1,0,0,2342,122741,2617,119956,0
31138879,27375156874037,27375156876835,27375157050338,27375157050338,27375157050482,7,1,0,0,2486,176445,2798,173503,0
31138880,27375157259780,27375157262516,27375157340143,27375157340143,27375157340292,6,1,0,0,2416,80512,2736,77627,0
31138881,27375157466442,27375157468915,27375157470150,27375157470150,27375157470246,2,1,0,0,2194,3804,2473,1235,0
31138882,27375157490985,27375157493466,27375157577518,27375157577518,27375157577669,2,1,0,0,2144,86684,2481,84052,0
31138883,27375157703855,27375157706443,27375157746909,27375157746909,27375157747088,1,1,0,0,2276,43233,2588,40466,0
