batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
33971480,29086916036516,29086916042795,29086916420854,29086916420854,29086916421083,1,1,0,0,4952,384567,6279,378059,0
33971481,29086916444980,29086916448694,29086916528546,29086916528546,29086916528721,1,1,0,0,3279,83741,3714,79852,0
33971482,29086916632957,29086916635116,29086916756144,29086916756144,29086916756316,1,1,0,0,1904,123359,2159,121028,0
33971483,29086916805345,29086916807647,29086916882254,29086916882254,29086916882427,1,1,0,0,1956,77082,2302,74607,0
33971484,29086916990397,29086916992502,29086917074136,29086917074136,29086917074289,1,1,0,0,1856,83892,2105,81634,0
33971485,29086917162124,29086917164355,29086917243918,29086917243918,29086917244090,1,1,0,0,1915,81966,2231,79563,0
33971486,29086917411035,29086917413348,29086917488821,29086917488821,29086917488997,1,1,0,0,1959,77962,2313,75473,0
33971487,29086917707861,29086917710157,29086917774962,29086917774962,29086917775135,1,1,0,0,2046,67274,2296,64805,0
33971488,29086917906057,29086917908229,29086917995515,29086917995515,29086917995690,1,1,0,0,1904,89633,2172,87286,0
33971489,29086918210357,29086918212490,29086918278643,29086918278643,29086918278813,1,1,0,0,1874,68456,2133,66153,0
33971490,29086918428999,29086918431211,29086918505892,29086918505892,29086918506064,1,1,0,0,1860,77065,2212,74681,0
33971491,29086918680299,29086918682461,29086918751062,29086918751062,29086918751233,1,1,0,0,1867,70934,2162,68601,0
33971492,29086918910256,29086918912364,29086918981483,29086918981483,29086918981662,1,1,0,0,1859,71406,2108,69119,0
33971493,29086919167568,29086919169878,29086919239011,29086919239011,29086919239118,1,1,0,0,2004,71550,2310,69133,0
33971494,29086919435555,29086919437970,29086919502096,29086919502096,29086919502266,1,1,0,0,2096,66711,2415,64126,0
33971495,29086919693232,29086919695423,29086919772304,29086919772304,29086919772479,1,1,0,0,1919,79247,2191,76881,0
33971496,29086919879477,29086919881516,29086919933549,29086919933549,29086919933721,1,1,0,0,1751,54244,2039,52033,0
33971497,29086920012769,29086920015004,29086920079723,29086920079723,29086920079823,1,1,0,0,1952,67054,2235,64719,0
33971498,29086920277787,29086920279906,29086920357352,29086920357352,29086920357468,1,1,0,0,1900,79681,2119,77446,0
33971499,29086920441851,29086920444025,29086920569439,29086920569439,29086920569608,2,1,0,0,1970,127757,2174,125414,0
33971500,29086920721931,29086920724192,29086920773974,29086920773974,29086920774146,1,1,0,0,1957,52215,2261,49782,0
33971501,29086920821846,29086920823847,29086920872040,29086920872040,29086920872138,1,1,0,0,1824,50292,2001,48193,0
33971502,29086920916244,29086920918289,29086920963417,29086920963417,29086920963513,1,1,0,0,1806,47269,2045,45128,0
33971503,29086921025408,29086921027434,29086921068452,29086921068452,29086921068547,1,1,0,0,1785,43139,2026,41018,0
33971504,29086921226829,29086921229043,29086921353866,29086921353866,29086921353967,2,1,0,0,1872,127138,2214,124823,0
33971505,29086921512016,29086921514256,29086921621316,29086921621316,29086921621411,2,1,0,0,2036,109395,2240,107060,0
33971506,29086921765798,29086921767887,29086921813752,29086921813752,29086921813852,1,1,0,0,1843,48054,2089,45865,0
33971507,29086921857430,29086921859569,29086921889242,29086921889242,29086921889336,1,1,0,0,1840,31906,2139,29673,0
33971508,29086921941170,29086921943581,29086921973254,29086921973254,29086921973426,1,1,0,0,1916,32256,2411,29673,0
33971509,29086922082818,29086922085146,29086922193629,29086922193629,29086922193801,2,1,0,0,1944,110983,2328,108483,0
33971510,29086922424627,29086922426805,29086922477107,29086922477107,29086922477219,1,1,0,0,1930,52592,2178,50302,0
33971511,29086922585512,29086922587773,29086922662207,29086922662207,29086922662382,1,1,0,0,1995,76870,2261,74434,0
33971512,29086922815781,29086922817797,29086922838583,29086922838583,29086922838680,1,1,0,0,1828,22899,2016,20786,0
33971513,29086922854360,29086922856880,29086922881569,29086922881569,29086922881742,1,1,0,0,2267,27382,2520,24689,0
33971514,29086922895143,29086922897608,29086922924636,29086922924636,29086922924733,1,1,0,0,2267,29590,2465,27028,0
33971515,29086922973340,29086922975456,29086922997766,29086922997766,29086922997867,1,1,0,0,1861,24527,2116,22310,0
33971516,29086923015073,29086923017300,29086923060236,29086923060236,29086923060332,1,1,0,0,1889,45259,2227,42936,0
33971517,29086923172188,29086923174412,29086923258022,29086923258022,29086923258159,1,1,0,1,1934,85971,2224,83610,0
33971518,29086923489694,29086923491742,29086923572904,29086923572904,29086923573001,1,1,0,0,1862,83307,2048,81162,0
33971519,29086923762446,29086923764526,29086923842113,29086923842113,29086923842281,1,1,0,0,1831,79835,2080,77587,0
33971520,29086924039911,29086924042554,29086924127999,29086924127999,29086924128168,1,1,0,0,2039,88257,2643,85445,0
33971521,29086924348779,29086924350803,29086924420166,29086924420166,29086924420262,1,1,0,0,1849,71483,2024,69363,0
33971522,29086924537662,29086924539819,29086924623230,29086924623230,29086924623399,1,1,0,0,1828,85737,2157,83411,0
33971523,29086924882810,29086924884996,29086924943970,29086924943970,29086924944069,1,1,0,0,1933,61259,2186,58974,0
33971524,29086925047887,29086925050044,29086925135438,29086925135438,29086925135537,1,1,0,0,1846,87650,2157,85394,0
33971525,29086925329228,29086925331347,29086925477730,29086925477730,29086925477827,2,1,0,0,1889,148599,2119,146383,0
33971526,29086925655299,29086925657513,29086925735480,29086925735480,29086925735575,1,1,0,0,1902,80276,2214,77967,0
33971527,29086925855231,29086925857235,29086925924553,29086925924553,29086925924719,1,1,0,0,1823,69488,2004,67318,0
33971528,29086926109864,29086926112031,29086926180461,29086926180461,29086926180566,1,1,0,0,1853,70702,2167,68430,0
33971529,29086926354671,29086926356785,29086926398352,29086926398352,29086926398445,1,1,0,0,1934,43774,2114,41567,0
33971530,29086926505002,29086926507199,29086926556895,29086926556895,29086926556994,1,1,0,0,1945,51992,2197,49696,0
33971531,29086926650498,29086926652600,29086926714993,29086926714993,29086926715090,1,1,0,0,1843,64592,2102,62393,0
33971532,29086926900474,29086926902700,29086926973882,29086926973882,29086926973982,1,1,0,0,1888,73508,2226,71182,0
33971533,29086927082585,29086927084797,29086927214167,29086927214167,29086927214261,2,1,0,0,1908,131676,2212,129370,0
33971534,29086927369547,29086927371680,29086927398596,29086927398596,29086927398697,1,1,0,0,1883,29150,2133,26916,0
33971535,29086927430394,29086927432799,29086927498129,29086927498129,29086927498299,1,1,0,0,2215,67905,2405,65330,0
33971536,29086927577006,29086927579132,29086927643674,29086927643674,29086927643768,1,1,0,0,1842,66762,2126,64542,0
33971537,29086927826229,29086927828422,29086927942656,29086927942656,29086927942768,2,1,0,0,1851,116539,2193,114234,0
33971538,29086928157173,29086928159557,29086928204067,29086928204067,29086928204161,1,1,0,0,1997,46988,2384,44510,0
33971539,29086928304664,29086928306735,29086928380803,29086928380803,29086928380973,1,1,0,0,1879,76309,2071,74068,0
33971540,29086928535801,29086928537950,29086928577621,29086928577621,29086928577719,1,1,0,0,1846,41918,2149,39671,0
33971541,29086928621147,29086928623225,29086928666023,29086928666023,29086928666130,1,1,0,0,1852,44983,2078,42798,0
33971542,29086928839943,29086928842125,29086928949880,29086928949880,29086928950044,2,1,0,0,1853,110101,2182,107755,0
33971543,29086929125822,29086929127930,29086929230789,29086929230789,29086929230887,2,1,0,0,1858,105065,2108,102859,0
33971544,29086929460605,29086929462656,29086929493029,29086929493029,29086929493128,1,1,0,0,1866,32523,2051,30373,0
33971545,29086929539146,29086929541178,29086929562936,29086929562936,29086929563037,1,1,0,0,1812,23891,2032,21758,0
33971546,29086929579781,29086929582201,29086929609454,29086929609454,29086929609549,1,1,0,0,2208,29768,2420,27253,0
33971547,29086929640023,29086929642398,29086929670646,29086929670646,29086929670741,1,1,0,0,2162,30718,2375,28248,0
33971548,29086929787004,29086929789206,29086929876937,29086929876937,29086929877035,1,1,0,0,1913,90031,2202,87731,0
33971549,29086930121089,29086930123303,29086930181297,29086930181297,29086930181395,1,1,0,0,1916,60306,2214,57994,0
33971550,29086930332495,29086930334660,29086930404069,29086930404069,29086930404369,1,1,0,0,1899,71874,2165,69409,0
33971551,29086930558643,29086930560623,29086930587410,29086930587410,29086930587510,1,1,0,0,1766,28867,1980,26787,0
33971552,29086930658856,29086930661061,29086930759433,29086930759433,29086930759531,1,1,0,0,1934,100675,2205,98372,0
33971553,29086930953949,29086930956126,29086931047203,29086931047203,29086931047341,1,1,0,0,1934,93392,2177,91077,0
33971554,29086931187488,29086931189653,29086931294494,29086931294494,29086931294587,1,1,0,0,1959,107099,2165,104841,0
33971555,29086931507548,29086931509560,29086931592719,29086931592719,29086931592815,1,1,0,0,1817,85267,2012,83159,0
33971556,29086931746324,29086931748426,29086931839392,29086931839392,29086931839495,1,1,0,0,1850,93171,2102,90966,0
33971557,29086932055242,29086932057342,29086932162681,29086932162681,29086932162773,1,1,0,0,1855,107531,2100,105339,0
33971558,29086932280118,29086932282438,29086932358083,29086932358083,29086932358176,1,1,0,0,2069,78058,2320,75645,0
33971559,29086932449257,29086932451349,29086932523254,29086932523254,29086932523352,1,1,0,0,1900,74095,2092,71905,0
33971560,29086932648311,29086932650324,29086932724436,29086932724436,29086932724538,1,1,0,0,1810,76227,2013,74112,0
33971561,29086932897778,29086932899919,29086932963937,29086932963937,29086932964036,1,1,0,0,1837,66258,2141,64018,0
33971562,29086933146311,29086933148502,29086933251536,29086933251536,29086933251630,2,1,0,0,1830,105319,2191,103034,0
33971563,29086933425686,29086933427833,29086933479182,29086933479182,29086933479278,1,1,0,0,1963,53592,2147,51349,0
33971564,29086933593145,29086933595246,29086933651477,29086933651477,29086933651573,1,1,0,0,1906,58428,2101,56231,0
33971565,29086933718085,29086933720252,29086933783864,29086933783864,29086933783961,1,1,0,0,1952,65876,2167,63612,0
33971566,29086934021802,29086934023976,29086934091957,29086934091957,29086934092067,1,1,0,0,1916,70265,2174,67981,0
33971567,29086934171088,29086934173242,29086934246572,29086934246572,29086934246671,1,1,0,0,1886,75583,2154,73330,0
33971568,29086934316130,29086934318175,29086934433917,29086934433917,29086934434012,2,1,0,0,1811,117882,2045,115742,0
33971569,29086934535128,29086934537200,29086934587438,29086934587438,29086934587534,1,1,0,0,1836,52406,2072,50238,0
33971570,29086934743220,29086934745362,29086934861559,29086934861559,29086934861667,2,1,0,0,1841,118447,2142,116197,0
33971571,29086935081420,29086935083528,29086935126844,29086935126844,29086935126938,1,1,0,0,1855,45518,2108,43316,0
33971572,29086935264651,29086935266933,29086935342602,29086935342602,29086935342699,1,1,0,0,2008,78048,2282,75669,0
33971573,29086935493367,29086935495474,29086935535807,29086935535807,29086935535902,1,1,0,0,1855,42535,2107,40333,0
33971574,29086935616297,29086935618334,29086935659974,29086935659974,29086935660086,1,1,0,0,1788,43789,2037,41640,0
33971575,29086935833962,29086935836122,29086935954934,29086935954934,29086935955030,2,1,0,0,1865,121068,2160,118812,0
33971576,29086936123441,29086936125641,29086936256535,29086936256535,29086936256646,3,1,0,0,1876,133205,2200,130894,0
33971577,29086936390286,29086936392690,29086936422180,29086936422180,29086936422276,1,1,0,0,2089,31990,2404,29490,0
33971578,29086936466449,29086936468626,29086936497575,29086936497575,29086936497678,1,1,0,0,1920,31229,2177,28949,0
33971579,29086936546370,29086936548404,29086936577225,29086936577225,29086936577329,1,1,0,0,1783,30959,2034,28821,0
33971580,29086936625256,29086936627602,29086936674429,29086936674429,29086936674531,1,1,0,0,2151,49275,2346,46827,0
33971581,29086936785719,29086936787798,29086936881956,29086936881956,29086936882052,2,1,0,0,1881,96333,2079,94158,0
33971582,29086937031710,29086937033928,29086937094583,29086937094583,29086937094682,1,1,0,0,1836,62972,2218,60655,0
33971583,29086937242368,29086937244643,29086937311402,29086937311402,29086937311515,1,1,0,0,2004,69147,2275,66759,0
33971584,29086937436177,29086937438240,29086937460023,29086937460023,29086937460121,1,1,0,0,1852,23944,2063,21783,0
33971585,29086937534234,29086937536386,29086937625068,29086937625068,29086937625166,1,1,0,0,1922,90932,2152,88682,0
33971586,29086937931535,29086937933727,29086938040536,29086938040536,29086938040677,1,1,0,0,1949,109142,2192,106809,0
33971587,29086938200308,29086938202586,29086938294881,29086938294881,29086938294978,1,1,0,0,2018,94670,2278,92295,0
33971588,29086938527180,29086938529358,29086938611087,29086938611087,29086938611266,1,1,0,0,1828,84086,2178,81729,0
33971589,29086938871410,29086938873626,29086938956304,29086938956304,29086938956411,1,1,0,0,1969,85001,2216,82678,0
