batch_id,t0_ns,t1_ns,t2_ns,t3_ns,t4_ns,num_faults,spec_enqueues,spec_drops,spec_hits,enqueue_overhead_ns,total_latency_ns,phase01_ns,phase12_ns,phase23_ns
0,6595621977374,6595621984586,6595622624411,6595622624411,6595622624696,17,1,0,0,6174,647322,7212,639825,0
1,6595622661460,6595622665232,6595622732584,6595622732584,6595622732783,2,1,0,0,3455,71323,3772,67352,0
2,6595622771573,6595622774819,6595622927694,6595622927694,6595622927998,5,1,0,0,2934,156425,3246,152875,0
3,6595623041805,6595623044783,6595623305105,6595623305105,6595623305365,8,1,0,0,2678,263560,2978,260322,0
4,6595623333724,6595623336877,6595623573867,6595623573867,6595623574115,8,1,0,0,2870,240391,3153,236990,0
5,6595623613095,6595623616155,6595623868494,6595623868494,6595623868734,8,1,0,0,2816,255639,3060,252339,0
6,6595623928845,6595623932068,6595624223514,6595624223514,6595624223700,9,1,0,0,2906,294855,3223,291446,0
7,6595624270444,6595624274391,6595624488438,6595624488438,6595624488689,7,1,0,0,3506,218245,3947,214047,0
8,6595624567135,6595624570186,6595624896183,6595624896183,6595624896376,10,1,0,0,2744,329241,3051,325997,0
9,6595624953152,6595624956367,6595625149427,6595625149427,6595625149676,6,1,0,0,2908,196524,3215,193060,0
10,6595625231302,6595625234579,6595625644998,6595625644998,6595625645188,14,1,0,0,2977,413886,3277,410419,0
11,6595625702415,6595625705588,6595626171547,6595626171547,6595626171789,14,1,0,0,2877,469374,3173,465959,0
12,6595626245361,6595626248546,6595626725399,6595626725399,6595626725660,16,1,0,0,2897,480299,3185,476853,0
13,6595626783738,6595626787054,6595627397417,6595627397417,6595627397615,19,1,0,0,2995,613877,3316,610363,0
14,6595627457478,6595627460831,6595627925489,6595627925489,6595627925747,16,1,0,0,3007,468269,3353,464658,0
15,6595627996034,6595628011816,6595628453799,6595628453799,6595628453944,15,1,0,0,15373,457910,15782,441983,0
16,6595628476918,6595628480192,6595628600903,6595628600903,6595628601134,4,1,0,0,2969,124216,3274,120711,0
17,6595628680022,6595628683206,6595629643044,6595629643044,6595629643293,32,1,0,0,2888,963271,3184,959838,0
18,6595629693592,6595629696832,6595630099890,6595630099890,6595630100082,12,1,0,0,2936,406490,3240,403058,0
19,6595630161222,6595630165150,6595630813490,6595630813490,6595630813682,22,1,0,0,3480,652460,3928,648340,0
20,6595630925463,6595630928782,6595631920594,6595631920594,6595631920811,32,1,0,0,2985,995348,3319,991812,0
21,6595632011546,6595632012997,6595632833122,6595632833122,6595632833300,28,1,0,0,1186,821754,1451,820125,0
22,6595632876758,6595632880917,6595633556612,6595633556612,6595633556802,22,1,0,0,3778,680044,4159,675695,0
23,6595633612693,6595633615916,6595634410009,6595634410009,6595634410210,30,1,0,0,2930,797517,3223,794093,0
24,6595634435171,6595634439305,6595634571287,6595634571287,6595634571430,6,1,0,0,3499,136259,4134,131982,0
25,6595634625071,6595634627939,6595635282679,6595635282679,6595635282820,29,1,0,0,2583,657749,2868,654740,0
26,6595635308524,6595635311353,6595635621178,6595635621178,6595635621317,15,1,0,0,2684,312793,2829,309825,0
27,6595635670430,6595635673171,6595636068413,6595636068413,6595636068566,18,1,0,0,2490,398136,2741,395242,0
28,6595636097874,6595636100843,6595636269458,6595636269458,6595636269605,8,1,0,0,2708,171731,2969,168615,0
29,6595636314360,6595636316930,6595636788210,6595636788210,6595636788356,22,1,0,0,2322,473996,2570,471280,0
30,6595636818512,6595636821384,6595637124793,6595637124793,6595637124937,14,1,0,0,2645,306425,2872,303409,0
31,6595637165273,6595637167833,6595637552237,6595637552237,6595637552440,18,1,0,0,2313,387167,2560,384404,0
32,6595637589117,6595637592040,6595637790782,6595637790782,6595637790924,9,1,0,0,2600,201807,2923,198742,0
33,6595637844242,6595637847242,6595638230301,6595638230301,6595638230499,17,1,0,0,2722,386257,3000,383059,0
34,6595638669354,6595638672117,6595639035923,6595639035923,6595639036095,18,1,0,0,2488,366741,2763,363806,0
35,6595639076051,6595639078902,6595639315284,6595639315284,6595639315427,13,1,0,0,2610,239376,2851,236382,0
36,6595639371599,6595639374677,6595639682039,6595639682039,6595639682182,17,1,0,0,2837,310583,3078,307362,0
37,6595639722640,6595639725460,6595640063707,6595640063707,6595640063857,18,1,0,0,2534,341217,2820,338247,0
38,6595640104779,6595640107914,6595640463865,6595640463865,6595640464004,20,1,0,0,2830,359225,3135,355951,0
39,6595640502941,6595640505591,6595640826050,6595640826050,6595640826192,18,1,0,0,2406,323251,2650,320459,0
40,6595640856022,6595640858618,6595641117893,6595641117893,6595641118043,14,1,0,0,2292,262021,2596,259275,0
41,6595641158890,6595641161488,6595641588364,6595641588364,6595641588506,24,1,0,0,2334,429616,2598,426876,0
42,6595641628252,6595641630858,6595641835456,6595641835456,6595641835599,10,1,0,0,2331,207347,2606,204598,0
43,6595641878479,6595641881384,6595642128725,6595642128725,6595642128881,13,1,0,0,2648,250402,2905,247341,0
44,6595642167341,6595642170254,6595642517393,6595642517393,6595642517541,19,1,0,0,2624,350200,2913,347139,0
45,6595642555184,6595642557982,6595642922451,6595642922451,6595642922593,20,1,0,0,2527,367409,2798,364469,0
46,6595642960802,6595642963381,6595643269646,6595643269646,6595643269790,16,1,0,0,2340,308988,2579,306265,0
47,6595643310658,6595643313271,6595643668994,6595643668994,6595643669158,20,1,0,0,2350,358500,2613,355723,0
48,6595643703194,6595643705851,6595644074462,6595644074462,6595644074657,20,1,0,0,2325,371463,2657,368611,0
49,6595644110005,6595644112556,6595644482241,6595644482241,6595644482384,21,1,0,0,2284,372379,2551,369685,0
50,6595644522998,6595644525644,6595644829980,6595644829980,6595644830124,17,1,0,0,2376,307126,2646,304336,0
51,6595644864955,6595644867555,6595645286483,6595645286483,6595645286625,23,1,0,0,2345,421670,2600,418928,0
52,6595645324113,6595645326917,6595645777606,6595645777606,6595645777747,25,1,0,0,2567,453634,2804,450689,0
53,6595645806805,6595645809861,6595646248176,6595646248176,6595646248323,23,1,0,0,2503,441518,3056,438315,0
54,6595646287257,6595646289930,6595646651212,6595646651212,6595646651369,20,1,0,0,2400,364112,2673,361282,0
55,6595646695498,6595646698095,6595647170113,6595647170113,6595647170262,25,1,0,0,2362,474764,2597,472018,0
56,6595647201836,6595647204372,6595647501682,6595647501682,6595647501825,17,1,0,0,2200,299989,2536,297310,0
57,6595647540097,6595647542631,6595647981376,6595647981376,6595647981519,25,1,0,0,2289,441422,2534,438745,0
58,6595648026263,6595648028800,6595648380828,6595648380828,6595648380973,20,1,0,0,2133,354710,2537,352028,0
59,6595648411720,6595648414304,6595648660399,6595648660399,6595648660541,14,1,0,0,2330,248821,2584,246095,0
60,6595648700282,6595648702782,6595648966681,6595648966681,6595648966821,15,1,0,0,2268,266539,2500,263899,0
61,6595649014472,6595649016816,6595649143184,6595649143184,6595649143324,7,1,0,0,2049,128852,2344,126368,0
