policy,depth,benchmark,size,n_batches,hit_rate,enqueues,hits,lat_median_ns,lat_mean_ns,lat_p95_ns,ph01_median_ns,ph12_median_ns
0,0,GraphBFS,22,1820,0.00000,0.0,0.0,226433,263262,691505,158,226124
0,0,GraphBFS,23,1820,0.00000,0.0,0.0,229688,281565,758513,160,229398
0,0,GraphBFS,24,3640,0.00000,0.0,0.0,199369,294485,848823,156,199074
0,0,SGEMM,16384,7280,0.00000,0.0,0.0,46524,100226,456118,143,46228
0,0,SGEMM,24000,12740,0.00000,0.0,0.0,49874,50852,74182,135,49635
0,0,SGEMM,8192,2941,0.00000,0.0,0.0,40301,115799,502533,142,40039
0,0,STREAM,134217728,3640,0.00000,0.0,0.0,156678,204168,442967,179,156326
0,0,STREAM,268435456,5460,0.00000,0.0,0.0,168332,229756,636487,180,167998
0,0,STREAM,536870912,9100,0.00000,0.0,0.0,125043,169557,520126,133,124786
0,0,Stencil,16384,5460,0.00000,0.0,0.0,62617,64614,114007,159,62343
0,0,Stencil,24000,12740,0.00000,0.0,0.0,61082,64809,116531,147,60801
0,0,Stencil,8192,1820,0.00000,0.0,0.0,56957,66148,141358,173,56642
0,0,Stencil_OvSub,25000_20_11264,14560,0.00000,0.0,0.0,57237,60952,115416,167,56920
0,0,Stencil_OvSub,28300_20_11264,14560,0.00000,0.0,0.0,54924,60592,117826,155,54621
0,0,Stencil_OvSub,32000_20_11264,14560,0.00000,0.0,0.0,48159,54349,110062,145,47880
0,0,cuFFT,134217728,1820,0.00000,0.0,0.0,424474,551656,1523130,181,424186
0,0,cuFFT,268435456,1820,0.00000,0.0,0.0,429449,548068,1490003,192,428911
0,0,cuFFT,67108864,1717,0.00000,0.0,0.0,396953,588355,1996862,185,395908
1,0,GraphBFS,22,1820,0.00165,1820.0,3.0,232890,276715,728686,2532,229385
1,0,GraphBFS,23,1820,0.00055,1820.0,1.0,248272,291643,761688,2551,245901
1,0,GraphBFS,24,3589,0.00139,3589.0,5.0,218225,303425,861140,2399,215607
1,0,SGEMM,16384,7280,0.00137,7280.0,10.0,52066,107412,477077,2365,49576
1,0,SGEMM,24000,12740,0.00283,12740.0,36.0,54167,54514,77661,2500,51584
1,0,SGEMM,8192,3033,0.00000,3033.0,0.0,47856,113709,477802,2311,45579
1,0,STREAM,134217728,3640,0.00440,3640.0,16.0,107860,128850,266025,2200,105524
1,0,STREAM,268435456,5460,0.01081,5460.0,59.0,118538,146223,365117,2220,116072
1,0,STREAM,536870912,9100,0.01648,9100.0,150.0,129418,170003,485390,2468,126816
1,0,Stencil,16384,5460,0.00000,5460.0,0.0,66058,65382,114060,2446,63447
