cycle,policy,time_ms
1,0,674.10
1,1,688.37
1,5,678.00
2,0,671.79
2,1,683.32
2,5,681.75
3,0,669.59
3,1,682.45
3,5,685.07
4,0,669.62
4,1,685.33
4,5,679.38
5,0,695.60
5,1,688.55
5,5,681.74
6,0,675.83
6,1,682.27
6,5,679.60
7,0,673.69
7,1,686.93
7,5,685.53
8,0,666.95
8,1,706.48
8,5,680.01
9,0,696.42
9,1,691.91
9,5,680.99
10,0,672.60
10,1,686.33
10,5,690.39
11,0,676.60
11,1,687.25
11,5,694.97
12,0,677.69
12,1,689.98
12,5,683.60
13,0,667.66
13,1,707.99
13,5,697.77
14,0,686.81
14,1,696.95
14,5,686.18
15,0,670.48
15,1,684.76
15,5,678.27
16,0,681.56
16,1,685.63
16,5,681.59
17,0,674.29
17,1,688.56
17,5,684.69
18,0,674.50
18,1,691.32
18,5,685.47
19,0,682.22
19,1,687.23
19,5,690.11
20,0,676.00
20,1,683.49
20,5,695.41
21,0,680.25
21,1,685.45
21,5,689.54
22,0,674.78
22,1,701.37
22,5,687.74
23,0,677.99
23,1,696.84
23,5,685.21
24,0,676.29
24,1,690.22
24,5,692.63
25,0,672.03
25,1,689.89
25,5,689.84
26,0,679.53
26,1,684.93
26,5,687.11
27,0,670.47
27,1,686.86
27,5,690.49
28,0,677.16
28,1,685.55
28,5,692.98
29,0,673.20
29,1,693.92
29,5,695.24
30,0,678.17
30,1,693.10
30,5,690.17
31,0,686.11
31,1,684.51
31,5,685.03
32,0,673.85
32,1,685.47
32,5,680.96
33,0,673.46
33,1,692.26
33,5,686.90
34,0,671.08
34,1,691.66
34,5,684.18
35,0,685.25
35,1,687.61
35,5,690.44
36,0,679.22
36,1,683.48
36,5,685.94
37,0,674.77
37,1,686.07
37,5,691.84
38,0,678.46
38,1,683.84
38,5,683.97
39,0,676.80
39,1,682.45
39,5,685.47
40,0,671.67
40,1,687.56
40,5,687.56
