run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,hit_rate,enqueues,hits
1,2026-08-10T18:34:57Z,p0_prefetchON,bench_cufft,67108864,warmup_1,0.72,8A2651D1CB32C7B239FB511,0,0.00000,0,0
2,2026-08-10T18:34:58Z,p2_prefetchON,bench_cufft,67108864,warmup_1,0.71,8A2651D1CB32C7B239FB511,0,0.04573,6757,309
3,2026-08-10T18:35:00Z,p0_prefetchON,bench_cufft,67108864,warmup_2,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
4,2026-08-10T18:35:01Z,p2_prefetchON,bench_cufft,67108864,warmup_2,0.72,8A2651D1CB32C7B239FB511,0,0.03660,6885,252
5,2026-08-10T18:35:02Z,p0_prefetchON,bench_cufft,67108864,kept_3,0.71,8A2651D1CB32C7B239FB511,0,0.00000,0,0
6,2026-08-10T18:35:04Z,p2_prefetchON,bench_cufft,67108864,kept_3,0.70,8A2651D1CB32C7B239FB511,0,0.04472,6485,290
7,2026-08-10T18:35:05Z,p0_prefetchON,bench_cufft,67108864,kept_4,0.69,8A2651D1CB32C7B239FB511,0,0.00000,0,0
8,2026-08-10T18:35:06Z,p2_prefetchON,bench_cufft,67108864,kept_4,0.69,8A2651D1CB32C7B239FB511,0,0.03363,6928,233
9,2026-08-10T18:35:07Z,p0_prefetchON,bench_cufft,67108864,kept_5,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
10,2026-08-10T18:35:09Z,p2_prefetchON,bench_cufft,67108864,kept_5,0.69,8A2651D1CB32C7B239FB511,0,0.03468,7267,252
11,2026-08-10T18:35:10Z,p0_prefetchON,bench_cufft,67108864,kept_6,0.70,8A2651D1CB32C7B239FB511,0,0.00000,0,0
12,2026-08-10T18:35:11Z,p2_prefetchON,bench_cufft,67108864,kept_6,0.69,8A2651D1CB32C7B239FB511,0,0.03390,6874,233
