run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb,hit_rate,enqueues,hits
1,2026-08-13T11:51:36Z,p0_prefetchON,bench_cufft,67108864,warmup_1,0.36,9E98EF08CBA769C50A24937,0,61079748,60887552,0.00000,0,0
2,2026-08-13T11:51:37Z,p2_prefetchON,bench_cufft,67108864,warmup_1,0.31,9E98EF08CBA769C50A24937,0,60859092,60634804,0.14455,7105,1027
3,2026-08-13T11:51:38Z,p0_prefetchON,bench_cufft,67108864,warmup_2,0.29,9E98EF08CBA769C50A24937,0,60695884,60431668,0.00000,0,0
4,2026-08-13T11:51:38Z,p2_prefetchON,bench_cufft,67108864,warmup_2,0.30,9E98EF08CBA769C50A24937,0,60424628,60157212,0.14087,6964,981
5,2026-08-13T11:51:39Z,p0_prefetchON,bench_cufft,67108864,kept_3,0.29,9E98EF08CBA769C50A24937,0,60150368,59891508,0.00000,0,0
6,2026-08-13T11:51:40Z,p2_prefetchON,bench_cufft,67108864,kept_3,0.30,9E98EF08CBA769C50A24937,0,59865776,59632312,0.13752,6901,949
7,2026-08-13T11:51:41Z,p0_prefetchON,bench_cufft,67108864,kept_4,0.30,9E98EF08CBA769C50A24937,0,59602204,59347284,0.00000,0,0
8,2026-08-13T11:51:42Z,p2_prefetchON,bench_cufft,67108864,kept_4,0.30,9E98EF08CBA769C50A24937,0,59354432,59114484,0.14431,7096,1024
9,2026-08-13T11:51:43Z,p0_prefetchON,bench_cufft,67108864,kept_5,0.30,9E98EF08CBA769C50A24937,0,59081728,58868424,0.00000,0,0
10,2026-08-13T11:51:44Z,p2_prefetchON,bench_cufft,67108864,kept_5,0.29,9E98EF08CBA769C50A24937,0,58853624,58620896,0.14149,6601,934
11,2026-08-13T11:51:44Z,p0_prefetchON,bench_cufft,67108864,kept_6,0.29,9E98EF08CBA769C50A24937,0,58594984,58361804,0.00000,0,0
12,2026-08-13T11:51:45Z,p2_prefetchON,bench_cufft,67108864,kept_6,0.29,9E98EF08CBA769C50A24937,0,58326980,58129648,0.13832,6991,967
13,2026-08-13T11:51:46Z,p0_prefetchON,bench_cufft,67108864,kept_7,0.29,9E98EF08CBA769C50A24937,0,58123148,57910628,0.00000,0,0
14,2026-08-13T11:51:47Z,p2_prefetchON,bench_cufft,67108864,kept_7,0.29,9E98EF08CBA769C50A24937,0,57884980,57636604,0.13588,6984,949
15,2026-08-13T11:51:48Z,p0_prefetchON,bench_cufft,67108864,kept_8,0.29,9E98EF08CBA769C50A24937,0,57602648,57353896,0.00000,0,0
16,2026-08-13T11:51:49Z,p2_prefetchON,bench_cufft,67108864,kept_8,0.32,9E98EF08CBA769C50A24937,0,57330604,57096416,0.13330,6909,921
17,2026-08-13T11:51:49Z,p0_prefetchON,bench_cufft,67108864,kept_9,0.29,9E98EF08CBA769C50A24937,0,57095976,56846612,0.00000,0,0
18,2026-08-13T11:51:50Z,p2_prefetchON,bench_cufft,67108864,kept_9,0.31,9E98EF08CBA769C50A24937,0,56856348,56608516,0.13721,6800,933
19,2026-08-13T11:51:51Z,p0_prefetchON,bench_cufft,67108864,kept_10,0.30,9E98EF08CBA769C50A24937,0,56589012,56361860,0.00000,0,0
20,2026-08-13T11:51:52Z,p2_prefetchON,bench_cufft,67108864,kept_10,0.29,9E98EF08CBA769C50A24937,0,56346184,56108112,0.13467,6854,923
21,2026-08-13T11:51:53Z,p0_prefetchON,bench_cufft,67108864,kept_11,0.30,9E98EF08CBA769C50A24937,0,56116320,55863744,0.00000,0,0
22,2026-08-13T11:51:54Z,p2_prefetchON,bench_cufft,67108864,kept_11,0.30,9E98EF08CBA769C50A24937,0,55875800,55613236,0.14580,6893,1005
23,2026-08-13T11:51:55Z,p0_prefetchON,bench_cufft,67108864,kept_12,0.30,9E98EF08CBA769C50A24937,0,55613676,55313940,0.00000,0,0
24,2026-08-13T11:51:55Z,p2_prefetchON,bench_cufft,67108864,kept_12,0.32,9E98EF08CBA769C50A24937,0,55309952,55050152,0.13338,6590,879
25,2026-08-13T11:51:56Z,p0_prefetchON,bench_cufft,67108864,kept_13,0.29,9E98EF08CBA769C50A24937,0,55097268,54729188,0.00000,0,0
26,2026-08-13T11:51:57Z,p2_prefetchON,bench_cufft,67108864,kept_13,0.30,9E98EF08CBA769C50A24937,0,54864744,54648080,0.14670,6578,965
27,2026-08-13T11:51:58Z,p0_prefetchON,bench_cufft,67108864,kept_14,0.31,9E98EF08CBA769C50A24937,0,54638832,54343224,0.00000,0,0
28,2026-08-13T11:51:59Z,p2_prefetchON,bench_cufft,67108864,kept_14,0.30,9E98EF08CBA769C50A24937,0,54286400,53969560,0.13751,6712,923
29,2026-08-13T11:52:00Z,p0_prefetchON,bench_cufft,67108864,kept_15,0.31,9E98EF08CBA769C50A24937,0,53966272,53765244,0.00000,0,0
30,2026-08-13T11:52:01Z,p2_prefetchON,bench_cufft,67108864,kept_15,0.31,9E98EF08CBA769C50A24937,0,53772824,53481956,0.14292,7018,1003
31,2026-08-13T11:52:01Z,p0_prefetchON,bench_cufft,67108864,kept_16,0.30,9E98EF08CBA769C50A24937,0,53484864,53290228,0.00000,0,0
32,2026-08-13T11:52:02Z,p2_prefetchON,bench_cufft,67108864,kept_16,0.31,9E98EF08CBA769C50A24937,0,53274964,53043484,0.13656,7096,969
33,2026-08-13T11:52:03Z,p0_prefetchON,bench_cufft,67108864,kept_17,0.31,9E98EF08CBA769C50A24937,0,53018004,52786432,0.00000,0,0
34,2026-08-13T11:52:04Z,p2_prefetchON,bench_cufft,67108864,kept_17,0.31,9E98EF08CBA769C50A24937,0,52787616,52549096,0.12403,6990,867
35,2026-08-13T11:52:05Z,C0,bench_cufft,67108864,warmup_1,0.30,9E98EF08CBA769C50A24937,0,52575572,52335908,0.00000,0,0
36,2026-08-13T11:52:06Z,C1,bench_cufft,67108864,warmup_1,0.89,9E98EF08CBA769C50A24937,0,52301076,52050280,0.00000,0,0
37,2026-08-13T11:52:07Z,C0,bench_cufft,67108864,warmup_2,0.28,9E98EF08CBA769C50A24937,0,52038596,51828136,0.00000,0,0
