config,bench,run,wall_s
C0,bench_stencil,1,4.34
C0,bench_stencil,2,4.26
C0,bench_stencil,3,4.23
C0,bench_stencil,4,4.25
C0,bench_stencil,5,4.26
C0,bench_stencil,6,4.26
C0,bench_stencil,7,4.25
C0,bench_stencil,8,4.27
C0,bench_stencil,9,4.28
C0,bench_stencil,10,4.25
C0,bench_stencil,11,4.24
C0,bench_stencil,12,4.27
C0,bench_stencil,13,4.25
C0,bench_stencil,14,4.23
C0,bench_stencil,15,4.25
C0,bench_graph_bfs,1,55.67
C0,bench_graph_bfs,2,55.55
C0,bench_graph_bfs,3,55.48
C0,bench_graph_bfs,4,55.48
C0,bench_graph_bfs,5,55.49
C0,bench_graph_bfs,6,55.46
C0,bench_graph_bfs,7,55.54
C0,bench_graph_bfs,8,55.48
C0,bench_graph_bfs,9,55.41
C0,bench_graph_bfs,10,55.42
C0,bench_graph_bfs,11,55.44
C0,bench_graph_bfs,12,55.58
C0,bench_graph_bfs,13,55.28
C0,bench_graph_bfs,14,61.51
C0,bench_graph_bfs,15,59.78
C1,bench_stencil,1,15.63
C2,bench_stencil,1,17.69
C1,bench_stencil,2,15.41
C2,bench_stencil,2,17.00
C1,bench_stencil,3,15.58
C2,bench_stencil,3,17.63
C1,bench_stencil,4,15.57
C2,bench_stencil,4,17.73
C1,bench_stencil,5,15.28
C2,bench_stencil,5,16.75
C1,bench_stencil,6,15.25
C2,bench_stencil,6,16.80
C1,bench_stencil,7,15.37
C2,bench_stencil,7,16.63
C1,bench_stencil,8,15.33
C2,bench_stencil,8,16.63
C1,bench_stencil,9,15.25
C2,bench_stencil,9,16.40
C1,bench_stencil,10,15.39
C2,bench_stencil,10,16.76
C1,bench_stencil,11,15.23
C2,bench_stencil,11,16.43
C1,bench_stencil,12,15.28
C2,bench_stencil,12,16.50
C1,bench_stencil,13,15.20
C2,bench_stencil,13,17.04
C1,bench_stencil,14,15.17
C2,bench_stencil,14,16.65
C1,bench_stencil,15,15.21
C2,bench_stencil,15,16.48
C1,bench_graph_bfs,1,58.68
C2,bench_graph_bfs,1,58.39
C1,bench_graph_bfs,2,58.53
C2,bench_graph_bfs,2,58.52
C1,bench_graph_bfs,3,59.02
C2,bench_graph_bfs,3,58.43
C1,bench_graph_bfs,4,58.62
C2,bench_graph_bfs,4,58.50
C1,bench_graph_bfs,5,58.67
C2,bench_graph_bfs,5,58.96
C1,bench_graph_bfs,6,58.58
C2,bench_graph_bfs,6,58.41
C1,bench_graph_bfs,7,58.55
C2,bench_graph_bfs,7,58.63
C1,bench_graph_bfs,8,58.96
C2,bench_graph_bfs,8,58.43
C1,bench_graph_bfs,9,58.56
C2,bench_graph_bfs,9,58.33
C1,bench_graph_bfs,10,58.47
C2,bench_graph_bfs,10,58.85
C1,bench_graph_bfs,11,58.55
C2,bench_graph_bfs,11,58.39
C1,bench_graph_bfs,12,58.61
C2,bench_graph_bfs,12,58.56
C1,bench_graph_bfs,13,59.03
C2,bench_graph_bfs,13,58.38
C1,bench_graph_bfs,14,58.55
C2,bench_graph_bfs,14,58.27
C1,bench_graph_bfs,15,58.49
C2,bench_graph_bfs,15,59.07
C3,bench_stencil,1,15.59
C3,bench_stencil,2,15.22
C3,bench_stencil,3,17.30
C3,bench_stencil,4,17.29
C3,bench_stencil,5,17.30
C3,bench_stencil,6,15.68
C3,bench_stencil,7,17.23
C3,bench_stencil,8,15.81
C3,bench_stencil,9,15.22
C3,bench_stencil,10,17.20
C3,bench_stencil,11,15.73
C3,bench_stencil,12,15.14
C3,bench_stencil,13,15.39
C3,bench_stencil,14,15.18
C3,bench_stencil,15,15.48
C3,bench_graph_bfs,1,59.14
C3,bench_graph_bfs,2,58.58
C3,bench_graph_bfs,3,58.53
C3,bench_graph_bfs,4,58.69
C3,bench_graph_bfs,5,59.26
C3,bench_graph_bfs,6,58.64
C3,bench_graph_bfs,7,58.51
C3,bench_graph_bfs,8,58.54
C3,bench_graph_bfs,9,58.68
C3,bench_graph_bfs,10,59.47
C3,bench_graph_bfs,11,58.97
C3,bench_graph_bfs,12,58.64
C3,bench_graph_bfs,13,58.63
C3,bench_graph_bfs,14,58.46
C3,bench_graph_bfs,15,59.24
