batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
6873,2465,1142,611,86384,85542,1853,88086,93917,1,1,1
6874,1773,130,60,14768,14437,952,14979,17904,1,1,1
6875,1643,130,60,23374,23174,811,23585,26239,1,1,1
6876,1653,130,60,11702,11502,792,11902,14548,1,1,1
6877,1573,130,61,10670,10459,771,10871,13415,1,1,1
6878,1754,130,60,12624,12414,772,12834,15550,1,1,1
6879,742,270,91,16671,16361,822,17002,18916,1,1,1
6880,701,241,90,16912,16612,912,17242,19166,1,1,1
6881,752,240,90,14317,13966,852,14638,16562,1,1,1
6882,571,120,61,6592,6392,772,6803,8336,1,1,1
6883,711,241,90,19026,18716,842,19356,21230,1,1,1
6884,701,261,90,16492,16180,932,16832,18806,1,1,1
6885,591,120,70,7895,7434,771,8106,9648,1,1,1
6886,632,120,70,21882,21541,1072,22102,23986,1,1,1
6887,711,241,90,34696,34324,1142,35016,37190,1,1,1
6888,691,261,100,18666,18424,902,19006,20930,1,1,1
6889,1293,130,60,8566,8366,861,8776,11121,1,1,1
6890,692,240,91,18154,17854,852,18495,20349,1,1,1
6891,711,240,90,14457,14147,1083,14788,16902,1,1,1
6892,711,241,90,16672,16431,852,17012,18896,1,1,1
6893,762,240,90,18676,18364,1122,18996,21200,1,1,1
6894,691,241,90,24386,24076,792,24716,26510,1,1,1
6895,711,240,90,33724,33403,1042,34054,36118,1,1,1
6896,712,240,90,17733,17423,851,18064,19948,1,1,1
6897,701,241,80,14678,14368,932,15008,16952,1,1,1
6898,731,240,90,16511,16211,852,16841,18745,1,1,1
6899,702,230,90,19107,18525,851,19437,21310,1,1,1
6900,701,231,90,24316,24076,892,24636,26550,1,1,1
6901,691,260,90,33623,33323,901,33965,35877,1,1,1
6902,701,240,90,24356,24115,841,24697,26550,1,1,1
6903,1874,140,60,12734,12533,801,12935,15810,1,1,1
6904,561,120,70,14497,14257,742,14708,16221,1,1,1
6905,531,120,40,7715,7534,711,7855,9257,1,1,1
6906,521,100,41,8836,8646,772,8977,10410,1,1,1
6907,511,111,40,11772,11672,641,11922,13225,1,1,1
6908,511,110,50,15450,15269,701,15590,16952,1,1,1
6909,551,100,40,21391,21210,711,21531,22953,1,1,1
6910,531,131,50,10239,10139,712,10389,11803,1,1,1
6911,511,110,40,7354,7254,722,7504,8897,1,1,1
6912,510,111,40,9167,9067,772,9297,10740,1,1,1
6913,531,121,40,11502,11401,631,11642,12975,1,1,1
6914,521,111,40,14868,14778,882,15008,16562,1,1,1
6915,511,100,40,21030,20860,712,21170,22553,1,1,1
6916,511,100,40,9819,9719,581,9959,11201,1,1,1
6917,521,121,40,6823,6723,611,6963,8266,1,1,1
6918,521,120,40,8877,8787,621,9017,10329,1,1,1
6919,521,120,40,11031,10931,581,11171,12443,1,1,1
6920,521,120,40,14778,14678,772,14918,16371,1,1,1
6921,531,120,40,20779,20689,751,20920,22372,1,1,1
6922,591,110,40,9899,9798,611,10039,11401,1,1,1
6923,521,120,40,6893,6793,601,7024,8326,1,1,1
6924,521,120,40,9087,8997,641,9228,10560,1,1,1
6925,521,110,40,11111,11011,571,11261,12493,1,1,1
6926,521,120,40,14658,14558,912,14798,16391,1,1,1
6927,521,120,50,20489,20399,742,20629,22072,1,1,1
6928,491,120,40,10059,9648,631,10199,11491,1,1,1
6929,521,130,40,7244,6973,972,7384,9047,1,1,1
6930,491,120,50,9278,8977,711,9418,10800,1,1,1
6931,521,121,50,11121,10961,571,11261,12534,1,1,1
6932,511,101,40,14587,14487,691,14728,16091,1,1,1
6933,511,110,40,20579,20419,641,20719,22031,1,1,1
6934,521,110,40,9388,9288,621,9518,10820,1,1,1
6935,521,100,40,7464,7224,722,7614,9007,1,1,1
6936,491,120,50,9198,9107,651,9358,10670,1,1,1
6937,511,111,40,11341,11251,632,11481,12785,1,1,1
6938,521,121,50,15038,14948,632,15178,16512,1,1,1
6939,521,101,50,20679,20599,641,20819,22142,1,1,1
6940,561,110,60,12564,12414,832,12764,14347,1,1,1
6941,571,110,70,9578,9428,722,9868,11352,1,1,1
6942,641,110,70,11853,11713,851,12063,13745,1,1,1
6943,572,100,70,14227,14087,832,14437,16031,1,1,1
6944,641,110,70,19166,19036,682,19356,20870,1,1,1
6945,521,110,50,20729,20629,731,20870,22272,1,1,1
6946,531,120,50,20950,20850,631,21100,22422,1,1,1
