batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
0,30608,32632,491,104628,101732,12303,106281,182174,214,1,1
1,6462,902,60,22533,22272,1633,22813,31900,10,1,1
2,8075,5581,60,21180,20559,13486,21450,48662,45,1,1
3,8155,7344,60,27312,26490,10530,27602,53701,62,1,1
4,3717,2765,60,24877,24446,1132,25118,32802,28,1,1
5,18335,17693,61,34735,33042,16752,35106,87946,134,1,2
6,3036,1703,60,28664,28334,11872,28895,45596,19,1,1
7,8316,11682,70,19477,18746,1804,19757,41629,56,1,1
8,28685,8055,351,43552,42500,1583,44524,83067,61,1,1
9,5821,5049,60,35457,34826,2525,35808,49273,44,1,1
10,4959,3938,60,18445,17874,2204,18695,29866,40,1,1
11,11933,12072,60,29596,28414,3857,29917,57849,97,1,1
12,4598,3447,60,24947,24437,1032,25198,34335,35,1,1
13,24968,34956,60,39335,36407,16591,39825,116410,247,1,2
14,3887,2645,60,29385,28975,15699,29626,51948,26,1,1
15,4860,2524,70,16391,15970,2665,16642,26761,26,1,1
16,8265,7014,60,17453,16672,1303,17733,34395,60,1,1
17,4638,3747,60,17082,16551,2806,17333,28594,37,1,1
18,12022,7605,50,17303,16511,1342,17553,38592,75,1,1
19,8566,5661,50,22232,21560,4769,22473,41519,62,1,1
20,19817,27402,50,29385,27141,1532,29776,78588,232,1,1
21,7314,2755,50,25067,24646,24466,25268,59863,34,1,1
22,6212,4439,60,25087,24536,20057,25328,56096,50,1,1
23,6773,4268,50,14307,13746,1984,14527,27602,49,1,1
24,8846,6904,50,16241,15489,1643,16491,33944,70,1,1
25,7995,6322,60,20388,19647,1974,20639,36990,70,1,1
26,7754,6813,50,21951,21210,3848,22192,40667,70,1,1
27,3336,2224,60,20108,19757,801,20318,26740,29,1,1
28,21671,24406,50,31128,29025,24847,31510,102494,213,1,2
29,7134,1663,60,23785,23495,20108,23985,52960,21,1,1
30,1503,341,50,13626,13466,2555,13806,18255,6,1,1
31,8737,8075,50,19207,18365,1563,19467,37902,80,1,1
32,8626,7314,50,21932,21090,1713,22182,39895,79,1,1
33,5781,4449,50,19848,19267,3366,20078,33734,52,1,1
34,3237,1993,50,19677,19326,741,19888,25919,27,1,1
35,16742,16411,50,29666,28103,25018,29986,88217,153,1,2
36,3286,1062,60,23575,23314,18926,23775,47099,17,1,1
37,1634,220,50,11562,11422,2084,11752,15730,4,1,1
38,6943,5300,50,14598,13937,1273,14838,28414,60,1,1
39,8796,7274,50,17894,17053,1684,18144,35958,79,1,1
40,17222,20499,60,25678,23915,1193,26029,65003,181,1,1
41,8466,7524,60,26710,25859,2305,26971,45326,82,1,1
42,7835,4339,50,25879,25318,21601,26109,59944,50,1,1
43,6552,3697,51,24285,23785,13665,24497,48471,43,1,1
44,1293,170,60,10059,9939,2405,10239,14167,3,1,1
45,7935,6703,50,13255,12474,1183,13495,29376,73,1,1
46,3617,2735,50,14878,14447,3607,15088,25097,35,1,1
47,8265,7394,51,26069,25237,4238,26310,46267,79,1,1
48,8265,7635,50,25098,24266,1583,25358,42901,81,1,1
49,8006,4618,60,25478,24907,22002,25719,60405,52,1,1
50,3467,1783,50,23644,23304,13745,23855,42911,26,1,1
51,6322,4719,50,15169,14568,1854,15389,28344,53,1,1
52,7885,5971,50,18435,17744,2114,18685,34715,66,1,1
53,7725,6272,60,23104,22352,4498,23354,41899,71,1,1
54,8055,7013,50,24206,23374,2374,24457,41959,79,1,1
55,7835,3386,50,24677,24195,19066,24897,55244,41,1,1
56,5340,3566,50,24847,24346,11482,25058,45506,43,1,1
57,1694,320,50,10170,10009,3827,10360,16261,6,1,1
58,8216,3757,50,9037,8526,1072,9267,22362,44,1,1
59,4348,2104,50,21250,20849,1463,21450,29405,26,1,2
60,9658,10750,51,25187,24095,1223,25478,47169,108,1,1
61,8936,7985,50,27011,26119,1122,27291,45395,86,1,1
62,7194,2405,50,24115,23745,12163,24316,46138,29,1,1
63,3888,1142,50,23354,23084,8055,23555,36700,18,1,1
64,4269,2073,50,13024,12674,1232,13225,20860,27,1,1
65,8135,5330,50,12384,11723,1202,12624,27351,61,1,1
66,7414,6683,50,24767,23995,5440,25017,44614,72,1,1
67,8757,6372,50,26821,26069,5781,27061,48031,71,1,1
68,6953,2405,60,23955,23575,6432,24175,40025,31,1,1
69,6883,2795,50,24767,24346,2826,24987,37551,34,1,1
70,6592,1893,50,11101,10761,1262,11301,21110,25,1,1
71,4639,1864,60,22733,22342,1723,22943,31229,27,1,2
72,5751,2144,50,15920,15540,1472,16130,25558,30,1,1
73,8055,7654,50,17293,16441,6692,17543,39995,81,1,1
74,2705,832,50,39084,38824,3016,39274,45887,13,1,2
75,6241,4028,50,24927,24387,9528,25148,44995,47,1,1
76,4519,1543,50,12935,12624,1302,13135,20559,22,1,1
77,7023,4639,60,14898,14307,1433,15138,28293,54,1,1
78,9198,8215,51,22071,21170,1433,22322,41228,86,1,1
79,8376,6793,50,22362,21571,3447,22612,41288,74,1,1
80,3507,2474,50,19947,19567,691,20159,26891,30,1,1
81,21340,29987,50,8807,6412,12684,9227,73288,249,1,1
82,5841,4438,50,26229,25678,10971,26460,47770,49,1,1
83,6372,3798,50,25919,25378,8476,26139,44845,47,1,1
84,8727,8376,50,22533,21611,1222,22793,41178,89,1,1
85,8145,6763,50,21280,20499,2394,21521,38893,74,1,1
86,8045,5821,50,20910,20199,3897,21160,38973,66,1,1
87,5731,4458,50,22863,22272,4388,23084,37721,53,1,1
88,2535,651,50,22863,22663,21220,23054,47520,11,1,1
89,3266,1814,60,24626,24316,19416,24837,49383,24,1,1
90,5791,4047,51,19677,19136,1904,19908,31710,48,1,1
91,7625,6222,60,21430,20679,3617,21691,39205,71,1,1
92,8065,5640,50,21220,20529,3597,21451,38813,64,1,1
93,3707,2615,50,20459,20048,5020,20659,32061,33,1,1
94,2705,861,50,23425,23203,23855,23615,51097,13,1,1
95,7925,5371,50,24857,24226,19557,25097,58010,58,1,1
96,922,140,50,13436,13305,691,13616,15429,2,1,1
97,11632,9748,50,18825,17834,1443,19086,41959,96,1,1
98,9147,7655,50,20088,19217,1283,20328,38473,82,1,1
99,8386,7213,60,21490,20679,3376,21751,40787,78,1,1
