batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
7328,38733,59322,561,94228,90671,36529,96452,231588,175,1,1
7329,17854,15750,80,29366,27492,25979,29836,89509,87,1,1
7330,9317,742,80,16020,15770,1693,16310,28153,7,1,1
7331,4528,2906,80,18245,17634,33503,18565,59592,22,1,1
7332,31369,44875,80,34846,30758,24867,35447,136648,233,1,1
7333,9207,5260,40,26230,25449,1743,26410,42680,68,1,2
7334,6994,5841,40,17784,17173,1663,17984,32532,76,1,1
7335,5861,3847,40,22182,21651,19597,22362,51717,56,1,1
7336,5670,3998,40,20459,19978,20078,20639,50435,56,1,1
7337,3447,1763,41,11742,11391,2204,11903,19357,28,1,1
7338,6533,5470,40,10410,9819,1142,10600,23795,72,1,1
7339,3427,2054,40,19286,18936,3155,19447,28133,33,1,2
7340,7594,5941,41,9898,9237,2345,10089,26019,81,1,1
7341,4459,3216,40,24606,24145,3878,24786,36369,49,1,2
7342,6012,5390,40,17113,16512,2885,17303,31650,73,1,1
7343,6622,4569,40,20770,20239,18795,20960,50976,64,1,1
7344,5321,3186,40,19647,19216,21000,19807,49374,48,1,1
7345,6673,4067,40,12503,12013,1272,12683,24737,58,1,1
7346,5731,3607,40,8737,8296,1142,8907,19437,51,1,1
7347,3146,2134,40,20910,20538,3076,21080,29486,36,1,2
7348,6863,5220,40,13767,13184,1132,13957,27232,72,1,1
7349,6533,4438,40,16121,15580,3787,16311,31109,66,1,1
7350,6662,5501,40,16631,16000,3687,16822,32722,77,1,1
7351,4939,3256,40,20379,19947,19587,20549,48381,48,1,1
7352,2595,1673,40,18866,18586,14127,19026,37471,28,1,1
7353,1162,220,40,10089,9979,631,10230,12283,4,1,1
7354,10590,11151,40,25058,23966,4619,25298,51708,138,1,2
7355,3136,2054,40,12163,11823,3687,12323,21250,35,1,1
7356,6692,5711,40,16101,15469,4408,16301,33152,80,1,1
7357,2885,1664,40,13906,13626,3216,14066,21871,29,1,1
7358,6773,4519,40,19487,18976,15800,19667,46809,61,1,1
7359,2965,1603,40,18865,18605,11752,19025,35407,27,1,1
7360,791,111,40,7684,7604,582,7854,9378,1,1,1
7361,8706,5130,40,7234,6653,1042,7424,22352,71,1,1
7362,4559,3857,40,20479,19947,4339,20659,33454,58,1,2
7363,6202,4849,40,15630,15059,2485,15820,29406,71,1,1
7364,6803,4188,40,14277,13766,4008,14457,29516,60,1,1
7365,6502,4269,40,13816,13295,2184,13996,27001,63,1,1
7366,6152,3486,40,19276,18835,9939,19456,39074,52,1,1
7367,2916,1372,40,18034,17793,6242,18195,28785,24,1,1
7368,3266,671,40,8056,7894,1062,8206,13255,13,1,1
7369,6231,4759,40,13505,12924,4519,13695,29265,71,1,1
7370,4598,932,40,9428,9238,1664,9578,16822,17,1,1
7371,6503,5590,40,11713,11091,2104,11913,26150,78,1,1
7372,4428,1322,40,21019,20749,1683,21180,28664,23,1,2
7373,6753,5631,40,17533,16902,1213,17733,31370,78,1,1
7374,6502,3156,41,20829,20418,23705,21010,54423,48,1,1
7375,5070,2865,40,19457,19046,18656,19627,46278,47,1,1
7376,972,160,40,7724,7624,561,7855,9598,3,1,1
7377,11973,10690,40,11803,10811,1192,12043,35948,130,1,1
7378,6432,4859,40,24016,23374,3066,24206,38603,73,1,2
7379,3026,1683,40,8536,8266,3376,8696,16812,27,1,1
7380,3326,2405,40,23695,23315,3206,23855,32842,38,1,2
7381,8236,7584,40,18746,17934,1663,18956,36489,102,1,1
7382,6161,4319,40,20619,20108,19367,20809,50706,62,1,1
7383,2574,1523,41,19827,19557,17613,19988,41738,26,1,1
7384,8285,10019,41,11321,10320,2505,11562,32401,126,1,2
