batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
6092,2582,1277,671,101954,100844,1962,103426,109808,1,1,1
6093,1116,198,103,26384,26098,1164,26713,29281,1,1,1
6094,1097,198,89,37583,37282,987,37874,40247,1,1,1
6095,1055,197,96,22465,22210,1051,22759,25153,1,1,1
6096,1040,197,97,21723,21452,1002,22018,24346,1,1,1
6097,1041,198,97,13026,12776,1027,13310,15661,1,1,1
6098,1079,203,254,22920,22653,1108,23384,25886,1,1,1
6099,1111,196,291,29130,28773,1150,29640,32209,1,1,1
6100,1088,209,120,20196,19920,1183,20520,23100,1,1,1
6101,1121,193,97,8062,7882,1074,8324,10794,1,1,1
6102,1219,211,148,28555,28364,1089,28896,31507,1,1,1
6103,1211,218,154,30315,30052,1111,30689,33325,1,1,1
6104,1128,196,97,10254,10007,979,10523,12914,1,1,1
6105,1069,333,113,39026,38765,1059,39351,41904,1,1,1
6106,1436,232,327,81386,80972,1146,82080,84995,1,1,1
6107,1069,214,148,34437,34146,1086,34798,37263,1,1,1
6108,1140,193,89,15178,14924,1374,15445,18238,1,1,1
6109,1064,301,186,28264,28001,1084,28647,31192,1,1,1
6110,1064,213,124,19981,19726,1099,20311,22776,1,1,1
6111,1070,208,122,25046,24850,1028,25376,27772,1,1,1
6112,1065,209,122,26314,26053,1040,26638,29040,1,1,1
6113,1066,209,148,51741,51444,1124,52228,54719,1,1,1
6114,1072,210,129,60740,60471,1087,61087,63550,1,1,1
6115,1272,212,152,26629,26365,1072,26995,29646,1,1,1
6116,1142,214,135,19829,19569,1085,20167,22696,1,1,1
6117,1067,209,97,25584,25327,1248,25883,28495,1,1,1
6118,1065,209,120,27347,27080,1083,27668,30116,1,1,1
6119,1114,212,149,43452,43141,1068,43820,46306,1,1,1
6120,1168,208,131,60461,60206,1073,60804,63349,1,1,1
6121,1067,211,127,39272,39016,1110,39622,42101,1,1,1
6122,1168,195,93,24486,24227,996,24756,27201,1,1,1
6123,1068,209,150,25488,25221,1034,25828,28234,1,1,1
6124,739,209,107,19356,19092,1036,19675,21757,1,1,1
6125,1496,207,120,25504,25252,1045,25824,28663,1,1,1
6126,741,211,103,25079,24816,1109,25386,27534,1,1,1
6127,1062,215,98,37213,36955,1033,37514,39922,1,1,1
6128,1057,218,120,58330,58066,1030,58654,61051,1,1,1
6129,1066,211,128,23989,23739,1024,24319,26713,1,1,1
6130,1064,212,174,20251,19970,1033,20641,23048,1,1,1
6131,1063,215,123,24854,24662,1043,25183,27595,1,1,1
6132,1873,1108,870,58311,57627,2079,59969,65304,1,1,1
6133,1696,664,497,98205,97449,1810,99252,103866,1,1,1
6134,1421,551,555,74456,73969,1369,75430,78914,1,1,1
6135,1214,269,284,37489,37139,1247,38043,40887,1,1,1
6136,1084,211,170,22512,22195,1072,22958,25420,1,1,1
