run_order,build,trial,time_ms,mem_avail_before_kb,mem_avail_after_kb
1,DECOMP0,1,368.64,60519768,60269888
2,DECOMP1,1,375.33,60269296,60017256
3,DECOMP0,2,368.27,60004560,59746260
4,DECOMP1,2,369.50,59750748,59494156
5,DECOMP0,3,368.50,59492504,59235856
6,DECOMP1,3,369.84,59227176,58982780
7,DECOMP0,4,369.96,58980224,58743856
8,DECOMP1,4,367.53,58738056,58487684
9,DECOMP0,5,369.34,58487724,58243000
10,DECOMP1,5,370.04,58224560,57976008
11,DECOMP0,6,368.53,57973992,57720148
12,DECOMP1,6,369.63,57725100,57469648
13,DECOMP0,7,368.34,57414116,57163560
14,DECOMP1,7,367.97,57152104,56892776
15,DECOMP0,8,367.62,56886920,56651908
16,DECOMP1,8,373.93,56600140,56411788
17,DECOMP0,9,367.70,56413296,56159688
18,DECOMP1,9,369.96,56155896,55928456
19,DECOMP0,10,368.74,55931480,55695204
20,DECOMP1,10,368.41,55694100,55456696
