batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
0,45122,35719,597,118114,113132,15811,120461,217501,153,1,1
1,41711,49478,174,146980,142029,6812,148182,246312,215,1,1
2,5703,260,94,40076,39874,1904,40380,48349,1,1,1
3,6481,5138,94,44967,44120,2860,45385,59953,32,1,1
4,9789,422,108,79042,78768,1805,79429,91576,3,1,1
5,15998,15926,104,70820,68968,5858,71451,109332,81,1,1
6,21455,20932,101,53053,50868,1933,53760,98181,103,1,1
7,9462,6940,136,44765,43626,1852,45274,63626,41,1,1
8,21701,21834,104,58872,56770,1811,59576,105024,105,1,1
9,26408,12454,153,53891,52482,2830,54500,96291,66,1,1
10,41430,37946,105,77875,74513,10858,78817,169154,169,1,1
11,17111,12402,97,63407,61946,12319,63950,105874,66,1,1
12,15172,12955,110,47380,45890,1773,47984,77985,69,1,1
13,10257,9728,95,43855,42638,1770,44363,66219,55,1,1
14,1419,280,139,39247,38984,1431,39616,42845,2,1,1
15,24389,25070,96,55333,52817,1864,56067,107485,119,1,2
16,41600,33566,110,74666,71699,23501,75537,174305,151,1,1
17,13334,8446,95,61153,60115,16212,61621,99707,47,1,1
18,22276,20587,107,48563,46543,1716,49233,93913,99,1,1
19,9471,7235,136,44473,43503,1750,44982,63533,43,1,1
20,16162,15049,106,52843,51208,1810,53444,86567,78,1,1
21,9861,7572,105,48300,47291,2026,48775,68317,45,1,1
22,41817,32638,108,77350,74426,26093,78208,178864,149,1,1
23,15984,10344,111,60924,59748,15813,61448,103694,54,1,1
24,13939,11432,131,45025,43678,1832,45610,72920,61,1,1
25,6046,4688,99,38863,38076,1867,39280,51973,30,1,1
26,1810,523,95,40100,39817,1065,40417,43909,4,1,1
27,25092,25596,105,53279,50693,2353,54039,107173,124,1,2
28,50526,33814,127,75112,72067,27168,76027,187819,155,1,1
29,13770,8091,100,73525,72468,16208,74057,112228,47,1,1
30,13199,13033,105,43933,42454,1808,44520,72662,69,1,1
31,12117,11100,101,35287,33983,1823,35818,60953,61,1,1
32,12616,11455,130,72717,71213,1872,73287,99332,62,1,2
33,9530,8611,109,44890,43810,1729,45380,65339,49,1,1
34,41086,32174,108,72707,69868,23348,73547,170257,144,1,1
35,15127,5995,139,59709,58858,14998,60207,96424,35,1,1
36,13253,11320,104,35086,33705,1869,35635,62180,62,1,1
37,12409,9155,109,34169,32922,1787,34686,58134,52,1,1
38,1938,640,96,27241,26964,1074,27564,31307,5,1,1
39,37184,38434,105,55975,52536,1963,56920,134594,178,1,1
40,14975,16046,100,57059,55363,2789,57671,91570,83,1,1
41,42237,25841,180,70280,67863,21420,71121,160720,121,1,1
42,13257,8742,95,61328,60221,13882,61812,97785,48,1,1
43,15051,11942,108,36239,34731,1762,36798,65652,63,1,1
44,8437,6492,99,33500,32535,1865,33947,50837,38,1,1
45,17409,15845,109,57763,56072,1730,58396,93484,82,1,1
46,12821,26023,180,57162,55458,2049,57830,98815,70,1,1
47,41150,33604,110,70683,67801,15000,71559,161415,149,1,1
48,17505,8889,105,60764,59728,9110,61255,96862,47,1,1
49,18204,10150,158,37280,36060,1821,37873,68148,54,1,1
50,7062,4784,109,35886,35147,1857,36307,50105,30,1,1
51,4382,197,94,24516,24306,1741,24809,31220,1,1,1
52,13866,10908,107,66528,65244,2993,67147,95015,60,1,1
53,16550,18955,107,59677,57748,4716,60318,100629,92,1,1
54,41753,28380,127,67238,64766,10398,68028,148660,124,1,1
55,15174,8633,104,60973,59902,5987,61455,91343,47,1,1
56,7446,4557,108,31576,30850,13001,32008,57112,28,1,1
57,7990,3404,140,25349,24685,1679,25781,38951,22,1,1
58,2442,743,100,45327,44845,1043,45655,49968,6,1,2
59,20566,16816,109,45636,43747,1810,46257,85542,86,1,2
60,16207,13871,98,38229,36700,7798,38789,76758,71,1,1
61,4673,606,94,45057,44766,1832,45375,52584,5,1,1
62,35236,10579,105,62501,61323,1760,63041,110723,53,1,1
63,14441,4026,107,57267,56585,2053,57683,78296,26,1,1
64,4137,201,131,25313,25115,1819,25672,31926,1,1,1
65,4639,194,96,22147,21963,1817,22432,29176,1,1,1
66,14173,13136,121,43067,41617,3188,43647,74235,68,1,1
67,4160,343,100,36446,36209,1834,36771,43198,3,1,1
68,15786,15545,105,51418,49612,7982,52014,91426,78,1,1
69,1290,195,95,35672,35476,1062,35976,38612,1,1,1
70,9791,329,99,56970,56646,1790,57278,69285,2,1,2
71,40683,52591,174,81486,77616,4623,83217,181218,190,1,1
72,4292,202,102,23795,23580,2302,24124,31018,1,1,1
73,20700,21241,108,48409,46267,2636,49097,93766,105,1,1
74,12354,13397,122,50439,48897,2609,51026,79477,72,1,1
75,17361,15019,108,54306,52674,1915,54910,89308,78,1,1
76,12618,15093,147,62746,61212,1705,63636,93161,68,1,1
77,52659,34401,152,77654,74466,14280,78598,180039,158,1,1
78,14222,10756,101,63702,62409,11174,64232,100478,60,1,1
79,17547,15157,106,47386,45754,1783,47987,82573,77,1,1
80,8543,6485,100,40714,39799,1843,41161,58124,39,1,1
81,18766,18259,109,56689,54791,1875,57342,96346,91,1,1
82,13396,13300,146,53587,52091,1860,54200,82850,71,1,1
83,41199,33554,113,75150,72133,18435,76042,169332,154,1,1
84,16024,8122,102,60560,59593,15028,61044,100310,43,1,1
85,18204,15930,111,46802,45134,1880,47431,83548,80,1,1
86,9819,9040,100,41989,40871,1777,42492,63223,51,1,1
87,2779,791,136,40574,40261,4775,40949,49394,7,1,1
88,10225,9777,102,48934,47753,1836,49435,71371,54,1,1
89,41350,31097,110,73717,70895,27006,74562,174116,144,1,1
