batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
0,53443,33513,800,108550,104540,14762,110965,213199,146,1,1
1,16517,27920,138,128749,126682,11051,129386,184967,73,1,1
2,5385,204,100,37453,37205,1892,37776,45338,1,1,1
3,5479,4071,92,43985,43314,2894,44382,56904,26,1,1
4,11950,999,139,59453,59025,2068,59834,74958,7,1,1
5,12489,8454,93,62463,61231,10080,62902,94004,46,1,1
6,20045,19214,160,52713,50365,1929,53398,94699,98,1,1
7,10661,9863,155,43144,41489,2154,43703,66468,54,1,1
8,17981,18477,160,58488,56624,1852,59157,97565,93,1,1
9,12649,13587,117,52708,51235,2293,53257,81866,73,1,1
10,40543,34772,145,75318,72309,11683,76166,163432,158,1,1
11,14907,9647,124,61025,59890,12247,61525,98417,54,1,1
12,16071,15820,195,48522,46845,1846,49198,83039,82,1,1
13,10880,9639,130,42417,40839,1791,42926,65331,55,1,1
14,14860,12831,144,52893,51475,2363,53486,83640,69,1,1
15,11960,11584,114,48972,47642,1894,49509,75040,65,1,1
16,40362,35788,128,77343,74264,22078,78247,176752,163,1,1
17,13200,7226,128,60754,59816,15469,61219,97203,42,1,1
18,17350,14860,132,46939,45349,1791,47536,81636,78,1,1
19,8198,5895,99,40592,39726,1895,41017,57089,37,1,1
20,1615,343,92,38235,37977,981,38531,41561,3,1,1
21,25489,26464,118,54194,51563,1852,54922,108828,130,1,2
22,40170,34665,132,83720,80663,22406,84620,181962,160,1,1
23,12796,7989,93,58798,57813,15588,59249,95702,45,1,1
24,15044,13140,153,45399,43939,1780,46015,76074,71,1,1
25,7510,5499,90,37529,36741,1781,37954,52828,34,1,1
26,14278,11891,138,49516,48170,1698,50081,78039,65,1,1
27,9949,8268,114,44542,43489,1663,45017,64974,49,1,1
28,40338,35862,153,74169,71041,24088,75073,175453,165,1,1
29,12834,7394,95,58166,57226,15167,58592,94063,43,1,1
30,13961,13019,148,43485,42018,1779,44084,72939,71,1,1
31,11401,10097,92,35577,34363,1783,36056,59424,57,1,1
32,4464,3047,89,43687,43120,4109,44054,55755,21,1,1
33,5870,1374,92,40062,39681,1828,40421,49573,11,1,1
34,12373,12811,114,46872,45448,1697,47428,74387,69,1,1
35,40750,31318,149,72823,69993,22342,73646,168155,144,1,1
36,14382,6982,90,57558,56562,14614,57974,94033,41,1,1
37,14099,11587,152,35030,33628,1779,35614,63175,64,1,1
