batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
6565,60198,55582,1081,152464,145486,36159,156200,309148,179,1,1
6566,8040,285,147,44746,44453,2389,45226,56277,1,1,1
6567,29557,24561,142,67274,63986,18143,68434,141019,92,1,1
6568,28514,19756,152,61174,58706,8435,62307,119339,75,1,1
6569,13836,12954,150,69971,68303,2192,70810,100458,54,1,1
6570,24412,273,166,66849,66522,2306,67324,94623,1,1,1
6571,10992,10022,135,90929,89599,2211,91732,115282,42,1,1
6572,58146,70530,143,153420,147261,35098,155638,319791,228,1,1
6573,25762,26931,147,133379,130589,18803,134599,206418,99,1,1
6574,22075,17734,157,58547,56493,2362,59621,102090,70,1,1
6575,21274,18468,152,53665,51600,2281,54721,97043,72,1,1
6576,14024,10579,154,40910,39466,2113,41697,68732,45,1,1
6577,18199,18533,153,50239,48094,2138,51262,90435,74,1,1
6578,19800,18525,144,67594,65403,2103,68619,109345,75,1,1
6579,12889,10475,147,56169,54663,2042,56983,82730,46,1,1
6580,21064,16992,156,90421,88444,3296,91421,133087,67,1,1
6581,29871,30792,153,106115,102923,5868,107460,174301,113,1,1
6582,59146,50303,154,134329,129698,35150,136092,280982,166,1,1
6583,27463,21056,161,112981,110746,18413,114181,181403,81,1,1
6584,21047,15389,151,58361,56471,2244,59357,98343,61,1,1
6585,8944,5670,147,51748,50693,2200,52394,69515,28,1,1
6586,22032,29995,131,65789,63429,2756,66717,121801,81,1,1
6587,9679,7878,143,56002,54796,2213,56763,76826,36,1,1
6588,20164,18662,142,88561,86391,2164,89563,130850,74,1,1
6589,27764,27986,155,88902,86034,2213,90141,148398,102,1,1
6590,59025,48393,155,130619,125996,33950,132353,274016,163,1,1
6591,26584,30809,160,115802,113594,18505,116863,193071,75,1,1
6592,19535,13928,152,56073,54328,2244,57031,93035,58,1,1
6593,13719,9889,153,50605,49262,2106,51415,77436,43,1,1
6594,28274,23506,157,72674,70111,2149,73797,128011,87,1,1
6595,30336,33791,147,77399,74131,2201,78786,145439,120,1,1
6596,16479,10789,149,81285,79823,3237,82083,112891,46,1,1
6597,36258,24695,163,84853,82326,2194,86103,149523,92,1,1
6598,58279,60920,128,131355,125965,25730,133309,278524,196,1,1
6599,26407,22364,151,115640,113198,12946,116710,178725,83,1,1
6600,16750,12891,145,43783,42190,2221,44642,76821,54,1,1
6601,7234,3391,138,72525,71552,2288,73098,86303,18,1,2
6602,20462,16427,155,67871,65918,2890,68850,108938,65,1,1
6603,29040,29219,150,62256,59290,8301,63560,130429,108,1,1
6604,14241,9484,140,74944,73610,2246,75737,102013,41,1,1
6605,31794,35104,147,106476,103012,2136,107920,177309,127,1,1
6606,59565,42869,148,121512,117777,15172,123060,240967,142,1,1
6607,24956,19320,148,112282,110194,4807,113416,162805,75,1,1
6608,5473,274,149,31505,31200,2139,31937,40128,1,1,1
6609,5772,238,151,29221,28941,2092,29659,38052,1,1,1
6610,24972,24871,143,77390,74727,2221,78544,130901,93,1,1
6611,27350,30334,153,61956,58766,5565,63277,126864,113,1,1
6612,6037,351,144,103759,103261,2213,104204,113122,2,1,2
6613,5925,3309,139,77841,77245,2824,78424,90758,18,1,1
6614,42177,31548,105,72756,69907,28480,73607,175899,140,1,1
6615,15516,13317,108,72640,71123,15926,73226,118094,70,1,1
6616,17856,18072,119,44103,42220,1898,44763,82684,91,1,1
6617,9851,7458,99,33094,32035,1948,33572,52921,44,1,1
6618,14102,12867,182,40975,39550,3401,41606,72072,68,1,1
6619,8587,6521,150,36645,35708,1845,37142,54194,38,1,1
6620,10386,8082,99,49681,48619,3044,50154,71754,47,1,1
6621,20885,19540,141,56051,53978,4408,56767,101701,100,1,1
6622,40601,49356,168,78770,74646,28374,79916,198516,215,1,1
6623,16320,14864,108,62957,61381,15936,63557,110766,74,1,1
6624,22467,12309,153,39727,38477,1905,40322,77125,57,1,1
6625,9077,7678,107,37831,36812,1876,38312,57037,44,1,1
6626,9068,5575,105,32382,31557,2795,32818,50349,34,1,1
6627,11296,7487,134,45416,44424,2180,46002,67089,36,1,1
6628,16331,15180,119,52040,50409,2427,52667,86701,76,1,1
6629,17741,19508,99,51725,49716,2540,52380,92265,99,1,1
6630,40595,47190,111,77635,73607,28853,78701,195431,208,1,1
6631,16556,11650,134,64684,63357,15430,65274,109014,62,1,1
6632,14982,13670,111,39974,38430,1878,40547,71169,73,1,1
6633,10076,7761,105,36667,35690,1798,37135,56861,43,1,1
6634,5389,646,93,26710,26429,1809,27026,34963,5,1,1
6635,13475,13833,105,37564,36020,2055,38140,67595,72,1,1
6636,9362,8573,101,37449,36339,1733,37938,57696,50,1,1
6637,12118,11245,101,44493,43222,2989,45013,71460,60,1,1
6638,16401,16315,107,46202,44469,3672,46823,83305,85,1,1
6639,41503,38246,195,72227,68995,22448,73225,175531,165,1,1
6640,15134,12529,100,62648,61250,12185,63188,103130,65,1,1
6641,14712,11103,142,35761,34452,1806,36340,64068,60,1,1
6642,10513,6083,96,28093,27231,1878,28542,47108,37,1,1
6643,11997,11894,107,57966,56480,1742,58514,84241,63,1,2
6644,17103,19475,108,42536,40561,1911,43213,81795,97,1,1
6645,21654,9108,173,43050,41938,1767,43638,76270,51,1,1
6646,14131,7215,101,40510,39501,1708,40971,64118,43,1,1
6647,42254,26717,104,65759,63416,8702,66491,144258,117,1,1
6648,20309,15353,107,61585,60038,4284,62175,102215,75,1,1
6649,9039,5031,100,25718,24954,1805,26152,42121,31,1,1
6650,4456,190,98,21697,21478,1666,22000,28401,1,1,1
6651,13586,12985,94,42553,41087,3574,43106,73339,70,1,1
6652,12280,11184,180,39955,38649,13069,40567,77201,61,1,1
6653,4497,192,93,36549,36357,1755,36848,43378,1,1,1
6654,4509,190,94,35603,35403,1692,35893,42375,1,1,1
6655,10710,870,102,56920,56629,1962,57265,70901,6,1,1
6656,6118,4042,98,59205,58513,16545,59602,86398,25,1,1
6657,23845,21689,120,43655,41442,1735,44380,91748,105,1,1
6658,18464,8416,134,36986,35699,1968,37523,66473,49,1,1
6659,23885,21917,145,60477,58456,1783,61453,109209,91,1,1
6660,10872,10165,103,37814,36531,1899,38328,61369,57,1,1
6661,11966,10027,102,48077,46857,3361,48590,74037,55,1,1
6662,18642,19333,103,53337,51358,4978,53994,97042,97,1,1
6663,41365,42638,111,79167,75502,28182,80157,192435,188,1,1
6664,15187,12373,104,76005,74599,16117,76594,120376,65,1,1
6665,17750,19041,119,41797,39833,1811,42482,81186,94,1,1
6666,9288,7079,102,33293,32331,1498,33764,51727,42,1,1
6667,13067,17737,122,40690,39298,2250,41276,74423,64,1,1
6668,10348,8991,101,35306,34150,1579,35802,56804,52,1,1
6669,14382,10844,107,51624,50360,1740,52143,79206,59,1,1
6670,13956,11899,99,49251,47847,4437,49805,80189,65,1,1
6671,3322,1303,97,72386,72018,989,72773,78476,10,1,1
6672,41251,44328,142,14368,10619,44313,15428,145409,194,1,1
6673,21403,15641,98,101081,99315,14678,101767,153596,81,1,1
6674,14482,14415,123,42094,40416,1908,42736,73635,74,1,1
6675,11694,12189,108,39203,37801,1847,39747,65571,65,1,1
6676,12023,10464,105,36700,35455,1801,37230,61609,58,1,1
6677,9257,8045,99,38850,37789,1815,39324,58536,47,1,1
6678,10095,21533,222,50230,48944,3466,51337,86539,51,1,1
6679,18847,23801,164,69314,67094,2776,70470,116060,99,1,1
6680,57433,55308,285,112161,107005,26358,113883,253312,202,1,1
6681,24573,22881,168,116462,114370,15132,117588,180491,88,1,1
6682,17292,28580,204,60139,58304,2370,61132,109704,59,1,1
6683,12341,10138,154,42413,40927,2297,43197,68277,44,1,1
6684,6233,255,149,26114,25814,2252,26551,35590,1,1,1
6685,15196,11151,159,61915,60435,2219,62738,91606,48,1,1
6686,26153,25498,165,71880,69320,4486,73058,129489,93,1,1
6687,16740,12884,157,79988,78289,2193,80890,113016,54,1,1
6688,21171,20254,151,77878,75794,2139,78921,122793,78,1,1
6689,52645,41527,261,96299,92700,12055,97514,204116,163,1,1
6690,14206,11349,115,98198,96794,7110,98771,131548,60,1,1
6691,16915,6075,126,33699,32824,1922,34184,59208,33,1,1
6692,4889,1220,185,53068,52619,2009,53529,61786,8,1,1
6693,14867,14158,120,52793,50947,2504,53408,85034,73,1,1
6694,12445,11465,100,31407,30027,13087,31938,69031,61,1,1
6695,5880,372,91,24891,24614,1824,25201,33366,3,1,1
6696,8859,5959,153,57981,56782,2343,58613,75928,31,1,1
6697,5707,1409,154,41360,40983,1843,41782,50841,10,1,1
6698,18494,3182,163,64452,63864,1949,64992,88894,16,1,1
6699,4793,195,94,54965,54742,1805,55265,62145,1,1,1
6700,42161,40337,99,51218,47520,28517,52174,163295,178,1,1
6701,9405,8442,105,29510,28459,16982,30010,64930,46,1,1
6702,24206,17504,102,33648,31685,8944,34271,85019,87,1,1
6703,17349,32608,154,47298,45252,2222,48039,100315,97,1,1
6704,11347,11087,94,40440,39069,1845,40962,65333,62,1,1
6705,13142,11355,147,61036,59786,3248,61819,89675,53,1,1
6706,18179,18803,100,59410,57407,4879,60065,102019,95,1,1
6707,41641,38847,138,79513,76033,27967,80518,189088,174,1,1
6708,14665,12770,209,73732,72425,16373,74782,118706,56,1,1
6709,18494,18375,164,44233,42199,1935,44960,83867,92,1,1
6710,7864,5667,91,35299,34386,2152,35725,51498,35,1,1
6711,12185,10678,102,39319,38066,3193,39834,65982,58,1,1
6712,8613,6749,100,36410,35475,1833,36865,54152,41,1,1
6713,15022,13314,103,50831,49330,2833,51392,82649,71,1,1
6714,45895,47735,553,100364,94207,3150,102914,200270,148,1,1
6715,68705,65360,334,140603,134643,33632,143821,311697,203,1,1
6716,22829,17116,140,117547,115523,18354,118504,176928,66,1,1
6717,16734,15415,139,61247,59210,2360,62203,96848,64,1,1
6718,16895,16639,143,56525,54467,2252,57512,93418,68,1,1
6719,5640,233,140,33995,33754,2680,34610,43345,1,1,1
6720,11411,7305,149,49035,47995,1924,49718,70639,37,1,1
6721,14137,12782,184,59573,58018,2192,60522,89943,53,1,1
6722,18305,15560,143,74297,72590,16673,75182,126038,60,1,1
6723,29756,28450,162,88940,85868,3606,90270,152579,108,1,1
6724,57269,54165,152,132055,127198,27116,133819,272670,177,1,1
6725,24404,20943,141,127719,125435,17843,128819,192140,80,1,1
6726,23504,20827,160,73098,70717,2666,74284,121600,78,1,1
6727,10206,7354,137,50772,49632,2210,51465,71377,33,1,1
6728,24243,23768,132,71610,69055,3056,72772,123989,92,1,1
6729,32434,35455,144,77202,73689,3798,78697,150686,130,1,1
6730,16590,14491,147,75722,74034,2118,76696,110044,57,1,1
6731,24627,24148,157,96309,93696,2201,97538,148674,90,1,1
6732,5753,1810,124,104496,103995,29397,104976,142068,9,1,1
6733,60045,57209,176,125721,120889,4831,127761,249979,191,1,1
6734,10914,5328,142,39678,38783,2301,40297,58965,25,1,1
6735,10019,4190,146,33437,32658,2179,34055,50582,21,1,1
6736,19404,19522,146,77761,75620,2811,78802,120844,76,1,1
6737,37406,29157,199,78165,75080,5065,79442,151215,106,1,1
6738,13300,5172,146,67235,66355,2325,67893,88835,25,1,1
6739,7474,1323,140,63941,63480,2127,64398,75469,8,1,1
6740,52811,25980,146,115627,113008,2342,116765,198058,90,1,1
6741,18092,3856,147,102531,101776,2077,103120,127266,19,1,1
6742,6079,323,198,34708,34407,2227,35197,43966,1,1,1
6743,23358,23959,147,59455,56728,2331,60636,110421,93,1,1
6744,11778,10217,149,58466,57058,2194,59277,83603,45,1,1
6745,11662,6621,140,54227,53257,2192,54895,75516,31,1,1
6746,11549,11148,144,57359,55980,2613,58176,83636,46,1,1
6747,26790,29728,155,95373,92278,2118,96718,155673,106,1,1
6748,24953,25911,151,91957,89333,5528,93196,149707,97,1,1
6749,67335,56636,193,137468,132248,34497,139449,298056,194,1,1
6750,31483,28934,161,115541,112556,17176,116775,194499,102,1,1
6751,24953,25105,164,68197,65535,2284,69361,122019,94,1,1
6752,13842,12286,146,56211,54628,2212,57080,85593,55,1,1
