batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
7890,43758,35709,530,115997,111247,15981,118186,214044,153,1,1
7891,20765,20308,122,134048,131337,11164,134788,187148,97,1,1
7892,5736,248,98,38650,38458,1890,38969,46938,1,1,1
7893,7143,5869,96,45431,44265,2533,45860,61500,34,1,1
7894,9118,200,98,64598,64398,2015,64916,76344,1,1,1
7895,15269,35570,177,65888,64087,10267,66534,127750,64,1,1
7896,20644,20351,123,55401,52700,1998,56132,99232,101,1,1
7897,10813,9426,96,45292,43743,1829,45811,67973,54,1,1
7898,1933,492,97,38668,38395,953,38991,42464,4,1,1
7899,30969,31270,98,57873,54775,1926,58720,122982,147,1,2
7900,41257,36283,99,83055,79845,11902,84008,173545,164,1,1
7901,17077,9350,101,61569,60393,12885,62084,101489,53,1,1
7902,14373,14151,107,49049,47375,1793,49649,80060,75,1,1
7903,8998,7340,97,41331,40185,1737,41813,59987,44,1,1
7904,16270,13234,107,51759,50283,1829,52361,83789,70,1,1
7905,13579,12084,97,49660,48227,2032,50217,78006,67,1,1
7906,41438,32843,223,74340,71308,24504,75337,174223,151,1,1
7907,15759,8789,95,59534,58436,15912,60023,100578,49,1,1
7908,14826,13037,109,45180,43616,1841,45766,75564,69,1,1
7909,8148,5559,91,39884,39023,1809,40320,55928,35,1,1
7910,13741,11604,116,61292,51859,1918,61944,89303,63,1,1
7911,10371,8468,93,49510,48279,1742,50012,70691,49,1,1
7912,42102,28809,103,71723,69028,24437,72537,167981,135,1,1
7913,14374,9729,104,60510,59331,15867,61018,101084,52,1,1
7914,18345,20699,115,47066,45231,1950,47703,88798,81,1,1
7915,7832,5717,97,40732,39798,1857,41192,56690,37,1,1
7916,5469,2761,157,44724,43886,4451,45179,57956,19,1,1
7917,11094,8914,93,47882,46718,1955,48376,70434,51,1,1
7918,40886,36653,100,72707,69403,26833,73632,178294,165,1,1
7919,14867,8156,105,57787,56702,15816,58289,97221,47,1,1
7920,11995,9574,107,35507,34202,1858,36018,59541,53,1,1
7921,4350,200,91,34276,34069,2017,34635,41300,1,1,1
7922,10322,8792,124,34707,33539,1858,35235,56300,50,1,1
7923,1273,203,89,35855,35622,1048,36156,38772,1,1,1
7924,16464,10405,97,31543,30156,1838,32058,60861,56,1,2
7925,9495,7297,93,45084,44029,1774,45557,64221,44,1,1
7926,41743,32283,99,68959,65991,23646,69819,167586,149,1,1
7927,15350,9575,108,60783,59561,15141,61296,101455,52,1,1
7928,15730,13266,229,37429,35819,1784,38146,69021,70,1,1
7929,8969,6928,97,31648,30631,1860,32102,49954,42,1,1
7930,4231,1827,100,29824,29337,5310,30176,41637,14,1,1
7931,15388,13684,100,47604,46073,2009,48183,79354,73,1,1
7932,13565,13859,98,55437,53821,1767,56032,85321,75,1,1
7933,41733,26957,94,67417,64842,22553,68194,159534,128,1,1
7934,6703,3656,104,67768,67081,15707,68228,94391,24,1,1
7935,12309,11212,118,34476,33048,1676,35065,60357,61,1,1
7936,7429,5670,97,33640,32757,1814,34072,49079,35,1,1
7937,20113,20033,116,56416,54296,1520,57118,98878,99,1,1
7938,15753,15223,98,54339,52647,1411,54950,87430,79,1,1
7939,41973,31501,134,69388,66544,18607,70268,162446,142,1,1
7940,17661,9740,220,59062,57840,9074,59692,96262,52,1,1
7941,12559,7477,103,34625,33592,1889,35118,57137,43,1,1
7942,8531,4488,97,35952,35207,1835,36361,51308,29,1,1
7943,4574,196,91,24104,23901,1813,24397,31062,1,1,1
7944,5422,2430,95,46467,45869,4218,46830,58995,18,1,1
7945,13784,14799,96,57726,56081,1836,58318,88829,76,1,1
7946,51117,22373,230,64952,62867,7438,65798,146825,102,1,1
7947,15535,9554,104,59814,58579,6147,60318,91645,52,1,1
7948,8954,5078,109,31608,30764,1885,32043,48057,32,1,1
7949,7949,3839,95,24506,23848,1742,24908,38530,25,1,1
7950,1373,202,90,17641,17445,1335,17938,20939,1,1,1
7951,30697,32713,93,63587,60494,1823,64435,129762,149,1,2
7952,16319,16989,94,67076,55674,5020,67792,106237,85,1,1
7953,38661,13205,132,60433,59018,1775,61027,114759,65,1,1
7954,14378,3479,103,55368,54753,2097,55761,75809,22,1,1
7955,4242,195,95,22919,22701,1843,23220,29583,1,1,1
7956,4314,200,97,21207,21011,1788,21510,27894,1,1,1
7957,9001,6047,96,38887,37971,4369,39335,58835,36,1,1
7958,4441,209,87,35686,35489,1768,35971,42472,1,1,1
7959,16348,17072,103,51092,49200,7516,51788,92814,89,1,1
7960,2152,209,90,34933,34737,2383,35238,40064,1,1,1
7961,6765,199,89,52703,52504,1739,52993,61780,1,1,1
7962,40999,46261,103,77914,73749,5209,78979,171538,208,1,1
7963,4065,226,98,26807,26587,1784,27119,33297,1,1,1
7964,19239,18772,107,44502,42554,1832,45175,85290,94,1,1
7965,11600,11332,97,59296,57760,1726,59949,84706,62,1,1
7966,1850,346,101,37834,37582,965,38153,41398,3,1,1
7967,31535,33009,98,58568,55351,1751,59438,125826,154,1,2
7968,41496,35177,101,73655,70514,14074,74560,165397,160,1,1
7969,17003,12133,102,60841,59392,10033,61405,100665,66,1,1
7970,24364,14924,223,50277,48532,1753,51005,92140,77,1,1
7971,7913,6362,100,42467,41474,1746,42931,59044,40,1,1
7972,18874,19345,113,57555,55545,1870,58241,98424,96,1,1
7973,12103,11604,103,49426,48020,1724,49981,75504,65,1,1
7974,42010,28632,110,72140,69459,20400,72964,164095,135,1,1
7975,16024,10431,104,73805,72537,15295,74379,116229,56,1,1
7976,15857,13498,109,48512,46892,1883,49110,80443,73,1,1
7977,8515,6793,103,33733,32750,1838,34190,51420,41,1,1
7978,5010,204,90,23661,23455,1878,23970,31147,1,1,1
7979,4747,2241,90,42039,41550,4624,42392,54088,16,1,1
7980,10674,10021,92,48170,46896,2115,48680,71583,57,1,1
7981,41555,32811,105,72471,69462,21440,73479,169379,153,1,1
7982,17731,11165,202,60109,58795,15323,60749,105063,60,1,1
7983,14282,11397,99,44476,43096,1812,45010,72593,60,1,1
7984,9002,6985,96,41430,40443,1827,41883,59783,42,1,1
7985,1755,330,97,37957,37698,1050,38271,41491,3,1,1
7986,21203,22064,99,56885,54549,1795,57595,102762,108,1,2
7987,42198,28338,105,85570,82894,23303,86439,180376,134,1,1
7988,15337,8418,102,60523,59443,15782,61012,100643,47,1,1
7989,12541,10605,103,42638,41319,1886,43176,68299,58,1,1
7990,10237,9288,99,36096,34897,1762,36611,57983,52,1,1
7991,4569,200,90,23974,23765,2047,24274,31171,1,1,1
7992,8041,5655,95,45586,44738,1865,46017,61670,35,1,1
7993,13074,12163,96,47608,46175,1829,48162,75322,67,1,1
7994,41830,30964,206,70880,68039,25555,71843,170476,143,1,1
7995,17574,10940,101,58021,56757,15482,58559,102648,58,1,1
7996,42226,26485,109,40667,38186,28472,41423,138702,122,1,1
7997,12174,5265,100,26082,25316,17050,26505,61078,31,1,1
7998,15069,7947,99,24048,23009,10933,24511,58546,44,1,1
7999,5140,208,96,23507,23305,1793,23812,31046,1,1,1
8000,14837,12689,100,59602,58158,2441,60210,90272,67,1,1
8001,13790,12871,105,56709,55160,2062,57304,86117,70,1,1
8002,41404,32677,105,69057,66084,19197,69919,163284,150,1,1
8003,11236,5452,108,57824,56992,14519,58264,89563,32,1,1
8004,16132,13996,116,39294,37667,1887,39896,72005,73,1,1
8005,10733,8379,100,31385,30218,1480,31871,52553,48,1,1
8006,7142,4328,197,49286,48551,4054,49821,65444,29,1,1
8007,12712,11666,102,53641,52205,2635,54196,81302,63,1,1
8008,41651,34044,107,69503,66460,20382,70395,166760,155,1,1
8009,14951,8988,102,63400,62284,11775,63910,99736,49,1,1
8010,9750,6952,103,32837,31811,2169,33322,52282,42,1,1
8011,8743,5865,197,34187,33197,2003,34730,51439,35,1,1
8012,4532,200,89,23764,23560,1787,24065,30674,1,1,1
8013,18316,18410,102,57362,55381,1894,58016,96737,93,1,1
8014,15162,16354,100,56414,54571,1812,57036,90456,85,1,1
8015,42504,27706,93,65284,62805,11692,66048,148050,124,1,1
8016,14699,6777,104,56145,55194,7131,56597,85293,39,1,1
8017,9598,5660,200,32666,31800,1784,33203,50338,34,1,1
8018,7759,4164,94,25364,24603,1762,25780,39551,28,1,1
8019,4444,198,100,17294,17090,1707,17605,24036,1,1,1
8020,8312,5667,97,52319,51431,3941,52753,70761,36,1,1
8021,10814,9250,94,41089,39926,1728,41577,63454,51,1,1
8022,2281,195,90,35041,34840,2398,35336,40292,1,1,1
8023,14860,3471,91,55936,55336,4231,56383,79036,22,1,1
8024,16709,8648,103,70141,69015,3326,70692,99473,48,1,1
8025,8547,3672,108,26358,25680,1820,26772,40897,26,1,1
8026,4381,202,99,22757,22561,1812,23048,29526,1,1,1
8027,4503,196,98,17332,17123,1839,17625,24245,1,1,1
8028,19182,19415,98,60228,58237,1888,60897,101466,97,1,1
8029,11412,10058,90,42142,40890,5669,42657,69879,57,1,1
8030,4445,203,88,34789,34593,1715,35074,41518,1,1,1
8031,11746,1264,104,56180,55794,1767,56545,71413,10,1,1
8032,7853,502,195,55925,55651,1741,56339,66525,4,1,1
8033,4190,232,98,22730,22523,1733,23021,29258,1,1,1
8034,3673,2113,100,36733,36233,951,37097,43920,15,1,1
8035,25849,26252,93,50924,48113,1767,51697,105654,128,1,2
8036,4795,206,92,35061,34863,1765,35344,42192,1,1,1
8037,8590,7499,96,43849,42865,1713,44309,62207,43,1,1
8038,41852,38322,133,77686,74263,12560,78660,171500,173,1,1
8039,14715,10528,199,61523,60226,10709,62174,98225,58,1,1
8040,16874,15794,109,48583,46828,1756,49210,83727,83,1,1
8041,11183,10114,95,44847,43522,1776,45363,68526,58,1,1
8042,16679,14837,106,53285,51633,1888,53886,87385,78,1,1
8043,15072,14433,93,51312,49709,2136,51898,83631,76,1,1
8044,41806,38820,197,75222,71705,8702,76294,165707,177,1,1
8045,15291,10450,105,60708,59453,12493,61241,99565,57,1,1
8046,16050,13468,107,46696,45172,1747,47281,78632,72,1,1
8047,11115,10253,96,45071,43766,1696,45589,68737,58,1,1
8048,16327,16161,114,54150,52404,1837,54796,89214,84,1,1
8049,15267,16609,209,54529,52720,1828,55273,89073,87,1,1
8050,41718,33752,95,73178,70056,24435,74064,174060,157,1,1
8051,17965,10830,105,59319,58054,15314,59858,104060,56,1,1
8052,21251,20029,108,47976,45765,2173,48661,92204,100,1,1
8053,7122,5273,95,40594,39739,1631,41037,55149,33,1,1
8054,17886,14158,155,52066,50453,1965,52714,86817,72,1,1
8055,12224,9933,98,48535,47283,1444,49055,72742,56,1,1
8056,42031,34694,104,75039,71853,25378,75939,178138,159,1,1
8057,12915,7737,106,57647,56666,23239,58128,102111,43,1,1
8058,14845,12962,130,44507,43011,1930,45111,74936,69,1,1
8059,6715,4364,206,43265,42395,1847,43796,56820,29,1,1
8060,6773,5471,97,46040,45213,3881,46474,62684,34,1,1
8061,13334,13477,98,48851,47285,1751,49430,78084,73,1,1
8062,42428,27396,93,68143,65607,23622,68917,162450,127,1,1
8063,14031,8199,108,58042,57030,16156,58523,97003,44,1,1
8064,14043,11931,201,36854,35408,1791,37534,65392,65,1,1
8065,4810,600,93,46642,46188,1821,46959,54286,5,1,2
8066,19606,11857,97,38436,37063,12562,38979,83087,63,1,1
8067,5127,2611,97,41671,41090,4870,42041,54735,18,1,1
8068,10811,8856,95,33669,32531,2467,34162,56388,51,1,1
8069,10929,8888,94,44599,43424,1827,45098,66834,53,1,1
8070,41550,36040,104,71995,68787,24809,72906,175393,161,1,1
8071,27343,9607,216,62204,61020,14874,62828,114750,52,1,1
8072,14445,12321,99,35614,34107,1782,36170,64815,67,1,1
8073,9499,6411,99,30618,29688,1765,31061,48821,39,1,1
8074,19581,19907,111,61386,59334,1823,62078,103477,98,1,1
8075,11334,9620,97,53760,52542,4296,54277,79612,55,1,1
8076,42223,31393,107,77788,74916,19540,78674,171934,141,1,1
8077,17111,11152,147,58134,56846,11316,58721,98395,58,1,1
8078,14418,9262,102,31989,30781,1757,32491,58017,52,1,1
8079,9141,7818,98,32720,31685,1772,33195,52014,44,1,1
