run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,decomp_snapshot_path
1,2026-08-10T18:46:43Z,Stencil-8K,bench_stencil,8000,1,0.78,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Stencil-8K_trial1.bin
2,2026-08-10T18:46:44Z,Stencil-8K,bench_stencil,8000,2,0.69,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Stencil-8K_trial2.bin
3,2026-08-10T18:46:44Z,Stencil-8K,bench_stencil,8000,3,0.68,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Stencil-8K_trial3.bin
4,2026-08-10T18:46:45Z,Stencil-8K,bench_stencil,8000,4,0.69,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Stencil-8K_trial4.bin
5,2026-08-10T18:46:46Z,Stencil-8K,bench_stencil,8000,5,0.69,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Stencil-8K_trial5.bin
6,2026-08-10T18:46:47Z,GraphBFS-23,bench_graph_bfs,23,1,54.47,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/GraphBFS-23_trial1.bin
7,2026-08-10T18:47:41Z,GraphBFS-23,bench_graph_bfs,23,2,54.22,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/GraphBFS-23_trial2.bin
8,2026-08-10T18:48:35Z,GraphBFS-23,bench_graph_bfs,23,3,54.17,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/GraphBFS-23_trial3.bin
9,2026-08-10T18:49:30Z,GraphBFS-23,bench_graph_bfs,23,4,54.24,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/GraphBFS-23_trial4.bin
10,2026-08-10T18:50:24Z,GraphBFS-23,bench_graph_bfs,23,5,54.23,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/GraphBFS-23_trial5.bin
11,2026-08-10T18:51:18Z,Sweep-4K,bench_stencil,4000,1,0.33,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-4K_trial1.bin
12,2026-08-10T18:51:19Z,Sweep-4K,bench_stencil,4000,2,0.33,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-4K_trial2.bin
13,2026-08-10T18:51:19Z,Sweep-4K,bench_stencil,4000,3,0.33,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-4K_trial3.bin
14,2026-08-10T18:51:19Z,Sweep-4K,bench_stencil,4000,4,0.33,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-4K_trial4.bin
15,2026-08-10T18:51:20Z,Sweep-4K,bench_stencil,4000,5,0.33,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-4K_trial5.bin
16,2026-08-10T18:51:20Z,Sweep-8K,bench_stencil,8000,1,0.67,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-8K_trial1.bin
17,2026-08-10T18:51:21Z,Sweep-8K,bench_stencil,8000,2,0.67,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-8K_trial2.bin
18,2026-08-10T18:51:22Z,Sweep-8K,bench_stencil,8000,3,0.67,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-8K_trial3.bin
19,2026-08-10T18:51:22Z,Sweep-8K,bench_stencil,8000,4,0.68,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-8K_trial4.bin
20,2026-08-10T18:51:23Z,Sweep-8K,bench_stencil,8000,5,0.67,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-8K_trial5.bin
21,2026-08-10T18:51:24Z,Sweep-16K,bench_stencil,16000,1,1.96,8A2651D1CB32C7B239FB511,0,/home/ubuntu/Downloads/SpecAsync-UVM/results/phaseC/paired_wallclock/decomp/Sweep-16K_trial1.bin
