batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
4177,1933,1293,631,87546,86393,1733,89038,94629,1,1,1
4178,1573,130,60,16441,16241,1132,16682,19587,1,1,1
4179,1403,130,60,23284,23074,782,23494,25869,1,1,1
4180,1623,131,60,16481,16271,792,16681,19287,1,1,1
4181,1583,131,60,10860,10650,761,11071,13606,1,1,1
4182,1613,131,60,12013,11812,771,12223,14798,1,1,1
4183,5951,211,90,11041,10801,691,11271,18184,1,1,1
4184,3567,230,90,14588,14267,912,14898,19678,1,1,1
4185,3596,231,100,12564,12243,842,12864,17613,1,1,1
4186,681,130,61,4879,4679,761,5090,6732,1,1,1
4187,3526,231,90,17313,17003,902,17623,22362,1,1,1
4188,1934,250,121,17393,17032,952,17774,21010,1,1,1
4189,841,121,80,7554,7314,891,7835,9778,1,1,1
4190,651,110,90,24957,24717,982,25248,27081,1,1,1
4191,3536,230,100,32312,31980,992,32622,37451,1,1,1
4192,5962,150,80,12364,12183,1052,12604,19828,1,1,1
4193,551,110,40,6062,5731,731,6212,7644,1,1,1
4194,3546,231,100,16541,16231,841,16842,21540,1,1,1
4195,3527,230,101,12794,12484,922,13095,17854,1,1,1
4196,3747,230,100,14718,14468,852,15028,19928,1,1,1
4197,621,110,60,12624,12413,1062,12825,14698,1,1,1
4198,601,110,41,12814,12614,741,12955,14457,1,1,1
4199,531,130,40,19497,19317,1002,19637,21340,1,1,1
4200,6101,160,70,11682,11462,671,11892,18865,1,1,1
4201,551,120,40,6563,6392,962,6703,8376,1,1,1
4202,551,121,40,7955,7795,751,8095,9548,1,1,1
4203,541,130,40,8897,8716,762,9037,10510,1,1,1
4204,531,121,40,12824,12724,772,12964,14428,1,1,1
4205,521,130,40,19097,18905,651,19237,20579,1,1,1
4206,541,111,40,12453,12353,671,12594,13957,1,1,1
4207,1523,120,40,8176,8015,671,8316,10670,1,1,1
4208,531,111,40,9027,8867,661,9167,10500,1,1,1
4209,521,111,40,5971,5791,732,6101,7525,1,1,1
4210,541,120,40,7404,7224,852,7534,9087,1,1,1
4211,531,111,40,8576,8486,702,8716,10120,1,1,1
4212,521,110,40,12484,12304,641,12624,13936,1,1,1
4213,511,120,50,18465,18295,642,18605,19938,1,1,1
4214,531,120,40,8616,8506,581,8757,10019,1,1,1
4215,572,110,40,5981,5881,712,6121,7565,1,1,1
4216,541,110,40,7044,6943,631,7174,8506,1,1,1
4217,541,110,50,8335,8245,651,8476,9829,1,1,1
4218,531,110,50,12303,12223,752,12443,13896,1,1,1
4219,531,100,40,18545,18385,661,18685,20037,1,1,1
4220,531,130,40,8236,8136,611,8366,9688,1,1,1
4221,591,120,60,7294,7153,712,7494,8987,1,1,1
4222,601,120,60,9378,9237,722,9588,11091,1,1,1
4223,591,121,70,11622,11482,762,11832,13366,1,1,1
4224,602,130,70,17153,17013,771,17363,18926,1,1,1
4225,531,110,50,18155,18065,641,18295,19627,1,1,1
4226,531,130,40,8145,8045,601,8296,9588,1,1,1
4227,531,110,40,5631,5531,681,5771,7123,1,1,1
4228,531,110,40,7244,7154,741,7384,8816,1,1,1
4229,521,120,50,8386,8306,742,8536,9959,1,1,1
4230,521,111,40,11942,11862,711,12082,13486,1,1,1
4231,531,110,40,18295,18204,741,18425,19858,1,1,1
4232,541,110,40,8005,7845,621,8145,9468,1,1,1
4233,521,111,40,5621,5450,751,5761,7204,1,1,1
4234,521,110,50,7654,7494,652,7795,9138,1,1,1
4235,521,120,40,8366,8286,682,8506,9879,1,1,1
4236,510,130,40,11993,11903,801,12133,13625,1,1,1
4237,531,131,40,18224,18054,721,18355,19788,1,1,1
4238,531,110,40,8356,8266,741,8496,9918,1,1,1
4239,531,130,40,5741,5561,641,5881,7233,1,1,1
4240,531,120,40,7004,6924,691,7154,8546,1,1,1
4241,521,110,40,8657,8566,641,8797,10119,1,1,1
4242,531,110,51,12353,12273,671,12494,13856,1,1,1
4243,531,111,40,18425,18244,631,18555,19888,1,1,1
4244,531,120,40,7975,7815,591,8115,9397,1,1,1
4245,521,110,40,5561,5471,631,5691,7013,1,1,1
4246,531,121,40,7183,7093,641,7324,8667,1,1,1
4247,541,120,40,8606,8436,702,8746,10150,1,1,1
4248,531,100,40,12253,12163,652,12393,13726,1,1,1
4249,531,120,40,18305,18205,771,18445,19907,1,1,1
4250,531,110,40,18926,18835,702,19056,20459,1,1,1
4251,1583,120,40,13175,13004,661,13306,15720,1,1,1
4252,521,120,40,10811,10711,701,10951,12333,1,1,1
4253,541,120,40,5581,5481,791,5721,7203,1,1,1
4254,531,110,40,6963,6883,691,7114,8486,1,1,1
4255,521,111,40,8336,8246,771,8476,9929,1,1,1
4256,511,130,40,12123,12022,881,12264,13826,1,1,1
4257,531,110,40,18265,18164,742,18395,19838,1,1,1
4258,531,110,40,7615,7525,581,7755,9027,1,1,1
4259,531,110,40,5411,5320,701,5551,6943,1,1,1
4260,521,110,40,7144,7044,641,7284,8606,1,1,1
4261,531,110,40,8416,8316,702,8556,9939,1,1,1
4262,521,110,41,12002,11912,712,12133,13536,1,1,1
4263,531,120,41,18314,18224,672,18455,19808,1,1,1
4264,521,131,40,7805,7715,631,7945,9268,1,1,1
4265,541,120,40,5631,5531,751,5771,7213,1,1,1
4266,511,130,40,7003,6903,642,7143,8476,1,1,1
4267,521,110,40,8346,8256,651,8476,9818,1,1,1
4268,511,130,50,12223,12143,641,12363,13695,1,1,1
4269,531,110,40,18144,18064,641,18285,19627,1,1,1
4270,541,110,40,7965,7875,582,8105,9388,1,1,1
4271,531,110,40,5801,5720,721,5942,7354,1,1,1
4272,511,131,40,7334,7244,631,7474,8797,1,1,1
4273,542,120,40,8195,8095,631,8336,9669,1,1,1
4274,531,121,40,12103,12013,631,12243,13576,1,1,1
4275,531,110,40,18214,18124,621,18355,19677,1,1,1
4276,531,110,40,7935,7835,571,8065,9337,1,1,1
4277,531,110,40,5510,5420,662,5650,6994,1,1,1
4278,511,130,40,7103,7013,651,7244,8576,1,1,1
4279,541,121,40,8596,8506,661,8726,10099,1,1,1
