batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
0,30668,32952,411,105980,102874,12564,107424,184249,218,1,1
1,6542,982,60,22834,22573,1683,23134,32431,11,1,1
2,4539,2405,60,17182,16792,14166,17433,38613,25,1,1
3,11031,10410,70,27553,26490,11161,27873,60535,86,1,1
4,3847,3116,61,24987,24536,3687,25248,35958,31,1,1
5,8096,2484,60,29766,29375,15610,30007,56267,24,1,1
6,7465,2274,60,30047,29647,12073,30287,52179,25,1,1
7,6122,3397,50,15469,14998,2385,15689,27663,39,1,1
8,7134,4699,50,15600,15009,1272,15830,28995,53,1,1
9,4398,2946,60,15820,15389,2655,16040,26099,37,1,1
10,9237,8707,50,15850,14929,1132,16111,35237,89,1,1
11,4027,3016,50,22804,22362,751,23024,30868,36,1,1
12,21551,28043,50,28494,26140,5440,28895,83989,234,1,2
13,2455,741,50,23896,23684,13275,24076,40607,11,1,1
14,3096,1573,50,24637,24356,13325,24837,42891,20,1,1
15,4379,1963,50,17082,16731,2705,17293,26400,27,1,1
16,10590,6432,61,20579,19837,3566,20830,41478,70,1,1
17,9047,8486,50,22673,21762,3166,22953,43713,88,1,1
18,3076,2254,50,20710,20328,721,20930,27041,30,1,1
19,21450,27783,50,31399,29075,25058,31800,106151,236,1,2
20,21161,21500,50,32662,30858,17233,33013,92967,184,1,1
21,1333,300,50,10561,10419,2995,10751,15439,5,1,1
22,8296,7043,50,16942,16141,1272,17203,33864,75,1,1
23,8285,6933,50,20008,19216,2404,20259,37941,74,1,1
24,8486,6733,50,21902,21121,4198,22152,41629,74,1,1
25,3927,2325,60,19948,19587,832,20158,27302,29,1,1
26,21751,26540,60,31801,29556,24857,32181,105390,217,1,2
27,6292,4739,60,25729,25158,19056,25969,56116,51,1,1
28,4588,2455,50,16341,15951,2215,16551,25869,31,1,1
29,6733,3717,51,13004,12493,1443,13235,25188,44,1,1
30,4208,2865,50,16741,16301,2715,16963,26801,36,1,1
31,4809,1082,50,11091,10840,1933,11292,19176,16,1,1
32,4158,2765,51,19587,19166,4619,19808,31410,34,1,1
33,3847,2915,50,19617,19196,3096,19827,29746,35,1,1
34,5981,2515,50,24186,23795,22813,24396,55765,31,1,1
35,7935,4037,50,24526,23985,17073,24757,53862,47,1,1
36,1222,200,50,10180,10049,2184,10360,14026,3,1,1
37,8737,7374,50,16912,16080,1472,17173,34816,80,1,1
38,8206,6653,50,18405,17623,2395,18655,35969,74,1,1
39,7925,6212,50,20148,19387,3085,20399,37681,71,1,1
40,10259,8145,60,26330,25438,1433,26601,46498,86,1,1
41,7755,3026,50,25368,24917,22072,25588,58501,37,1,1
42,3176,1092,50,23986,23745,16701,24176,45195,15,1,1
43,4218,2574,50,15329,14918,2124,15540,24517,33,1,1
44,7404,6312,50,17303,16562,3096,17553,34435,69,1,1
45,8937,7945,51,24696,23825,4899,24957,46799,84,1,1
46,8426,7013,51,25358,24546,2364,25609,43472,76,1,1
47,8496,3948,60,25709,25188,21280,25939,59723,46,1,1
48,3366,1844,50,24546,24196,14537,24756,44564,27,1,1
49,7734,6342,50,97625,93818,4118,98467,117172,67,1,1
50,21531,23244,381,41849,39275,3015,42921,90852,97,1,1
51,15219,14768,111,52750,51017,4639,53371,88117,73,1,1
52,7274,6332,100,43432,42260,1062,43853,58641,37,1,1
53,18985,21961,100,63480,61056,31890,64032,136979,106,1,2
54,17373,14408,100,49364,47840,18545,49844,100290,70,1,1
55,12374,7995,111,25789,24767,4078,26230,50797,45,1,1
56,6993,1403,100,31630,31148,1593,32001,42110,10,1,2
57,7985,4378,100,14938,14197,5690,15339,33503,27,1,1
58,18735,20389,101,51718,49594,1463,52259,92966,102,1,1
59,7093,5581,100,44805,43953,891,45226,58911,35,1,1
60,18064,12153,101,49143,47640,27051,49624,107002,66,1,2
61,6502,3456,50,24276,23805,8586,24497,43101,41,1,1
62,4759,1423,50,12534,12243,1303,12734,20279,20,1,1
63,8125,5670,50,12884,12213,1112,13115,28083,61,1,1
64,7864,6653,50,24507,23744,4969,24757,44303,71,1,1
65,8265,5691,50,19067,18384,5360,19297,38673,62,1,1
66,4047,1764,50,15950,15640,1613,16150,23634,22,1,1
67,7655,3707,50,24086,23585,5400,24306,41128,43,1,1
68,7995,2695,51,23544,23113,2395,23755,36880,35,1,1
69,5270,1874,50,11021,10691,1343,11231,19778,25,1,1
70,4428,1633,50,16912,16562,1182,17103,24406,21,1,2
71,3737,2856,50,17072,16632,662,17282,24587,36,1,1
72,22172,26190,50,22032,19948,2876,22412,73710,215,1,1
73,3206,1934,50,14487,14147,712,14687,20609,25,1,1
74,21721,28324,50,8416,6121,5851,8817,64773,237,1,1
75,10179,4939,51,38212,37581,1613,38443,55234,52,1,2
76,6222,4909,50,26360,25759,7895,26590,45676,54,1,1
77,5050,1743,50,14328,14016,1493,14538,22884,23,1,1
78,8356,6753,50,16321,15549,1633,16561,33364,72,1,1
79,4017,2786,50,14868,14447,2265,15068,24196,34,1,1
80,8797,7504,61,15319,14497,1382,15580,33313,79,1,1
81,3877,2264,60,20619,20239,5701,20829,32732,31,1,1
82,9158,9007,50,25178,24196,3787,25448,47460,95,1,1
83,2344,761,60,23184,22973,12844,23374,39384,12,1,1
84,3266,1794,50,25959,25629,8717,26169,40006,24,1,1
85,9879,8676,60,21090,20158,1192,21361,41158,91,1,1
86,8757,6943,51,20238,19437,2224,20499,38483,76,1,1
87,9468,6773,51,21741,20939,3507,22002,41800,75,1,1
88,3807,2064,60,19648,19297,661,19858,26450,28,1,1
89,21611,27372,50,31360,29054,19798,31770,100611,234,1,2
90,3086,1663,51,23995,23685,16622,24206,45627,23,1,1
91,4318,2244,50,14838,14457,2184,15049,23855,30,1,1
92,6392,4228,50,13065,12504,1272,13285,25237,49,1,1
93,3977,2645,60,14677,14267,2755,14889,24326,34,1,1
94,7324,5631,50,13105,12454,1423,13345,27783,60,1,1
95,3867,2405,50,19086,18696,5671,19296,31289,31,1,1
96,3497,2394,60,19537,19166,851,19748,26550,30,1,1
97,21611,26440,50,30618,28373,21681,31009,100791,227,1,2
98,3657,761,50,22984,22773,18836,23184,46488,12,1,1
99,7054,6071,50,16842,16140,1302,17073,31560,64,1,1
100,5571,2404,50,11893,11501,1583,12103,21721,32,1,1
101,4128,2655,50,15069,14647,3286,15279,25408,35,1,1
102,8225,4939,50,12334,11712,1232,12554,27011,56,1,1
103,8215,7204,50,20940,20118,4258,21180,40917,77,1,1
104,3827,2545,50,19958,19547,882,20178,27492,33,1,1
