batch_id,d1_ns,d2_ns,d3_ns,d4_ns,d5_ns,d6_ns,svc_ns,total_ns,num_faults,num_va_spaces,num_blocks
6463,32652,27302,611,66817,64312,27993,68529,156647,175,1,1
6464,13004,11532,70,25308,24126,20369,25719,70694,86,1,1
6465,8556,581,60,13676,13475,1733,13896,24827,7,1,1
6466,3176,1423,60,16020,15710,21741,16251,42661,16,1,1
6467,24436,36379,60,29807,26841,26019,30298,117202,243,1,1
6468,5831,4438,70,36549,35878,2245,36809,49384,39,1,2
6469,4198,3527,60,24707,24206,802,24967,33554,34,1,1
6470,13886,15289,60,36790,35267,22583,37141,88969,121,1,2
6471,8045,7815,40,23775,22994,20329,23995,60234,94,1,1
6472,932,190,40,9568,9458,592,9708,11472,3,1,1
6473,9448,8606,40,11793,10940,1513,12013,31630,104,1,1
6474,3266,2194,40,22583,22213,661,22753,28914,33,1,2
6475,12193,15329,40,14217,12854,4779,14498,46849,169,1,2
6476,3918,3106,40,26560,26100,2986,26740,36800,45,1,2
6477,3056,1994,40,16581,16271,691,16752,22533,31,1,1
6478,8897,13616,41,23634,22653,20439,23875,66867,118,1,2
6479,6032,3947,40,21450,20959,18305,21651,49975,55,1,1
6480,6352,3917,50,13305,12844,1413,13495,25218,52,1,1
6481,5731,3707,50,9338,8907,1122,9528,20138,48,1,1
6482,6191,5059,40,24787,24156,2505,24987,38783,68,1,2
6483,6082,5340,40,10260,9679,1132,10450,23064,66,1,1
6484,4609,3747,40,26991,26480,3447,27181,39024,53,1,2
6485,6452,5611,40,17032,16401,1803,17233,31149,74,1,1
6486,5821,3898,40,21641,21140,17643,21821,49243,56,1,1
6487,2805,1763,50,20378,20088,16582,20549,41749,28,1,1
6488,1372,411,40,9859,9719,2745,10019,14587,8,1,1
6489,5731,2565,40,8056,7675,1082,8226,17664,39,1,1
6490,3105,1994,40,21241,20889,4238,21411,30798,30,1,2
6491,6913,4719,40,8276,7735,1984,8476,22142,62,1,1
6492,6532,5901,40,15370,14717,2925,15570,30968,76,1,1
6493,8656,6974,40,17633,16892,7053,17853,40587,89,1,1
6494,3436,2445,40,15289,14929,3036,15459,24436,36,1,1
6495,2705,1282,40,20038,19788,18315,20198,42541,22,1,1
6496,6442,6042,50,22182,21480,12514,22392,47430,79,1,2
6497,3797,1964,40,10580,10260,1913,10750,18485,32,1,1
6498,4939,1293,40,18746,18474,1092,18906,26280,21,1,2
6499,7825,7003,40,16822,16071,2144,17032,34044,89,1,1
6500,5771,4479,40,28624,28053,6102,28814,45216,61,1,2
6501,2956,1873,41,13665,13365,2224,13827,20940,30,1,1
6502,6392,4318,50,20860,20338,7474,21050,39284,59,1,1
6503,17012,19677,40,24406,22813,4178,24697,65624,201,1,1
6504,3988,721,50,10721,10539,1232,10881,16862,14,1,1
6505,16311,16151,40,18635,17203,3136,18925,54553,180,1,1
6506,5461,1292,40,12664,12424,1283,12824,20910,22,1,1
6507,4559,1132,41,12814,12583,1633,12975,20359,21,1,1
6508,7354,6292,40,15941,15259,3246,16151,33103,81,1,1
6509,8646,7464,40,19397,18625,1653,19617,37430,93,1,1
6510,6302,2394,50,20699,20358,20659,20880,50285,36,1,1
6511,2785,1143,40,20208,19988,18205,20368,42561,20,1,1
6512,7955,8656,40,12103,11200,2384,12324,31379,105,1,2
6513,7444,5440,40,11732,11121,1062,11932,25929,71,1,1
6514,7384,6953,40,27261,26469,2746,27472,44605,89,1,2
6515,7614,6703,40,27903,27121,2976,28103,45456,87,1,2
6516,7544,6613,40,19607,18876,2184,19807,36188,85,1,1
6517,6091,3076,51,21089,20679,20679,21281,51177,46,1,1
6518,2915,1513,50,19988,19728,18245,20158,42861,24,1,1
6519,7033,8076,40,11892,11020,2274,12123,29546,101,1,2
6520,7284,5550,40,10690,10039,1062,10891,24827,76,1,1
6521,7354,6182,50,26811,26090,2825,27021,43422,82,1,2
6522,3096,2064,40,10800,10470,3878,10970,20048,33,1,1
6523,11251,13796,40,31670,30347,1422,31941,58460,161,1,2
6524,8236,6693,40,18285,17553,1643,18495,35107,87,1,1
6525,6422,4098,40,22002,21481,20469,22192,53221,57,1,1
6526,2925,1202,41,20058,19817,16902,20219,41288,21,1,1
6527,3417,1593,40,12143,11872,3657,12313,21030,26,1,1
6528,5811,3657,50,23505,22994,1122,23695,34335,52,1,2
6529,7414,5891,40,11853,11181,5099,12063,30507,79,1,1
6530,7164,5781,40,26721,26030,1703,26921,41619,77,1,2
6531,7283,5701,40,16261,15619,1704,16461,31199,75,1,1
6532,6924,4178,40,21491,20980,18745,21671,51578,57,1,1
6533,2766,1803,50,19968,19688,15279,20148,40036,28,1,1
6534,1242,211,40,8616,8496,2345,8756,12604,4,1,1
6535,4048,310,40,6121,5981,1042,6272,11722,7,1,1
6536,3176,1813,41,20639,20307,3767,20810,29606,28,1,2
6537,6102,3436,40,15519,15078,1183,15709,26491,49,1,1
6538,7634,4739,51,15669,15128,2996,15870,31269,62,1,1
6539,6001,3958,40,14918,14448,2164,15109,27272,52,1,1
6540,6272,4438,40,20780,20259,13856,20970,45576,58,1,1
6541,2825,1303,40,19577,19327,8537,19747,32452,23,1,1
6542,4478,1393,40,9278,8997,1773,9438,17142,26,1,1
6543,16752,23655,40,29266,27332,2695,29586,72748,243,1,2
6544,7294,6272,40,15389,14698,3046,15599,32261,82,1,1
6545,6192,2574,40,13605,13245,1502,13776,24095,37,1,1
6546,4518,1102,41,14247,14016,1633,14408,21701,20,1,1
6547,6211,1383,40,19187,18916,2034,19347,29035,25,1,1
6548,6442,4198,40,21872,21351,9558,22062,42300,58,1,1
6549,6091,5491,40,15038,14427,1012,15249,27883,70,1,1
6550,6983,5771,50,26621,25940,3446,26821,43081,76,1,2
6551,2895,1964,40,26030,25670,611,26200,31720,32,1,2
6552,16802,21701,41,23694,21851,3436,24016,66015,233,1,2
6553,2175,1202,40,20088,19858,18515,20238,42190,20,1,1
6554,17273,23144,40,7014,5099,20649,7344,68460,245,1,1
6555,9117,8336,40,22613,21821,17323,22843,57669,97,1,1
6556,861,161,40,8376,8266,601,8516,10189,2,1,1
6557,13406,13425,40,14077,12844,1152,14347,42360,154,1,1
6558,9067,5791,40,24076,23374,3186,24286,42370,79,1,2
6559,3095,1904,40,9999,9679,4920,10169,20148,32,1,1
6560,3957,3246,41,26289,25799,3237,26470,36950,49,1,2
6561,7404,6372,40,18935,18214,1783,19147,34746,85,1,1
