run_order_idx,timestamp_iso8601,config,bench,size,rep_in_cell,wall_s,srcversion,dmesg_delta,mem_avail_before_kb,mem_avail_after_kb,decomp_snapshot_path
1,2026-08-13T13:51:26Z,Stencil-8K,bench_stencil,8000,1,0.42,9E98EF08CBA769C50A24937,0,55450612,55202840,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Stencil-8K_trial1.bin
2,2026-08-13T13:51:26Z,Stencil-8K,bench_stencil,8000,2,0.27,9E98EF08CBA769C50A24937,0,55201220,55201328,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Stencil-8K_trial2.bin
3,2026-08-13T13:51:26Z,Stencil-8K,bench_stencil,8000,3,0.27,9E98EF08CBA769C50A24937,0,55198496,55198360,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Stencil-8K_trial3.bin
4,2026-08-13T13:51:27Z,Stencil-8K,bench_stencil,8000,4,0.28,9E98EF08CBA769C50A24937,0,55196488,55196196,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Stencil-8K_trial4.bin
5,2026-08-13T13:51:27Z,Stencil-8K,bench_stencil,8000,5,0.26,9E98EF08CBA769C50A24937,0,55194172,55148576,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Stencil-8K_trial5.bin
6,2026-08-13T13:51:27Z,GraphBFS-23,bench_graph_bfs,23,1,31.11,9E98EF08CBA769C50A24937,0,55147364,55050776,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/GraphBFS-23_trial1.bin
7,2026-08-13T13:51:58Z,GraphBFS-23,bench_graph_bfs,23,2,31.09,9E98EF08CBA769C50A24937,0,55049552,55097120,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/GraphBFS-23_trial2.bin
8,2026-08-13T13:52:30Z,GraphBFS-23,bench_graph_bfs,23,3,31.23,9E98EF08CBA769C50A24937,0,55096308,54973732,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/GraphBFS-23_trial3.bin
9,2026-08-13T13:53:01Z,GraphBFS-23,bench_graph_bfs,23,4,31.25,9E98EF08CBA769C50A24937,0,54972108,54920980,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/GraphBFS-23_trial4.bin
10,2026-08-13T13:53:32Z,GraphBFS-23,bench_graph_bfs,23,5,31.16,9E98EF08CBA769C50A24937,0,54919764,55053536,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/GraphBFS-23_trial5.bin
11,2026-08-13T13:54:03Z,Sweep-4K,bench_stencil,4000,1,0.18,9E98EF08CBA769C50A24937,0,55050280,55093528,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Sweep-4K_trial1.bin
12,2026-08-13T13:54:03Z,Sweep-4K,bench_stencil,4000,2,0.19,9E98EF08CBA769C50A24937,0,55092160,55076184,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Sweep-4K_trial2.bin
13,2026-08-13T13:54:04Z,Sweep-4K,bench_stencil,4000,3,0.20,9E98EF08CBA769C50A24937,0,55074564,55007132,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Sweep-4K_trial3.bin
14,2026-08-13T13:54:04Z,Sweep-4K,bench_stencil,4000,4,0.18,9E98EF08CBA769C50A24937,0,55007124,55007868,/home/rayenchikhaoui/SpecAsync-UVM/results/phaseC/paired_wallclock_5070ti/decomp/Sweep-4K_trial4.bin
